# event_ticker=KXATPCHALLENGERMATCH-26MAY20GADBOI
# final_score=6-4 6-4
# score_resolution=4-6 4-6
# match_winner=Buvaysar Gadamauri
# fav_player=Gabi Adrian Boitan
# dog_player=Buvaysar Gadamauri
# kalshi_date=2026-05-20
timestamp,Buvaysar Gadamauri,Gabi Adrian Boitan
2026-05-19T21:03:00Z,72.00,
2026-05-19T22:06:00Z,72.00,
2026-05-19T22:47:00Z,73.00,
2026-05-19T23:04:00Z,73.00,30.00
2026-05-20T00:02:00Z,73.00,30.00
2026-05-20T02:58:00Z,73.00,31.00
2026-05-20T03:10:00Z,70.00,31.00
2026-05-20T04:07:00Z,69.00,31.00
2026-05-20T04:21:00Z,69.00,31.00
2026-05-20T04:31:00Z,69.00,31.00
2026-05-20T04:52:00Z,69.00,31.00
2026-05-20T05:17:00Z,70.00,31.00
2026-05-20T05:24:00Z,70.00,31.00
2026-05-20T05:34:00Z,70.00,31.00
2026-05-20T05:38:00Z,69.00,31.00
2026-05-20T05:40:00Z,69.00,31.00
2026-05-20T05:48:00Z,71.00,31.00
2026-05-20T06:04:00Z,69.00,31.00
2026-05-20T06:09:00Z,69.00,31.00
2026-05-20T06:13:00Z,69.00,31.00
2026-05-20T06:40:00Z,70.00,31.00
2026-05-20T07:46:00Z,70.58,31.00
2026-05-20T08:10:00Z,70.00,31.00
2026-05-20T08:19:00Z,70.00,31.00
2026-05-20T08:35:00Z,70.00,31.00
2026-05-20T08:45:00Z,70.00,32.66
2026-05-20T08:48:00Z,70.00,29.00
2026-05-20T08:49:00Z,70.00,29.50
2026-05-20T08:50:00Z,63.72,33.00
2026-05-20T08:51:00Z,65.00,35.00
2026-05-20T08:53:00Z,61.00,37.00
2026-05-20T08:54:00Z,60.00,37.75
2026-05-20T08:55:00Z,61.93,37.75
2026-05-20T08:56:00Z,64.00,37.75
2026-05-20T08:58:00Z,64.00,30.14
2026-05-20T09:01:00Z,64.01,30.14
2026-05-20T09:03:00Z,71.36,30.14
2026-05-20T09:04:00Z,74.68,25.00
2026-05-20T09:05:00Z,77.00,21.00
2026-05-20T09:09:00Z,82.00,21.00
2026-05-20T09:11:00Z,82.00,19.00
2026-05-20T09:15:00Z,80.00,19.00
2026-05-20T09:17:00Z,80.00,22.00
2026-05-20T09:19:00Z,83.00,22.00
2026-05-20T09:20:00Z,83.00,22.00
2026-05-20T09:22:00Z,81.00,22.00
2026-05-20T09:23:00Z,81.00,17.00
2026-05-20T09:25:00Z,76.80,23.77
2026-05-20T09:26:00Z,80.43,23.77
2026-05-20T09:30:00Z,84.00,23.77
2026-05-20T09:31:00Z,84.84,16.00
2026-05-20T09:32:00Z,85.00,16.00
2026-05-20T09:34:00Z,79.00,16.00
2026-05-20T09:35:00Z,79.00,23.92
2026-05-20T09:36:00Z,82.82,23.92
2026-05-20T09:37:00Z,81.00,22.00
2026-05-20T09:38:00Z,81.00,22.04
2026-05-20T09:40:00Z,79.00,22.04
2026-05-20T09:42:00Z,79.00,19.00
2026-05-20T09:43:00Z,79.00,22.00
2026-05-20T09:44:00Z,80.00,22.00
2026-05-20T09:45:00Z,80.00,23.00
2026-05-20T09:46:00Z,82.00,21.00
2026-05-20T09:47:00Z,83.00,21.00
2026-05-20T09:48:00Z,83.00,21.00
2026-05-20T09:49:00Z,91.08,10.00
2026-05-20T09:50:00Z,93.00,8.17
2026-05-20T09:51:00Z,92.00,7.37
2026-05-20T09:52:00Z,94.00,7.37
2026-05-20T09:53:00Z,93.72,7.37
2026-05-20T09:54:00Z,94.99,6.74
2026-05-20T09:55:00Z,96.00,6.74
2026-05-20T09:56:00Z,96.00,5.00
2026-05-20T09:57:00Z,94.05,6.00
2026-05-20T09:59:00Z,94.05,6.00
2026-05-20T10:00:00Z,90.74,10.00
2026-05-20T10:01:00Z,88.15,10.22
2026-05-20T10:02:00Z,88.02,10.22
2026-05-20T10:03:00Z,94.00,8.00
2026-05-20T10:04:00Z,95.98,8.00
2026-05-20T10:05:00Z,96.80,4.00
2026-05-20T10:06:00Z,97.08,4.00
2026-05-20T10:07:00Z,97.00,4.00
2026-05-20T10:08:00Z,96.00,5.00
2026-05-20T10:09:00Z,97.00,3.00
2026-05-20T10:10:00Z,98.00,1.87
2026-05-20T10:11:00Z,98.98,1.00
