# event_ticker=KXATPMATCH-26APR12BLOHAN
# final_score=7-6(2) 6-2
# score_resolution=7-6 6-2
# match_winner=Alexander Blockx
# fav_player=Alexander Blockx
# dog_player=Yannick Hanfmann
# kalshi_date=2026-04-12
timestamp,Alexander Blockx,Yannick Hanfmann
2026-04-13T03:26:00Z,,49.00
2026-04-13T03:29:00Z,,49.00
2026-04-13T03:32:00Z,,49.00
2026-04-13T03:34:00Z,53.49,48.68
2026-04-13T03:35:00Z,52.60,48.00
2026-04-13T03:36:00Z,52.00,48.00
2026-04-13T03:37:00Z,51.84,48.00
2026-04-13T03:39:00Z,51.84,48.00
2026-04-13T03:40:00Z,53.00,48.00
2026-04-13T03:41:00Z,53.00,48.00
2026-04-13T03:43:00Z,53.00,48.00
2026-04-13T03:45:00Z,53.00,48.00
2026-04-13T03:46:00Z,53.00,48.00
2026-04-13T03:49:00Z,53.00,48.00
2026-04-13T03:51:00Z,53.00,48.00
2026-04-13T03:52:00Z,53.00,49.00
2026-04-13T03:55:00Z,53.33,49.00
2026-04-13T03:57:00Z,54.00,49.00
2026-04-13T03:58:00Z,54.00,49.00
2026-04-13T04:01:00Z,54.00,48.00
2026-04-13T04:03:00Z,54.00,48.00
2026-04-13T04:04:00Z,53.00,48.00
2026-04-13T04:05:00Z,54.00,48.00
2026-04-13T04:16:00Z,54.00,48.00
2026-04-13T04:17:00Z,54.00,48.00
2026-04-13T04:22:00Z,54.00,48.00
2026-04-13T04:24:00Z,54.00,48.00
2026-04-13T04:27:00Z,54.00,48.00
2026-04-13T04:28:00Z,54.00,48.00
2026-04-13T04:31:00Z,54.00,48.00
2026-04-13T04:33:00Z,54.00,48.00
2026-04-13T04:41:00Z,54.00,48.00
2026-04-13T04:45:00Z,53.88,48.00
2026-04-13T04:52:00Z,54.00,48.00
2026-04-13T04:54:00Z,54.00,47.00
2026-04-13T04:58:00Z,54.00,47.00
2026-04-13T04:59:00Z,52.83,47.00
2026-04-13T05:02:00Z,52.83,48.00
2026-04-13T05:05:00Z,54.00,48.00
2026-04-13T05:06:00Z,54.00,48.00
2026-04-13T05:08:00Z,54.00,48.00
2026-04-13T05:15:00Z,54.00,48.00
2026-04-13T05:25:00Z,54.00,48.00
2026-04-13T05:27:00Z,54.00,47.34
2026-04-13T05:29:00Z,54.00,48.00
2026-04-13T05:33:00Z,54.00,48.00
2026-04-13T05:35:00Z,54.00,46.00
2026-04-13T05:39:00Z,54.00,48.00
2026-04-13T05:40:00Z,54.00,48.00
2026-04-13T05:44:00Z,54.00,48.00
2026-04-13T05:46:00Z,54.00,48.00
2026-04-13T05:49:00Z,54.00,48.00
2026-04-13T05:52:00Z,54.00,48.00
2026-04-13T05:55:00Z,54.00,48.00
2026-04-13T06:04:00Z,54.00,48.00
2026-04-13T06:06:00Z,54.00,48.00
2026-04-13T06:07:00Z,54.00,48.00
