# event_ticker=KXATPCHALLENGERMATCH-26MAR23GENFOR
# final_score=7-5 6-1
# match_winner=Tom Gentzsch
# fav_player=Tom Gentzsch
# dog_player=Jonas Forejtek
# kalshi_date=2026-03-23
timestamp,Tom Gentzsch,Jonas Forejtek
2026-03-23T04:35:00Z,,66.00
2026-03-23T04:50:00Z,35.00,66.00
2026-03-23T04:52:00Z,35.00,66.00
2026-03-23T04:56:00Z,35.00,66.00
2026-03-23T04:59:00Z,35.00,66.00
2026-03-23T06:33:00Z,35.00,66.00
2026-03-23T06:34:00Z,35.00,67.91
2026-03-23T06:44:00Z,35.00,68.00
2026-03-23T07:14:00Z,35.00,68.00
2026-03-23T08:02:00Z,35.00,68.00
2026-03-23T08:30:00Z,35.00,68.00
2026-03-23T08:59:00Z,35.00,66.00
2026-03-23T09:20:00Z,34.00,66.00
2026-03-23T09:44:00Z,35.00,66.00
2026-03-23T12:14:00Z,35.64,66.00
2026-03-23T12:31:00Z,36.00,66.00
2026-03-23T12:42:00Z,36.00,66.00
2026-03-23T13:15:00Z,36.00,66.00
2026-03-23T13:36:00Z,36.00,66.00
2026-03-23T13:57:00Z,36.00,66.00
2026-03-23T14:03:00Z,36.00,66.00
2026-03-23T14:14:00Z,36.00,66.00
2026-03-23T14:16:00Z,36.00,66.00
2026-03-23T14:43:00Z,36.00,67.00
2026-03-23T14:47:00Z,36.00,67.00
2026-03-23T14:49:00Z,35.70,67.00
2026-03-23T14:56:00Z,36.00,66.93
2026-03-23T15:04:00Z,36.00,66.93
2026-03-23T15:08:00Z,36.00,63.00
2026-03-23T15:10:00Z,36.00,66.00
2026-03-23T15:11:00Z,36.00,66.00
2026-03-23T15:13:00Z,36.00,66.00
2026-03-23T15:16:00Z,36.00,66.98
2026-03-23T15:17:00Z,36.00,66.98
2026-03-23T15:24:00Z,36.00,66.98
2026-03-23T15:27:00Z,36.00,66.98
2026-03-23T15:29:00Z,36.00,66.00
2026-03-23T15:32:00Z,36.00,65.76
2026-03-23T15:34:00Z,36.00,65.00
2026-03-23T15:35:00Z,36.00,66.00
2026-03-23T15:40:00Z,36.00,66.00
2026-03-23T15:45:00Z,36.00,66.00
2026-03-23T15:47:00Z,36.00,66.00
2026-03-23T15:49:00Z,36.00,66.00
2026-03-23T15:51:00Z,37.00,66.99
2026-03-23T15:53:00Z,37.00,66.00
2026-03-23T15:54:00Z,37.00,66.00
2026-03-23T15:55:00Z,33.29,65.50
2026-03-23T15:56:00Z,37.00,66.15
2026-03-23T15:57:00Z,37.00,66.15
2026-03-23T15:59:00Z,35.77,66.15
2026-03-23T16:00:00Z,35.96,66.15
2026-03-23T16:01:00Z,36.00,66.15
2026-03-23T16:04:00Z,35.55,66.15
2026-03-23T16:05:00Z,37.19,63.95
2026-03-23T16:06:00Z,40.30,59.74
2026-03-23T16:07:00Z,40.30,60.52
2026-03-23T16:08:00Z,41.93,65.00
2026-03-23T16:09:00Z,38.71,63.00
2026-03-23T16:10:00Z,44.00,57.84
2026-03-23T16:12:00Z,36.00,67.97
2026-03-23T16:13:00Z,36.00,69.22
2026-03-23T16:14:00Z,36.00,65.00
2026-03-23T16:15:00Z,39.98,59.84
2026-03-23T16:16:00Z,42.45,59.84
2026-03-23T16:17:00Z,43.00,59.00
2026-03-23T16:18:00Z,41.92,59.00
2026-03-23T16:19:00Z,45.51,52.95
2026-03-23T16:20:00Z,43.64,52.95
2026-03-23T16:21:00Z,40.96,59.00
2026-03-23T16:22:00Z,42.00,59.00
2026-03-23T16:23:00Z,42.00,62.00
2026-03-23T16:24:00Z,34.04,65.13
2026-03-23T16:25:00Z,42.75,57.05
2026-03-23T16:26:00Z,43.84,56.98
2026-03-23T16:27:00Z,45.86,55.23
2026-03-23T16:28:00Z,50.63,49.59
2026-03-23T16:29:00Z,55.65,45.47
2026-03-23T16:30:00Z,59.31,42.30
2026-03-23T16:31:00Z,63.84,39.66
2026-03-23T16:32:00Z,58.77,44.50
2026-03-23T16:33:00Z,59.00,41.00
2026-03-23T16:34:00Z,51.29,46.55
2026-03-23T16:35:00Z,57.88,42.32
2026-03-23T16:36:00Z,62.09,36.00
2026-03-23T16:37:00Z,65.00,35.97
2026-03-23T16:38:00Z,63.58,36.14
2026-03-23T16:39:00Z,65.50,35.85
2026-03-23T16:40:00Z,62.62,38.29
2026-03-23T16:41:00Z,56.75,42.31
2026-03-23T16:42:00Z,52.75,49.00
2026-03-23T16:43:00Z,44.97,52.98
2026-03-23T16:44:00Z,41.00,60.04
2026-03-23T16:45:00Z,40.58,62.77
2026-03-23T16:46:00Z,35.89,66.00
2026-03-23T16:47:00Z,33.84,71.24
2026-03-23T16:48:00Z,24.99,76.49
2026-03-23T16:49:00Z,30.57,73.50
2026-03-23T16:50:00Z,36.87,62.00
2026-03-23T16:51:00Z,40.08,61.00
2026-03-23T16:52:00Z,37.59,65.72
2026-03-23T16:53:00Z,38.60,65.00
2026-03-23T16:54:00Z,45.37,60.00
2026-03-23T16:55:00Z,63.64,36.99
2026-03-23T16:56:00Z,63.21,37.00
2026-03-23T16:57:00Z,65.00,37.00
2026-03-23T16:58:00Z,63.21,37.99
2026-03-23T16:59:00Z,62.59,37.95
2026-03-23T17:00:00Z,65.43,36.56
