# event_ticker=KXATPCHALLENGERMATCH-26FEB10GIUMER
# final_score=6-4 2-0 RET
# match_winner=Daniel Merida
# fav_player=Daniel Merida
# dog_player=Lorenzo Giustino
# kalshi_date=2026-02-10
timestamp,Daniel Merida,Lorenzo Giustino
2026-02-10T04:16:00Z,,28.00
2026-02-10T04:48:00Z,75.00,28.00
2026-02-10T05:17:00Z,75.00,28.00
2026-02-10T05:51:00Z,75.00,28.00
2026-02-10T06:14:00Z,75.00,25.00
2026-02-10T06:57:00Z,75.00,28.00
2026-02-10T09:45:00Z,75.00,28.00
2026-02-10T11:56:00Z,75.00,28.00
2026-02-10T11:59:00Z,75.00,28.00
2026-02-10T12:22:00Z,74.00,28.00
2026-02-10T12:49:00Z,74.00,29.00
2026-02-10T12:53:00Z,74.00,29.00
2026-02-10T12:54:00Z,74.00,28.84
2026-02-10T12:59:00Z,74.00,28.84
2026-02-10T13:02:00Z,74.00,29.00
2026-02-10T13:09:00Z,75.00,29.00
2026-02-10T13:10:00Z,75.00,28.83
2026-02-10T13:15:00Z,75.00,29.00
2026-02-10T13:31:00Z,75.00,28.88
2026-02-10T13:35:00Z,74.91,28.88
2026-02-10T13:43:00Z,74.42,28.88
2026-02-10T14:00:00Z,74.30,28.88
2026-02-10T14:01:00Z,74.00,26.00
2026-02-10T14:02:00Z,74.00,28.98
2026-02-10T14:11:00Z,74.00,28.00
2026-02-10T14:21:00Z,74.00,28.54
2026-02-10T14:23:00Z,74.00,27.00
2026-02-10T14:24:00Z,74.50,27.00
2026-02-10T14:26:00Z,74.50,25.00
2026-02-10T14:31:00Z,75.00,25.00
2026-02-10T14:43:00Z,74.00,25.00
2026-02-10T14:50:00Z,74.96,25.00
2026-02-10T14:51:00Z,75.00,25.00
2026-02-10T14:53:00Z,75.00,27.00
2026-02-10T14:54:00Z,76.00,27.00
2026-02-10T14:56:00Z,76.00,27.00
2026-02-10T14:57:00Z,76.00,27.00
2026-02-10T14:59:00Z,76.00,27.00
2026-02-10T15:00:00Z,80.00,24.80
2026-02-10T15:01:00Z,73.00,24.94
2026-02-10T15:02:00Z,70.08,29.88
2026-02-10T15:03:00Z,71.00,31.00
2026-02-10T15:04:00Z,68.95,32.00
2026-02-10T15:05:00Z,67.00,33.00
2026-02-10T15:06:00Z,67.00,27.00
2026-02-10T15:07:00Z,67.00,27.00
2026-02-10T15:08:00Z,78.98,27.03
2026-02-10T15:09:00Z,71.00,30.04
2026-02-10T15:10:00Z,71.00,30.60
2026-02-10T15:11:00Z,71.21,33.61
2026-02-10T15:12:00Z,65.15,34.84
2026-02-10T15:13:00Z,67.02,31.57
2026-02-10T15:14:00Z,67.02,30.36
2026-02-10T15:15:00Z,72.93,30.00
2026-02-10T15:16:00Z,72.93,28.76
2026-02-10T15:17:00Z,71.57,29.79
2026-02-10T15:18:00Z,73.09,29.00
2026-02-10T15:19:00Z,73.09,24.55
2026-02-10T15:20:00Z,85.18,15.59
2026-02-10T15:21:00Z,85.18,17.46
2026-02-10T15:22:00Z,85.18,16.01
2026-02-10T15:23:00Z,86.35,14.82
2026-02-10T15:24:00Z,86.66,13.85
2026-02-10T15:25:00Z,84.00,16.02
2026-02-10T15:26:00Z,84.00,17.98
2026-02-10T15:27:00Z,83.18,17.82
2026-02-10T15:28:00Z,87.66,13.49
2026-02-10T15:29:00Z,88.00,13.28
2026-02-10T15:30:00Z,87.00,14.10
2026-02-10T15:31:00Z,86.00,13.52
2026-02-10T15:32:00Z,86.00,13.94
2026-02-10T15:33:00Z,88.00,14.00
2026-02-10T15:34:00Z,88.10,12.60
2026-02-10T15:35:00Z,89.30,11.82
2026-02-10T15:36:00Z,91.00,11.00
2026-02-10T15:37:00Z,89.06,10.03
2026-02-10T15:38:00Z,92.00,7.77
2026-02-10T15:39:00Z,90.25,11.11
2026-02-10T15:40:00Z,88.05,12.69
2026-02-10T15:41:00Z,92.00,10.65
2026-02-10T15:42:00Z,92.01,9.79
2026-02-10T15:43:00Z,91.00,10.56
2026-02-10T15:44:00Z,93.01,8.39
2026-02-10T15:45:00Z,92.00,11.00
2026-02-10T15:46:00Z,89.10,11.55
2026-02-10T15:47:00Z,91.34,11.00
2026-02-10T15:48:00Z,92.98,7.46
2026-02-10T15:49:00Z,95.00,5.42
2026-02-10T15:50:00Z,96.85,3.93
2026-02-10T15:51:00Z,97.00,4.00
2026-02-10T15:52:00Z,97.00,3.78
2026-02-10T15:53:00Z,98.65,2.41
2026-02-10T15:54:00Z,98.00,1.49
2026-02-10T15:56:00Z,98.00,1.00
2026-02-10T15:57:00Z,98.00,1.00
