# event_ticker=KXATPMATCH-25JUL20QUIOCO
# final_score=6-3 6-2
# score_resolution=3-6 2-6
# match_winner=Ethan Quinn
# fav_player=Christopher O'Connell
# dog_player=Ethan Quinn
# kalshi_date=2025-07-20
timestamp,Christopher O'Connell,Ethan Quinn
2025-07-21T03:38:00Z,,62.00
2025-07-21T03:48:00Z,,62.00
2025-07-21T04:05:00Z,,55.00
2025-07-21T04:08:00Z,,62.00
2025-07-21T04:30:00Z,,62.42
2025-07-21T04:43:00Z,,63.35
2025-07-21T04:47:00Z,40.00,64.92
2025-07-21T04:53:00Z,40.00,64.81
2025-07-21T04:55:00Z,42.55,64.81
2025-07-21T05:00:00Z,45.68,64.81
2025-07-21T05:03:00Z,45.68,64.50
2025-07-21T05:07:00Z,44.00,64.50
2025-07-21T05:23:00Z,44.00,65.00
2025-07-21T05:52:00Z,44.00,65.00
2025-07-21T06:06:00Z,45.42,65.00
2025-07-21T12:28:00Z,41.00,61.00
2025-07-21T12:51:00Z,41.00,62.00
2025-07-21T13:00:00Z,41.00,62.00
2025-07-21T13:11:00Z,37.00,62.00
2025-07-21T13:19:00Z,38.00,62.00
2025-07-21T13:30:00Z,38.00,64.00
2025-07-21T13:35:00Z,38.00,64.00
2025-07-21T13:37:00Z,38.00,64.00
2025-07-21T13:41:00Z,38.00,64.00
2025-07-21T13:47:00Z,38.00,62.00
2025-07-21T13:52:00Z,38.00,64.00
2025-07-21T13:56:00Z,38.00,64.00
2025-07-21T14:02:00Z,38.00,64.00
2025-07-21T14:08:00Z,38.00,64.00
2025-07-21T14:18:00Z,38.00,64.00
2025-07-21T14:19:00Z,38.00,64.00
2025-07-21T14:31:00Z,38.00,64.43
2025-07-21T14:32:00Z,37.00,65.00
2025-07-21T14:36:00Z,37.00,64.95
2025-07-21T14:37:00Z,37.00,65.00
2025-07-21T14:39:00Z,36.00,65.00
2025-07-21T14:58:00Z,36.00,64.99
2025-07-21T15:00:00Z,36.00,65.00
2025-07-21T15:05:00Z,36.00,66.00
2025-07-21T15:08:00Z,36.00,64.78
2025-07-21T15:09:00Z,36.00,64.86
2025-07-21T15:10:00Z,36.00,64.86
2025-07-21T15:11:00Z,36.00,68.00
2025-07-21T15:12:00Z,33.00,68.00
2025-07-21T15:13:00Z,33.98,69.00
2025-07-21T15:14:00Z,37.00,69.00
2025-07-21T15:16:00Z,35.00,69.00
2025-07-21T15:20:00Z,35.00,72.00
2025-07-21T15:21:00Z,29.00,71.00
2025-07-21T15:22:00Z,26.76,67.43
2025-07-21T15:23:00Z,26.76,76.93
2025-07-21T15:24:00Z,26.76,81.31
2025-07-21T15:25:00Z,19.00,83.00
2025-07-21T15:26:00Z,19.89,83.00
2025-07-21T15:28:00Z,19.89,84.05
2025-07-21T15:30:00Z,19.89,81.25
2025-07-21T15:32:00Z,22.44,80.55
2025-07-21T15:33:00Z,20.95,79.00
2025-07-21T15:34:00Z,18.00,79.00
2025-07-21T15:36:00Z,19.00,89.56
2025-07-21T15:37:00Z,19.00,83.99
2025-07-21T15:38:00Z,24.74,84.02
2025-07-21T15:39:00Z,18.00,81.00
2025-07-21T15:40:00Z,19.00,81.00
2025-07-21T15:42:00Z,19.00,85.85
2025-07-21T15:43:00Z,19.00,84.00
2025-07-21T15:45:00Z,19.00,84.00
2025-07-21T15:46:00Z,19.00,84.00
2025-07-21T15:47:00Z,19.00,92.06
2025-07-21T15:48:00Z,20.00,80.00
2025-07-21T15:49:00Z,20.00,80.43
2025-07-21T15:50:00Z,20.00,80.00
2025-07-21T15:51:00Z,23.62,79.53
2025-07-21T15:53:00Z,23.62,78.48
2025-07-21T15:55:00Z,23.62,82.65
2025-07-21T15:56:00Z,23.62,84.00
2025-07-21T15:57:00Z,18.00,84.02
2025-07-21T15:58:00Z,18.00,85.00
2025-07-21T15:59:00Z,18.00,88.11
2025-07-21T16:00:00Z,10.99,87.35
2025-07-21T16:01:00Z,10.99,84.43
2025-07-21T16:02:00Z,10.99,86.98
2025-07-21T16:03:00Z,7.47,86.98
2025-07-21T16:04:00Z,7.17,96.00
2025-07-21T16:05:00Z,4.00,96.34
2025-07-21T16:06:00Z,4.00,96.80
2025-07-21T16:07:00Z,4.00,98.64
2025-07-21T16:09:00Z,4.00,98.64
2025-07-21T16:11:00Z,4.00,98.64
2025-07-21T16:13:00Z,2.16,98.64
2025-07-21T16:15:00Z,2.00,98.64
2025-07-21T16:18:00Z,1.00,99.00
2025-07-21T16:20:00Z,1.00,99.00
2025-07-21T16:22:00Z,1.00,99.00
2025-07-21T16:23:00Z,1.00,99.00
2025-07-21T16:28:00Z,1.00,99.00
2025-07-21T16:30:00Z,1.00,99.00
