# event_ticker=KXATPMATCH-25JUL19PRIMOL
# final_score=6-4 6-2
# match_winner=Dino Prizmic
# fav_player=Dino Prizmic
# dog_player=Elmer Moller
# kalshi_date=2025-07-19
timestamp,Dino Prizmic,Elmer Moller
2025-07-22T12:37:00Z,57.00,
2025-07-22T13:08:00Z,57.00,44.00
2025-07-22T14:04:00Z,57.00,44.00
2025-07-22T14:22:00Z,57.00,44.00
2025-07-22T14:36:00Z,57.00,44.00
2025-07-22T14:49:00Z,57.00,44.00
2025-07-22T15:02:00Z,57.00,44.00
2025-07-22T15:46:00Z,57.00,44.00
2025-07-22T16:06:00Z,57.00,44.00
2025-07-22T16:17:00Z,57.00,44.00
2025-07-22T16:21:00Z,57.00,44.00
2025-07-22T16:29:00Z,57.00,44.00
2025-07-22T17:12:00Z,57.00,44.00
2025-07-22T17:21:00Z,57.00,44.00
2025-07-22T17:31:00Z,57.00,44.00
2025-07-22T17:46:00Z,57.00,44.00
2025-07-22T17:51:00Z,57.00,44.00
2025-07-22T17:55:00Z,57.00,43.15
2025-07-22T18:04:00Z,57.00,44.00
2025-07-22T18:12:00Z,57.00,44.00
2025-07-22T18:22:00Z,57.00,44.00
2025-07-22T18:28:00Z,57.00,41.42
2025-07-22T18:30:00Z,57.54,41.42
2025-07-22T18:32:00Z,58.00,41.42
2025-07-22T18:37:00Z,58.00,44.00
2025-07-22T18:41:00Z,57.00,44.00
2025-07-22T18:42:00Z,57.00,44.00
2025-07-22T18:44:00Z,57.00,44.00
2025-07-22T18:45:00Z,57.00,45.00
2025-07-22T18:46:00Z,57.00,45.00
2025-07-22T18:47:00Z,56.96,45.00
2025-07-22T18:48:00Z,57.95,45.00
2025-07-22T18:49:00Z,57.00,45.00
2025-07-22T18:50:00Z,57.00,44.72
2025-07-22T18:51:00Z,57.98,44.47
2025-07-22T18:53:00Z,57.00,44.47
2025-07-22T18:54:00Z,58.00,44.00
2025-07-22T18:55:00Z,57.99,44.00
2025-07-22T18:56:00Z,58.00,44.00
2025-07-22T18:57:00Z,58.00,44.00
2025-07-22T18:58:00Z,58.00,44.00
2025-07-22T19:00:00Z,58.00,44.00
2025-07-22T19:02:00Z,58.00,44.00
2025-07-22T19:03:00Z,58.00,44.00
2025-07-22T19:05:00Z,58.00,44.00
2025-07-22T19:06:00Z,58.00,44.00
2025-07-22T19:08:00Z,58.00,44.00
