# event_ticker=KXATPCHALLENGERMATCH-26MAR17SANCAR
# final_score=7-6(3) 6-1
# score_resolution=6-7 1-6
# match_winner=Pablo Carreno Busta
# fav_player=Carlos Sanchez Jover
# dog_player=Pablo Carreno Busta
# kalshi_date=2026-03-17
timestamp,Carlos Sanchez Jover,Pablo Carreno Busta
2026-03-17T04:01:00Z,22.00,
2026-03-17T04:34:00Z,22.00,78.02
2026-03-17T04:35:00Z,22.00,78.02
2026-03-17T04:39:00Z,22.00,80.00
2026-03-17T05:30:00Z,22.00,80.00
2026-03-17T05:32:00Z,22.00,80.00
2026-03-17T05:56:00Z,22.00,80.00
2026-03-17T06:42:00Z,21.00,80.00
2026-03-17T06:53:00Z,21.00,80.00
2026-03-17T07:45:00Z,21.00,79.00
2026-03-17T08:17:00Z,21.00,79.00
2026-03-17T08:52:00Z,21.00,79.00
2026-03-17T09:05:00Z,21.00,79.00
2026-03-17T09:44:00Z,20.00,79.00
2026-03-17T09:46:00Z,19.00,79.00
2026-03-17T09:55:00Z,21.00,79.00
2026-03-17T10:10:00Z,21.00,79.00
2026-03-17T10:36:00Z,21.00,79.00
2026-03-17T10:43:00Z,21.00,79.00
2026-03-17T10:59:00Z,21.00,79.00
2026-03-17T11:10:00Z,21.00,80.00
2026-03-17T11:22:00Z,21.00,80.00
2026-03-17T11:25:00Z,21.00,80.88
2026-03-17T12:01:00Z,21.00,80.88
2026-03-17T12:21:00Z,21.00,81.94
2026-03-17T12:30:00Z,21.00,82.00
2026-03-17T12:34:00Z,20.00,82.00
2026-03-17T12:35:00Z,20.00,82.00
2026-03-17T12:36:00Z,20.00,82.00
2026-03-17T12:41:00Z,20.00,82.00
2026-03-17T12:42:00Z,20.00,82.00
2026-03-17T12:43:00Z,20.00,82.00
2026-03-17T12:44:00Z,20.00,82.00
2026-03-17T12:45:00Z,20.00,82.00
2026-03-17T12:46:00Z,20.00,82.00
2026-03-17T12:47:00Z,22.00,80.00
2026-03-17T12:48:00Z,24.17,77.89
2026-03-17T12:49:00Z,25.00,77.00
2026-03-17T12:50:00Z,25.35,77.11
2026-03-17T12:51:00Z,24.00,78.00
2026-03-17T12:52:00Z,29.53,72.00
2026-03-17T12:53:00Z,36.56,71.00
2026-03-17T12:54:00Z,41.90,63.00
2026-03-17T12:55:00Z,44.99,57.45
2026-03-17T12:56:00Z,45.96,56.98
2026-03-17T12:57:00Z,50.06,53.77
2026-03-17T12:58:00Z,43.74,58.40
2026-03-17T12:59:00Z,41.50,59.13
2026-03-17T13:00:00Z,50.15,58.86
2026-03-17T13:01:00Z,39.92,59.87
2026-03-17T13:02:00Z,40.80,63.66
2026-03-17T13:03:00Z,31.07,72.02
2026-03-17T13:04:00Z,28.98,72.02
2026-03-17T13:05:00Z,26.68,72.88
2026-03-17T13:06:00Z,28.49,76.99
2026-03-17T13:07:00Z,28.06,76.44
2026-03-17T13:08:00Z,25.37,75.74
2026-03-17T13:09:00Z,29.86,72.59
2026-03-17T13:10:00Z,30.07,71.93
2026-03-17T13:11:00Z,31.00,70.00
2026-03-17T13:12:00Z,31.00,70.18
2026-03-17T13:13:00Z,27.02,75.36
2026-03-17T13:14:00Z,27.53,74.00
2026-03-17T13:15:00Z,29.30,69.00
2026-03-17T13:16:00Z,32.11,68.40
2026-03-17T13:17:00Z,30.41,71.48
2026-03-17T13:18:00Z,26.94,73.81
2026-03-17T13:19:00Z,29.19,72.13
2026-03-17T13:20:00Z,29.02,74.05
2026-03-17T13:21:00Z,32.57,70.10
2026-03-17T13:22:00Z,33.74,70.00
2026-03-17T13:23:00Z,38.42,63.94
2026-03-17T13:24:00Z,35.13,68.99
2026-03-17T13:25:00Z,27.48,73.80
2026-03-17T13:26:00Z,27.01,75.99
2026-03-17T13:27:00Z,15.49,83.18
2026-03-17T13:28:00Z,14.81,86.04
2026-03-17T13:29:00Z,20.72,83.33
2026-03-17T13:30:00Z,21.95,81.18
2026-03-17T13:31:00Z,24.77,79.16
2026-03-17T13:32:00Z,29.43,72.05
2026-03-17T13:33:00Z,32.03,70.93
2026-03-17T13:34:00Z,35.19,67.85
2026-03-17T13:35:00Z,31.99,71.06
2026-03-17T13:36:00Z,39.89,63.07
2026-03-17T13:37:00Z,31.12,67.92
2026-03-17T13:38:00Z,29.97,73.83
2026-03-17T13:39:00Z,28.04,71.71
2026-03-17T13:40:00Z,24.91,77.31
2026-03-17T13:41:00Z,16.37,87.81
2026-03-17T13:42:00Z,9.87,89.54
2026-03-17T13:43:00Z,11.85,86.67
2026-03-17T13:44:00Z,13.01,89.06
2026-03-17T13:45:00Z,9.86,90.19
2026-03-17T13:46:00Z,10.01,90.02
2026-03-17T13:47:00Z,11.68,90.48
2026-03-17T13:48:00Z,10.43,89.15
2026-03-17T13:49:00Z,12.75,87.94
2026-03-17T13:50:00Z,10.63,89.76
2026-03-17T13:51:00Z,7.44,92.07
2026-03-17T13:52:00Z,7.60,92.41
2026-03-17T13:53:00Z,8.51,94.09
2026-03-17T13:54:00Z,4.79,96.35
2026-03-17T13:55:00Z,3.78,95.97
2026-03-17T13:56:00Z,3.98,96.51
2026-03-17T13:57:00Z,3.14,96.52
2026-03-17T13:58:00Z,3.83,96.77
2026-03-17T13:59:00Z,3.41,97.00
2026-03-17T14:00:00Z,2.44,98.65
2026-03-17T14:01:00Z,1.01,98.94
2026-03-17T14:02:00Z,1.44,98.80
2026-03-17T14:03:00Z,1.82,98.94
2026-03-17T14:04:00Z,3.37,97.96
2026-03-17T14:05:00Z,3.01,98.00
2026-03-17T14:06:00Z,4.45,97.56
2026-03-17T14:07:00Z,4.20,97.00
2026-03-17T14:08:00Z,2.95,97.00
2026-03-17T14:09:00Z,2.23,98.13
2026-03-17T14:10:00Z,2.46,98.22
2026-03-17T14:11:00Z,1.00,99.00
2026-03-17T14:12:00Z,1.00,98.83
2026-03-17T14:13:00Z,1.00,98.83
2026-03-17T14:14:00Z,1.00,99.00
2026-03-17T14:15:00Z,1.00,99.00
2026-03-17T14:16:00Z,1.00,99.00
2026-03-17T14:17:00Z,1.00,99.00
