# event_ticker=KXATPMATCH-26FEB10SHAJOD
# final_score=6-1 6-2
# score_resolution=1-6 2-6
# match_winner=Denis Shapovalov
# fav_player=Rafael Jodar
# dog_player=Denis Shapovalov
# kalshi_date=2026-02-10
timestamp,Rafael Jodar,Denis Shapovalov
2026-02-10T16:25:00Z,,51.00
2026-02-10T16:26:00Z,50.00,51.00
2026-02-10T16:33:00Z,50.00,51.00
2026-02-10T16:47:00Z,50.00,50.99
2026-02-10T16:48:00Z,50.00,52.00
2026-02-10T16:54:00Z,50.00,52.00
2026-02-10T16:55:00Z,49.00,52.00
2026-02-10T17:02:00Z,50.00,52.00
2026-02-10T17:03:00Z,50.00,52.00
2026-02-10T17:04:00Z,48.05,52.00
2026-02-10T17:05:00Z,49.00,52.00
2026-02-10T17:06:00Z,49.00,52.00
2026-02-10T17:15:00Z,49.00,52.00
2026-02-10T17:23:00Z,49.00,52.00
2026-02-10T17:26:00Z,49.00,52.00
2026-02-10T17:27:00Z,49.00,52.00
2026-02-10T17:29:00Z,49.00,52.00
2026-02-10T17:33:00Z,49.00,52.00
2026-02-10T17:36:00Z,49.00,52.00
2026-02-10T17:48:00Z,49.00,52.00
2026-02-10T17:54:00Z,49.00,52.00
2026-02-10T18:04:00Z,49.00,52.00
2026-02-10T18:07:00Z,49.00,52.00
2026-02-10T18:09:00Z,49.00,52.00
2026-02-10T18:13:00Z,49.00,53.00
2026-02-10T18:19:00Z,48.00,53.00
2026-02-10T18:26:00Z,48.00,53.00
2026-02-10T18:29:00Z,48.00,53.00
2026-02-10T18:48:00Z,48.00,53.00
2026-02-10T18:53:00Z,48.00,53.00
2026-02-10T18:54:00Z,48.00,53.00
2026-02-10T19:08:00Z,48.00,53.00
2026-02-10T19:21:00Z,48.00,53.00
2026-02-10T19:25:00Z,48.00,53.00
2026-02-10T19:28:00Z,48.00,53.00
2026-02-10T19:30:00Z,48.00,53.00
2026-02-10T19:31:00Z,48.00,53.00
2026-02-10T19:47:00Z,48.00,52.00
2026-02-10T19:50:00Z,48.00,52.00
2026-02-10T19:54:00Z,48.00,52.00
2026-02-10T19:55:00Z,48.00,52.00
2026-02-10T19:56:00Z,48.00,52.00
2026-02-10T20:03:00Z,48.95,52.00
2026-02-10T20:06:00Z,48.95,52.00
2026-02-10T20:14:00Z,48.95,52.00
