# event_ticker=KXATPCHALLENGERMATCH-26APR20CHAHUR
# final_score=6-4 7-6(10)
# score_resolution=6-4 7-6
# match_winner=Maxime Chazal
# fav_player=Maxime Chazal
# dog_player=Millen Hurrion
# kalshi_date=2026-04-20
timestamp,Maxime Chazal,Millen Hurrion
2026-04-21T08:02:00Z,,52.00
2026-04-21T08:10:00Z,,52.00
2026-04-21T08:58:00Z,,52.00
2026-04-21T09:01:00Z,,50.00
2026-04-21T11:26:00Z,,52.00
2026-04-21T11:35:00Z,48.00,52.00
2026-04-21T11:43:00Z,48.00,52.00
2026-04-21T12:20:00Z,48.00,52.00
2026-04-21T12:27:00Z,49.95,52.00
2026-04-21T12:29:00Z,49.95,52.00
2026-04-21T12:43:00Z,50.00,52.00
2026-04-21T13:28:00Z,50.00,52.00
2026-04-21T13:52:00Z,48.00,60.86
2026-04-21T13:53:00Z,48.00,53.86
2026-04-21T13:54:00Z,48.00,53.86
2026-04-21T14:06:00Z,48.00,51.00
2026-04-21T14:23:00Z,46.00,51.00
2026-04-21T14:26:00Z,46.00,54.00
2026-04-21T14:31:00Z,46.00,54.00
2026-04-21T14:39:00Z,49.00,54.00
2026-04-21T14:46:00Z,49.00,55.00
2026-04-21T14:49:00Z,49.00,52.00
2026-04-21T15:31:00Z,49.00,52.00
2026-04-21T15:34:00Z,49.00,52.00
2026-04-21T15:43:00Z,49.00,52.00
2026-04-21T15:59:00Z,49.00,52.00
2026-04-21T16:14:00Z,49.00,53.00
2026-04-21T16:26:00Z,49.00,53.00
2026-04-21T16:45:00Z,48.00,53.00
2026-04-21T16:58:00Z,48.00,54.00
2026-04-21T17:03:00Z,48.00,54.00
2026-04-21T17:05:00Z,48.00,54.00
2026-04-21T17:07:00Z,48.00,54.00
2026-04-21T17:11:00Z,45.00,54.00
2026-04-21T17:12:00Z,48.00,54.00
2026-04-21T17:13:00Z,48.00,54.00
2026-04-21T17:14:00Z,48.00,54.00
2026-04-21T17:18:00Z,48.00,54.00
2026-04-21T17:23:00Z,45.00,54.00
2026-04-21T17:27:00Z,45.00,52.00
2026-04-21T17:29:00Z,45.00,54.00
