# event_ticker=KXATPCHALLENGERMATCH-26APR03BERDAL
# final_score=7-5 6-1
# match_winner=Enrico Dalla Valle
# fav_player=Enrico Dalla Valle
# dog_player=Remy Bertola
# kalshi_date=2026-04-03
timestamp,Enrico Dalla Valle,Remy Bertola
2026-04-03T01:31:00Z,43.00,
2026-04-03T01:44:00Z,43.00,
2026-04-03T02:52:00Z,43.00,58.00
2026-04-03T02:56:00Z,43.00,58.00
2026-04-03T03:29:00Z,43.00,58.00
2026-04-03T03:44:00Z,43.00,59.00
2026-04-03T03:45:00Z,42.00,59.00
2026-04-03T03:46:00Z,43.00,59.00
2026-04-03T04:08:00Z,43.00,58.00
2026-04-03T04:18:00Z,43.00,58.00
2026-04-03T04:59:00Z,43.00,58.00
2026-04-03T05:00:00Z,43.00,58.00
2026-04-03T05:08:00Z,43.00,58.00
2026-04-03T05:14:00Z,43.00,58.00
2026-04-03T05:24:00Z,42.00,58.00
2026-04-03T06:26:00Z,43.00,58.00
2026-04-03T06:31:00Z,43.00,57.00
2026-04-03T06:54:00Z,43.00,57.00
2026-04-03T07:06:00Z,43.00,57.00
2026-04-03T07:15:00Z,43.00,57.00
2026-04-03T07:50:00Z,43.00,57.00
2026-04-03T08:23:00Z,43.00,57.00
2026-04-03T08:55:00Z,43.00,57.00
2026-04-03T08:56:00Z,43.00,57.00
2026-04-03T09:05:00Z,43.00,57.00
2026-04-03T09:52:00Z,45.56,57.00
2026-04-03T09:56:00Z,46.00,57.00
2026-04-03T10:01:00Z,46.00,57.00
2026-04-03T10:12:00Z,46.00,57.00
2026-04-03T10:13:00Z,46.00,57.94
2026-04-03T10:19:00Z,44.67,57.94
2026-04-03T10:37:00Z,43.98,57.94
2026-04-03T11:25:00Z,43.98,58.90
2026-04-03T11:30:00Z,43.97,58.90
2026-04-03T11:31:00Z,43.97,58.69
2026-04-03T11:32:00Z,43.50,58.69
2026-04-03T11:33:00Z,43.84,58.69
2026-04-03T11:34:00Z,44.03,58.67
2026-04-03T11:35:00Z,43.00,59.94
2026-04-03T11:36:00Z,43.00,60.00
2026-04-03T11:42:00Z,40.00,62.00
2026-04-03T11:45:00Z,39.00,62.00
2026-04-03T11:46:00Z,40.06,62.00
2026-04-03T11:47:00Z,42.46,59.00
2026-04-03T11:48:00Z,43.91,59.00
2026-04-03T11:49:00Z,44.00,58.00
2026-04-03T11:51:00Z,44.00,62.00
2026-04-03T11:52:00Z,46.07,53.37
2026-04-03T11:53:00Z,52.71,44.32
2026-04-03T11:54:00Z,58.00,44.00
2026-04-03T11:55:00Z,60.54,41.00
2026-04-03T11:56:00Z,60.54,41.00
2026-04-03T11:57:00Z,60.54,40.00
2026-04-03T11:58:00Z,64.00,34.40
2026-04-03T11:59:00Z,63.00,41.00
2026-04-03T12:00:00Z,60.56,41.92
2026-04-03T12:01:00Z,64.09,40.65
2026-04-03T12:02:00Z,63.43,39.52
2026-04-03T12:03:00Z,63.44,41.00
2026-04-03T12:04:00Z,60.00,42.20
2026-04-03T12:05:00Z,65.69,36.00
2026-04-03T12:06:00Z,65.00,36.00
2026-04-03T12:07:00Z,67.47,37.00
2026-04-03T12:08:00Z,52.95,47.78
2026-04-03T12:09:00Z,50.69,51.81
2026-04-03T12:11:00Z,56.81,51.81
2026-04-03T12:12:00Z,56.81,60.69
2026-04-03T12:13:00Z,38.87,63.00
2026-04-03T12:14:00Z,49.00,57.97
2026-04-03T12:15:00Z,48.37,50.33
2026-04-03T12:16:00Z,46.00,55.94
2026-04-03T12:17:00Z,37.32,62.97
2026-04-03T12:18:00Z,39.99,62.97
2026-04-03T12:19:00Z,43.94,56.00
2026-04-03T12:20:00Z,48.00,55.00
2026-04-03T12:21:00Z,48.20,50.36
2026-04-03T12:23:00Z,42.00,62.71
2026-04-03T12:24:00Z,39.00,62.00
2026-04-03T12:25:00Z,41.81,60.00
2026-04-03T12:26:00Z,47.26,55.00
2026-04-03T12:27:00Z,49.98,56.88
2026-04-03T12:28:00Z,45.24,54.81
2026-04-03T12:29:00Z,57.18,51.60
2026-04-03T12:30:00Z,65.16,33.83
2026-04-03T12:31:00Z,69.00,31.82
2026-04-03T12:32:00Z,69.00,30.55
2026-04-03T12:33:00Z,79.00,28.57
2026-04-03T12:34:00Z,64.00,35.58
2026-04-03T12:35:00Z,72.00,31.10
2026-04-03T12:36:00Z,73.10,27.00
2026-04-03T12:37:00Z,73.00,27.12
2026-04-03T12:38:00Z,74.00,27.12
2026-04-03T12:39:00Z,72.50,30.61
2026-04-03T12:40:00Z,76.99,22.96
2026-04-03T12:41:00Z,84.45,17.12
2026-04-03T12:42:00Z,86.93,15.17
2026-04-03T12:43:00Z,86.93,22.89
2026-04-03T12:44:00Z,79.00,19.26
2026-04-03T12:45:00Z,80.00,20.11
2026-04-03T12:46:00Z,83.00,16.00
2026-04-03T12:47:00Z,88.54,13.89
2026-04-03T12:48:00Z,90.05,10.92
2026-04-03T12:49:00Z,91.43,8.91
2026-04-03T12:50:00Z,92.95,10.48
2026-04-03T12:51:00Z,94.99,5.22
2026-04-03T12:52:00Z,97.00,3.99
2026-04-03T12:53:00Z,97.25,3.04
2026-04-03T12:54:00Z,96.92,3.99
2026-04-03T12:55:00Z,98.99,2.51
2026-04-03T12:56:00Z,97.00,3.00
2026-04-03T12:57:00Z,94.93,6.47
2026-04-03T12:58:00Z,91.17,9.65
2026-04-03T12:59:00Z,89.09,12.45
2026-04-03T13:00:00Z,80.92,8.43
2026-04-03T13:01:00Z,91.01,11.00
2026-04-03T13:02:00Z,93.13,11.00
2026-04-03T13:03:00Z,94.94,6.85
2026-04-03T13:04:00Z,97.17,4.00
2026-04-03T13:05:00Z,98.11,2.00
2026-04-03T13:06:00Z,98.00,1.08
2026-04-03T13:07:00Z,98.00,1.99
2026-04-03T13:08:00Z,98.00,1.00
2026-04-03T13:09:00Z,99.00,1.00
2026-04-03T13:10:00Z,99.00,1.00
2026-04-03T13:12:00Z,99.00,1.00
