# event_ticker=KXATPCHALLENGERMATCH-26MAR25RONCHR
# final_score=6-7(3) 6-1 6-1
# score_resolution=7-6 1-6 1-6
# match_winner=Franco Roncadelli
# fav_player=Christopher Li
# dog_player=Franco Roncadelli
# kalshi_date=2026-03-25
timestamp,Christopher Li,Franco Roncadelli
2026-03-25T06:13:00Z,20.00,
2026-03-25T06:48:00Z,20.00,83.00
2026-03-25T07:42:00Z,19.00,83.00
2026-03-25T09:00:00Z,19.00,86.00
2026-03-25T09:23:00Z,18.00,85.00
2026-03-25T09:26:00Z,16.00,85.00
2026-03-25T09:27:00Z,16.00,85.00
2026-03-25T09:34:00Z,16.00,85.00
2026-03-25T10:05:00Z,16.00,85.00
2026-03-25T11:09:00Z,16.00,85.00
2026-03-25T11:36:00Z,16.00,85.00
2026-03-25T12:13:00Z,16.00,85.00
2026-03-25T12:16:00Z,16.00,85.00
2026-03-25T12:25:00Z,14.00,86.00
2026-03-25T12:31:00Z,14.00,86.00
2026-03-25T12:36:00Z,16.00,86.00
2026-03-25T12:42:00Z,16.00,85.00
2026-03-25T12:52:00Z,16.00,85.00
2026-03-25T13:10:00Z,16.00,84.00
2026-03-25T13:32:00Z,16.00,85.00
2026-03-25T13:46:00Z,16.00,85.00
2026-03-25T13:59:00Z,16.00,85.00
2026-03-25T14:00:00Z,16.00,86.00
2026-03-25T14:03:00Z,16.00,85.00
2026-03-25T14:08:00Z,16.00,85.00
2026-03-25T14:31:00Z,16.00,85.00
2026-03-25T14:36:00Z,16.00,84.00
2026-03-25T14:37:00Z,16.00,85.00
2026-03-25T14:48:00Z,16.00,85.00
2026-03-25T14:49:00Z,16.00,85.00
2026-03-25T15:13:00Z,16.00,84.00
2026-03-25T15:19:00Z,17.00,84.00
2026-03-25T15:27:00Z,18.00,84.00
2026-03-25T15:46:00Z,18.00,84.00
2026-03-25T15:53:00Z,17.00,83.18
2026-03-25T15:54:00Z,17.00,82.00
2026-03-25T15:55:00Z,17.00,82.01
2026-03-25T16:06:00Z,17.00,84.00
2026-03-25T16:11:00Z,17.00,84.00
2026-03-25T16:28:00Z,17.00,84.00
2026-03-25T16:34:00Z,17.00,83.00
2026-03-25T16:35:00Z,17.00,84.00
2026-03-25T16:37:00Z,17.00,84.00
2026-03-25T16:44:00Z,17.98,84.00
2026-03-25T16:46:00Z,18.00,84.00
2026-03-25T16:48:00Z,18.00,82.20
2026-03-25T16:53:00Z,18.00,84.00
2026-03-25T16:56:00Z,17.00,84.00
2026-03-25T16:57:00Z,17.00,84.00
2026-03-25T17:02:00Z,17.00,84.00
2026-03-25T17:07:00Z,17.00,84.97
2026-03-25T17:08:00Z,17.00,85.00
2026-03-25T17:11:00Z,17.00,85.00
2026-03-25T17:14:00Z,17.00,85.00
2026-03-25T17:17:00Z,17.00,85.00
2026-03-25T17:19:00Z,17.00,85.00
2026-03-25T17:21:00Z,17.00,85.00
2026-03-25T17:36:00Z,17.00,85.61
2026-03-25T17:37:00Z,17.00,85.61
2026-03-25T17:38:00Z,17.00,85.00
2026-03-25T17:39:00Z,17.00,85.00
2026-03-25T17:40:00Z,17.00,85.00
2026-03-25T17:41:00Z,20.38,82.42
2026-03-25T17:42:00Z,21.69,78.03
2026-03-25T17:43:00Z,22.11,77.19
2026-03-25T17:44:00Z,22.44,77.19
2026-03-25T17:45:00Z,26.03,74.00
2026-03-25T17:46:00Z,21.05,76.27
2026-03-25T17:47:00Z,19.48,80.00
2026-03-25T17:48:00Z,19.48,84.40
2026-03-25T17:49:00Z,16.03,84.00
2026-03-25T17:50:00Z,21.47,81.00
2026-03-25T17:51:00Z,22.25,78.00
2026-03-25T17:52:00Z,18.85,80.10
2026-03-25T17:53:00Z,16.77,83.65
2026-03-25T17:54:00Z,14.83,83.65
2026-03-25T17:55:00Z,14.21,83.65
2026-03-25T17:56:00Z,15.45,86.00
2026-03-25T17:57:00Z,13.00,87.00
2026-03-25T17:58:00Z,9.23,88.63
2026-03-25T17:59:00Z,12.75,89.83
2026-03-25T18:00:00Z,16.00,86.44
2026-03-25T18:01:00Z,17.92,85.00
2026-03-25T18:02:00Z,19.21,81.28
2026-03-25T18:03:00Z,22.13,78.60
2026-03-25T18:04:00Z,20.77,79.24
2026-03-25T18:05:00Z,19.02,79.77
2026-03-25T18:06:00Z,25.12,76.78
2026-03-25T18:07:00Z,28.40,71.87
2026-03-25T18:08:00Z,27.15,73.02
2026-03-25T18:09:00Z,24.77,76.03
2026-03-25T18:10:00Z,19.21,79.00
2026-03-25T18:11:00Z,19.01,82.00
2026-03-25T18:12:00Z,17.72,81.00
2026-03-25T18:13:00Z,16.91,82.01
2026-03-25T18:14:00Z,15.11,85.46
2026-03-25T18:15:00Z,12.96,88.00
2026-03-25T18:16:00Z,12.49,88.00
2026-03-25T18:17:00Z,8.28,88.00
2026-03-25T18:18:00Z,9.62,90.21
2026-03-25T18:19:00Z,16.17,85.38
2026-03-25T18:20:00Z,15.74,83.47
2026-03-25T18:21:00Z,13.40,87.33
2026-03-25T18:22:00Z,13.66,86.98
2026-03-25T18:23:00Z,13.00,86.98
2026-03-25T18:24:00Z,10.77,89.40
2026-03-25T18:25:00Z,9.97,92.00
