# event_ticker=KXATPCHALLENGERMATCH-26MAY25BOYDAM
# final_score=6-7(7) 6-3 6-4
# score_resolution=7-6 3-6 4-6
# match_winner=Tristan Boyer
# fav_player=Miguel Damas
# dog_player=Tristan Boyer
# kalshi_date=2026-05-25
timestamp,Tristan Boyer,Miguel Damas
2026-05-25T02:50:00Z,66.00,
2026-05-25T03:33:00Z,66.00,
2026-05-25T04:28:00Z,66.00,
2026-05-25T11:02:00Z,65.00,
2026-05-25T11:56:00Z,65.00,36.00
2026-05-25T12:21:00Z,65.85,36.00
2026-05-25T12:24:00Z,65.85,36.00
2026-05-25T13:24:00Z,65.85,36.00
2026-05-25T13:26:00Z,60.00,36.00
2026-05-25T13:27:00Z,61.73,36.00
2026-05-25T13:28:00Z,59.00,36.00
2026-05-25T13:29:00Z,46.07,52.22
2026-05-25T13:30:00Z,45.00,56.44
2026-05-25T13:31:00Z,49.00,53.00
2026-05-25T13:32:00Z,47.04,54.42
2026-05-25T13:33:00Z,54.75,46.00
2026-05-25T13:34:00Z,52.44,48.90
2026-05-25T13:35:00Z,45.90,54.02
2026-05-25T13:36:00Z,42.00,59.00
2026-05-25T13:37:00Z,42.00,59.00
2026-05-25T13:38:00Z,38.43,61.17
2026-05-25T13:39:00Z,33.87,65.39
2026-05-25T13:40:00Z,35.01,64.98
2026-05-25T13:41:00Z,33.50,66.71
2026-05-25T13:42:00Z,34.00,67.00
2026-05-25T13:43:00Z,35.93,66.00
2026-05-25T13:44:00Z,36.00,65.00
2026-05-25T13:45:00Z,39.00,60.97
2026-05-25T13:46:00Z,40.00,61.00
2026-05-25T13:47:00Z,38.00,61.95
2026-05-25T13:48:00Z,37.99,61.95
2026-05-25T13:49:00Z,36.73,64.31
2026-05-25T13:50:00Z,36.74,65.72
2026-05-25T13:51:00Z,34.00,66.99
2026-05-25T13:52:00Z,35.00,65.00
2026-05-25T13:53:00Z,37.38,62.00
2026-05-25T13:54:00Z,39.00,61.16
2026-05-25T13:55:00Z,39.00,61.00
2026-05-25T13:56:00Z,40.41,61.00
2026-05-25T13:57:00Z,42.00,58.00
2026-05-25T13:58:00Z,43.00,59.00
2026-05-25T13:59:00Z,41.90,58.00
2026-05-25T14:00:00Z,42.06,58.06
2026-05-25T14:01:00Z,44.16,54.62
2026-05-25T14:02:00Z,53.99,43.57
2026-05-25T14:03:00Z,58.00,43.00
2026-05-25T14:04:00Z,57.58,40.66
2026-05-25T14:05:00Z,62.99,37.57
2026-05-25T14:06:00Z,62.99,35.78
2026-05-25T14:07:00Z,65.94,33.00
2026-05-25T14:08:00Z,68.64,35.05
2026-05-25T14:09:00Z,61.98,38.85
2026-05-25T14:10:00Z,62.20,38.31
2026-05-25T14:11:00Z,60.01,40.00
2026-05-25T14:12:00Z,60.00,41.00
2026-05-25T14:13:00Z,59.26,40.67
2026-05-25T14:14:00Z,57.44,42.19
2026-05-25T14:15:00Z,59.28,41.74
2026-05-25T14:16:00Z,61.00,44.23
2026-05-25T14:17:00Z,61.17,42.38
2026-05-25T14:18:00Z,56.29,44.91
2026-05-25T14:19:00Z,62.19,39.16
2026-05-25T14:20:00Z,67.73,31.72
2026-05-25T14:21:00Z,66.49,35.09
2026-05-25T14:22:00Z,67.58,33.56
2026-05-25T14:23:00Z,63.57,35.99
2026-05-25T14:24:00Z,60.01,39.66
2026-05-25T14:25:00Z,67.54,36.21
