# event_ticker=KXATPCHALLENGERMATCH-26MAR23ELLKWON
# final_score=6-2 6-0
# score_resolution=2-6 0-6
# match_winner=Soonwoo Kwon
# fav_player=Blake Ellis
# dog_player=Soonwoo Kwon
# kalshi_date=2026-03-23
timestamp,Blake Ellis,Soonwoo Kwon
2026-03-23T13:54:00Z,21.00,
2026-03-23T14:52:00Z,20.00,
2026-03-23T15:41:00Z,20.00,81.00
2026-03-23T17:41:00Z,20.00,82.00
2026-03-23T18:49:00Z,20.00,82.00
2026-03-23T19:06:00Z,20.00,82.00
2026-03-23T19:17:00Z,20.00,82.00
2026-03-23T21:08:00Z,18.00,82.00
2026-03-23T21:09:00Z,19.00,82.00
2026-03-23T22:20:00Z,19.00,82.00
2026-03-23T22:25:00Z,20.00,82.00
2026-03-23T23:09:00Z,18.00,82.00
2026-03-23T23:16:00Z,20.00,82.00
2026-03-23T23:20:00Z,20.00,82.00
2026-03-24T00:19:00Z,18.49,82.00
2026-03-24T00:34:00Z,18.49,82.00
2026-03-24T00:37:00Z,18.49,82.00
2026-03-24T00:48:00Z,18.49,80.00
2026-03-24T00:50:00Z,20.00,80.00
2026-03-24T00:55:00Z,20.00,82.89
2026-03-24T00:59:00Z,20.00,82.89
2026-03-24T01:00:00Z,20.00,82.89
2026-03-24T01:03:00Z,20.00,82.89
2026-03-24T01:05:00Z,20.00,82.00
2026-03-24T01:06:00Z,20.00,82.00
2026-03-24T01:07:00Z,20.00,82.00
2026-03-24T01:08:00Z,20.00,82.00
2026-03-24T01:09:00Z,20.00,82.00
2026-03-24T01:10:00Z,20.35,81.00
2026-03-24T01:11:00Z,16.67,84.14
2026-03-24T01:12:00Z,11.28,88.00
2026-03-24T01:13:00Z,10.85,88.00
2026-03-24T01:14:00Z,9.11,90.39
2026-03-24T01:15:00Z,10.19,90.39
2026-03-24T01:16:00Z,12.66,88.00
2026-03-24T01:17:00Z,17.53,83.99
2026-03-24T01:18:00Z,21.84,80.00
2026-03-24T01:19:00Z,22.10,78.65
2026-03-24T01:20:00Z,21.22,78.65
2026-03-24T01:21:00Z,24.00,78.65
2026-03-24T01:22:00Z,28.59,74.00
2026-03-24T01:23:00Z,30.00,71.03
2026-03-24T01:24:00Z,31.89,69.75
2026-03-24T01:25:00Z,23.00,74.64
2026-03-24T01:26:00Z,30.42,71.98
2026-03-24T01:27:00Z,31.60,71.98
2026-03-24T01:28:00Z,29.00,74.00
2026-03-24T01:29:00Z,36.50,71.00
2026-03-24T01:30:00Z,25.00,71.00
2026-03-24T01:32:00Z,22.87,80.30
2026-03-24T01:33:00Z,21.22,77.00
2026-03-24T01:34:00Z,23.00,81.88
2026-03-24T01:35:00Z,20.90,81.88
2026-03-24T01:36:00Z,19.71,81.88
2026-03-24T01:37:00Z,16.01,87.00
2026-03-24T01:39:00Z,16.17,84.70
2026-03-24T01:40:00Z,13.00,84.70
2026-03-24T01:41:00Z,11.98,88.82
2026-03-24T01:42:00Z,10.58,88.82
2026-03-24T01:43:00Z,10.90,88.82
2026-03-24T01:44:00Z,10.68,88.82
2026-03-24T01:45:00Z,10.08,88.82
2026-03-24T01:46:00Z,7.93,93.00
2026-03-24T01:47:00Z,7.00,93.00
2026-03-24T01:48:00Z,6.05,94.00
2026-03-24T01:49:00Z,5.95,93.99
2026-03-24T01:50:00Z,5.95,93.99
2026-03-24T01:51:00Z,6.00,93.99
2026-03-24T01:52:00Z,6.37,94.99
2026-03-24T01:53:00Z,7.00,93.00
2026-03-24T01:54:00Z,6.74,94.00
2026-03-24T01:55:00Z,6.00,95.00
2026-03-24T01:56:00Z,3.46,96.13
2026-03-24T01:57:00Z,2.00,98.00
2026-03-24T01:58:00Z,3.00,98.00
2026-03-24T01:59:00Z,3.02,97.00
2026-03-24T02:00:00Z,3.13,96.97
2026-03-24T02:01:00Z,1.22,98.00
2026-03-24T02:02:00Z,3.00,98.04
2026-03-24T02:03:00Z,1.00,99.00
2026-03-24T02:05:00Z,1.00,99.00
2026-03-24T02:06:00Z,1.00,99.00
2026-03-24T02:07:00Z,1.00,99.00
2026-03-24T02:08:00Z,1.00,99.00
2026-03-24T02:09:00Z,1.00,99.00
