# event_ticker=KXATPCHALLENGERMATCH-26APR22KUKRIE
# final_score=6-3 6-2
# match_winner=Leandro Riedi
# fav_player=Leandro Riedi
# dog_player=Mikhail Kukushkin
# kalshi_date=2026-04-22
timestamp,Mikhail Kukushkin,Leandro Riedi
2026-04-22T17:18:00Z,27.00,
2026-04-22T20:03:00Z,27.00,72.00
2026-04-22T20:25:00Z,27.00,72.00
2026-04-22T20:31:00Z,27.00,72.00
2026-04-22T20:32:00Z,28.00,72.00
2026-04-22T20:34:00Z,29.00,72.00
2026-04-22T20:54:00Z,31.00,72.00
2026-04-22T21:33:00Z,31.00,71.00
2026-04-22T21:53:00Z,31.00,70.00
2026-04-22T22:02:00Z,31.00,70.00
2026-04-22T22:40:00Z,31.00,70.00
2026-04-22T22:41:00Z,31.00,70.00
2026-04-22T22:49:00Z,31.00,70.00
2026-04-22T23:17:00Z,31.00,70.89
2026-04-22T23:51:00Z,31.00,70.89
2026-04-23T00:03:00Z,31.00,71.00
2026-04-23T00:15:00Z,31.00,71.00
2026-04-23T01:11:00Z,31.00,72.00
2026-04-23T01:32:00Z,31.00,72.00
2026-04-23T01:33:00Z,31.00,72.00
2026-04-23T01:46:00Z,31.00,72.00
2026-04-23T01:51:00Z,29.00,72.00
2026-04-23T01:55:00Z,29.00,72.00
2026-04-23T01:56:00Z,30.00,72.00
2026-04-23T02:08:00Z,31.00,72.00
2026-04-23T02:17:00Z,31.00,72.00
2026-04-23T02:18:00Z,31.00,72.00
2026-04-23T02:20:00Z,31.00,72.00
2026-04-23T02:22:00Z,31.00,72.00
2026-04-23T02:24:00Z,31.00,72.00
2026-04-23T02:31:00Z,31.00,72.00
2026-04-23T02:41:00Z,31.00,72.00
2026-04-23T02:42:00Z,31.00,71.00
2026-04-23T02:54:00Z,30.00,71.00
2026-04-23T02:58:00Z,30.00,71.00
2026-04-23T03:00:00Z,30.00,71.00
2026-04-23T03:06:00Z,30.00,72.00
2026-04-23T03:10:00Z,30.00,72.00
2026-04-23T03:17:00Z,30.00,72.00
2026-04-23T03:23:00Z,30.00,72.00
2026-04-23T03:28:00Z,30.00,72.00
2026-04-23T03:33:00Z,30.00,72.00
2026-04-23T03:35:00Z,30.00,72.00
2026-04-23T03:42:00Z,30.00,72.00
2026-04-23T03:46:00Z,30.00,72.00
2026-04-23T03:49:00Z,29.00,72.00
2026-04-23T03:50:00Z,29.00,72.00
2026-04-23T03:51:00Z,29.00,72.00
2026-04-23T03:56:00Z,29.00,71.95
2026-04-23T03:57:00Z,30.00,71.95
2026-04-23T03:59:00Z,30.00,72.00
2026-04-23T04:09:00Z,30.00,72.00
2026-04-23T04:11:00Z,30.00,72.00
2026-04-23T04:12:00Z,30.00,72.00
2026-04-23T04:14:00Z,30.00,72.00
2026-04-23T04:15:00Z,30.00,72.00
2026-04-23T04:17:00Z,31.00,72.00
2026-04-23T04:18:00Z,31.00,72.00
2026-04-23T04:23:00Z,31.00,71.00
2026-04-23T04:29:00Z,31.00,71.00
2026-04-23T04:31:00Z,31.00,71.63
2026-04-23T04:32:00Z,31.00,71.32
2026-04-23T04:33:00Z,31.00,71.32
2026-04-23T04:34:00Z,30.00,71.00
2026-04-23T04:35:00Z,30.00,72.00
2026-04-23T04:36:00Z,30.00,72.00
2026-04-23T04:39:00Z,29.00,72.00
2026-04-23T04:40:00Z,31.95,69.62
2026-04-23T04:41:00Z,32.00,65.22
2026-04-23T04:42:00Z,31.98,69.00
2026-04-23T04:43:00Z,28.90,70.79
2026-04-23T04:44:00Z,28.90,73.00
2026-04-23T04:45:00Z,26.00,74.00
2026-04-23T04:46:00Z,27.96,71.12
2026-04-23T04:47:00Z,28.66,73.00
2026-04-23T04:48:00Z,30.00,70.24
2026-04-23T04:49:00Z,30.00,69.95
2026-04-23T04:50:00Z,30.84,69.13
2026-04-23T04:51:00Z,29.00,72.00
2026-04-23T04:52:00Z,27.98,72.07
2026-04-23T04:53:00Z,27.98,74.17
2026-04-23T04:54:00Z,28.08,72.78
2026-04-23T04:55:00Z,24.02,76.09
2026-04-23T04:56:00Z,17.53,82.06
2026-04-23T04:57:00Z,17.82,82.51
2026-04-23T04:58:00Z,20.80,78.25
2026-04-23T04:59:00Z,29.22,71.13
2026-04-23T05:00:00Z,29.97,71.00
2026-04-23T05:01:00Z,29.86,70.00
2026-04-23T05:02:00Z,25.95,71.71
2026-04-23T05:03:00Z,30.16,69.51
2026-04-23T05:04:00Z,32.49,68.22
2026-04-23T05:05:00Z,32.13,68.69
2026-04-23T05:06:00Z,31.70,68.52
2026-04-23T05:07:00Z,28.15,70.00
2026-04-23T05:08:00Z,30.00,72.06
2026-04-23T05:09:00Z,32.24,69.00
2026-04-23T05:10:00Z,25.52,77.41
2026-04-23T05:11:00Z,21.69,79.83
2026-04-23T05:12:00Z,15.30,85.70
2026-04-23T05:13:00Z,14.91,86.00
2026-04-23T05:14:00Z,12.47,87.45
2026-04-23T05:15:00Z,12.12,88.47
2026-04-23T05:16:00Z,11.16,89.00
2026-04-23T05:17:00Z,8.90,90.60
2026-04-23T05:18:00Z,10.21,91.81
2026-04-23T05:19:00Z,12.46,87.89
2026-04-23T05:20:00Z,12.88,88.13
2026-04-23T05:21:00Z,12.00,87.87
2026-04-23T05:22:00Z,14.00,86.07
2026-04-23T05:23:00Z,13.72,87.93
2026-04-23T05:24:00Z,10.00,89.02
2026-04-23T05:25:00Z,10.22,90.05
2026-04-23T05:26:00Z,10.20,91.03
2026-04-23T05:27:00Z,6.72,94.13
2026-04-23T05:28:00Z,4.85,95.02
2026-04-23T05:29:00Z,4.12,96.81
2026-04-23T05:30:00Z,3.96,96.18
2026-04-23T05:31:00Z,3.58,97.89
2026-04-23T05:32:00Z,2.50,97.33
2026-04-23T05:33:00Z,1.72,98.96
2026-04-23T05:34:00Z,1.47,99.00
2026-04-23T05:35:00Z,1.00,99.00
2026-04-23T05:36:00Z,1.00,99.00
2026-04-23T05:37:00Z,1.00,99.00
2026-04-23T05:40:00Z,1.00,99.00
2026-04-23T05:41:00Z,1.00,99.00
2026-04-23T05:42:00Z,1.00,99.00
2026-04-23T05:43:00Z,1.00,99.00
2026-04-23T05:44:00Z,1.00,99.00
2026-04-23T05:45:00Z,1.00,99.00
2026-04-23T05:47:00Z,1.00,99.00
