# event_ticker=KXATPCHALLENGERMATCH-26MAR04ROCSAN
# final_score=7-6(3) 6-2
# score_resolution=6-7 2-6
# match_winner=Henrique Rocha
# fav_player=Carlos Sanchez Jover
# dog_player=Henrique Rocha
# kalshi_date=2026-03-04
timestamp,Carlos Sanchez Jover,Henrique Rocha
2026-03-04T13:50:00Z,42.00,
2026-03-04T13:57:00Z,42.00,72.14
2026-03-04T14:01:00Z,42.00,70.00
2026-03-04T14:04:00Z,42.00,70.00
2026-03-04T14:09:00Z,42.00,71.00
2026-03-04T14:13:00Z,30.01,71.00
2026-03-04T14:14:00Z,31.00,71.00
2026-03-04T14:20:00Z,30.00,71.00
2026-03-04T14:21:00Z,30.00,71.00
2026-03-04T14:25:00Z,30.00,71.00
2026-03-04T14:27:00Z,30.00,71.00
2026-03-04T14:28:00Z,30.00,71.00
2026-03-04T14:29:00Z,30.00,71.00
2026-03-04T14:30:00Z,30.00,71.00
2026-03-04T14:32:00Z,30.00,71.00
2026-03-04T14:33:00Z,30.00,71.00
2026-03-04T14:35:00Z,30.33,71.00
2026-03-04T14:38:00Z,31.00,70.00
2026-03-04T14:39:00Z,31.00,70.00
2026-03-04T14:40:00Z,31.00,70.00
2026-03-04T14:42:00Z,31.00,70.00
2026-03-04T14:44:00Z,31.00,70.00
2026-03-04T14:48:00Z,31.00,70.00
2026-03-04T14:49:00Z,31.00,70.00
2026-03-04T14:50:00Z,31.00,71.00
2026-03-04T14:54:00Z,32.00,71.00
2026-03-04T14:55:00Z,29.00,71.00
2026-03-04T14:57:00Z,32.00,71.00
2026-03-04T14:58:00Z,31.00,70.00
2026-03-04T15:00:00Z,31.00,70.00
2026-03-04T15:03:00Z,31.00,70.00
2026-03-04T15:05:00Z,31.00,71.00
2026-03-04T15:07:00Z,29.00,71.00
2026-03-04T15:08:00Z,31.00,71.00
2026-03-04T15:10:00Z,32.00,71.00
2026-03-04T15:11:00Z,32.00,69.72
2026-03-04T15:12:00Z,32.00,69.72
2026-03-04T15:13:00Z,32.00,69.17
2026-03-04T15:14:00Z,32.00,69.17
2026-03-04T15:15:00Z,32.00,69.00
2026-03-04T15:16:00Z,31.00,70.00
2026-03-04T15:17:00Z,31.53,70.00
2026-03-04T15:18:00Z,32.00,70.12
2026-03-04T15:19:00Z,32.47,71.00
2026-03-04T15:20:00Z,33.81,67.66
2026-03-04T15:21:00Z,39.46,62.12
2026-03-04T15:22:00Z,39.19,61.00
2026-03-04T15:23:00Z,42.21,58.26
2026-03-04T15:24:00Z,49.77,53.94
2026-03-04T15:25:00Z,55.46,45.70
2026-03-04T15:26:00Z,53.75,44.73
2026-03-04T15:27:00Z,50.98,51.18
2026-03-04T15:28:00Z,43.46,56.55
2026-03-04T15:29:00Z,39.72,61.00
2026-03-04T15:30:00Z,41.38,60.45
2026-03-04T15:31:00Z,48.09,57.74
2026-03-04T15:32:00Z,51.97,50.42
2026-03-04T15:33:00Z,55.34,45.72
2026-03-04T15:34:00Z,58.92,43.91
2026-03-04T15:35:00Z,57.27,44.70
2026-03-04T15:36:00Z,57.81,43.43
2026-03-04T15:37:00Z,58.84,42.00
2026-03-04T15:38:00Z,57.03,44.31
2026-03-04T15:39:00Z,58.51,42.40
2026-03-04T15:40:00Z,53.81,47.15
2026-03-04T15:41:00Z,50.14,53.79
2026-03-04T15:42:00Z,42.81,55.31
2026-03-04T15:43:00Z,48.08,54.53
2026-03-04T15:44:00Z,50.44,55.52
2026-03-04T15:45:00Z,38.40,61.40
2026-03-04T15:46:00Z,36.03,62.84
2026-03-04T15:47:00Z,34.92,65.62
2026-03-04T15:48:00Z,36.65,65.48
2026-03-04T15:49:00Z,30.93,68.60
2026-03-04T15:50:00Z,35.47,67.98
2026-03-04T15:51:00Z,28.39,69.02
2026-03-04T15:52:00Z,30.02,71.40
2026-03-04T15:53:00Z,37.43,61.82
2026-03-04T15:54:00Z,39.80,61.41
2026-03-04T15:55:00Z,37.61,63.53
2026-03-04T15:56:00Z,36.52,67.76
2026-03-04T15:57:00Z,31.48,66.89
2026-03-04T15:58:00Z,32.80,68.00
2026-03-04T15:59:00Z,38.73,63.91
2026-03-04T16:00:00Z,40.25,60.49
2026-03-04T16:01:00Z,42.17,58.82
2026-03-04T16:02:00Z,41.97,59.86
2026-03-04T16:03:00Z,48.89,50.20
2026-03-04T16:04:00Z,45.19,54.91
2026-03-04T16:05:00Z,38.54,59.57
2026-03-04T16:06:00Z,26.56,72.54
