# event_ticker=KXATPMATCH-26JAN12DZUSHE
# final_score=4-6 6-4 7-5
# match_winner=Alexander Shevchenko
# fav_player=Alexander Shevchenko
# dog_player=Damir Dzumhur
# kalshi_date=2026-01-12
timestamp,Alexander Shevchenko,Damir Dzumhur
2026-01-12T17:06:00Z,56.00,
2026-01-12T17:20:00Z,56.00,
2026-01-12T18:01:00Z,55.00,
2026-01-12T18:38:00Z,58.00,
2026-01-12T20:03:00Z,58.00,44.00
2026-01-12T21:00:00Z,58.00,44.00
2026-01-12T23:35:00Z,58.00,42.00
2026-01-12T23:42:00Z,58.00,42.00
2026-01-13T00:24:00Z,58.00,42.00
2026-01-13T00:55:00Z,59.00,42.00
2026-01-13T01:08:00Z,59.00,42.00
2026-01-13T01:47:00Z,59.00,42.00
2026-01-13T02:11:00Z,59.00,42.00
2026-01-13T02:29:00Z,59.00,42.00
2026-01-13T02:30:00Z,58.00,42.00
2026-01-13T02:41:00Z,59.00,42.00
2026-01-13T02:46:00Z,59.00,42.00
2026-01-13T02:58:00Z,59.00,42.00
2026-01-13T03:10:00Z,59.00,42.00
2026-01-13T03:47:00Z,59.00,43.18
2026-01-13T03:50:00Z,58.00,43.18
2026-01-13T03:51:00Z,58.00,43.18
2026-01-13T03:54:00Z,58.00,43.18
2026-01-13T03:56:00Z,58.00,44.00
2026-01-13T03:58:00Z,58.00,44.00
2026-01-13T03:59:00Z,58.00,42.00
2026-01-13T04:01:00Z,58.00,44.00
2026-01-13T04:02:00Z,58.00,44.00
2026-01-13T04:16:00Z,57.90,44.00
2026-01-13T04:19:00Z,59.00,44.00
2026-01-13T04:22:00Z,58.00,42.96
2026-01-13T04:23:00Z,58.00,42.96
2026-01-13T04:24:00Z,58.00,43.00
2026-01-13T04:25:00Z,58.00,43.00
2026-01-13T04:26:00Z,53.00,47.04
2026-01-13T04:27:00Z,49.91,51.43
2026-01-13T04:28:00Z,49.96,51.43
2026-01-13T04:29:00Z,49.96,43.00
2026-01-13T04:30:00Z,51.00,43.00
2026-01-13T04:31:00Z,51.00,53.09
2026-01-13T04:32:00Z,45.00,53.09
2026-01-13T04:34:00Z,39.00,60.85
2026-01-13T04:36:00Z,39.00,67.90
2026-01-13T04:37:00Z,39.00,64.00
2026-01-13T04:38:00Z,29.20,68.00
2026-01-13T04:39:00Z,29.20,73.00
2026-01-13T04:40:00Z,29.20,71.89
2026-01-13T04:42:00Z,26.17,75.00
2026-01-13T04:43:00Z,26.17,77.00
2026-01-13T04:44:00Z,26.17,76.00
2026-01-13T04:45:00Z,27.00,76.00
2026-01-13T04:46:00Z,27.00,74.00
2026-01-13T04:49:00Z,26.36,74.00
2026-01-13T04:50:00Z,29.04,69.82
2026-01-13T04:51:00Z,36.00,63.00
2026-01-13T04:52:00Z,36.00,65.89
2026-01-13T04:53:00Z,41.00,60.00
2026-01-13T04:54:00Z,41.00,60.81
