# event_ticker=KXATPCHALLENGERMATCH-26MAR27GUENED
# final_score=6-1 7-5
# score_resolution=1-6 5-7
# match_winner=Sascha Gueymard Wayenburg
# fav_player=Andrej Nedic
# dog_player=Sascha Gueymard Wayenburg
# kalshi_date=2026-03-27
timestamp,Andrej Nedic,Sascha Gueymard Wayenburg
2026-03-27T02:00:00Z,54.00,
2026-03-27T03:08:00Z,53.00,
2026-03-27T03:24:00Z,53.00,
2026-03-27T03:38:00Z,53.00,48.00
2026-03-27T03:51:00Z,53.00,48.00
2026-03-27T03:57:00Z,53.00,48.00
2026-03-27T03:59:00Z,53.00,48.00
2026-03-27T04:06:00Z,53.00,48.00
2026-03-27T04:07:00Z,53.00,48.00
2026-03-27T04:11:00Z,53.00,49.00
2026-03-27T04:17:00Z,53.00,49.00
2026-03-27T04:24:00Z,52.00,49.00
2026-03-27T04:32:00Z,52.00,50.00
2026-03-27T05:03:00Z,52.00,50.00
2026-03-27T05:24:00Z,52.56,50.00
2026-03-27T05:25:00Z,53.00,50.00
2026-03-27T05:26:00Z,53.15,50.00
2026-03-27T05:27:00Z,53.72,50.00
2026-03-27T05:30:00Z,54.00,50.00
2026-03-27T05:33:00Z,53.00,50.00
2026-03-27T05:34:00Z,53.00,49.00
2026-03-27T05:36:00Z,53.00,49.00
2026-03-27T05:37:00Z,52.45,49.00
2026-03-27T05:43:00Z,53.00,49.00
2026-03-27T05:44:00Z,53.00,49.00
2026-03-27T05:55:00Z,53.00,49.00
2026-03-27T06:00:00Z,53.00,49.00
2026-03-27T06:13:00Z,53.00,49.00
2026-03-27T06:26:00Z,53.00,49.00
2026-03-27T06:38:00Z,53.00,49.00
2026-03-27T07:01:00Z,53.00,49.00
2026-03-27T07:19:00Z,53.00,49.00
2026-03-27T08:02:00Z,53.00,49.00
2026-03-27T08:09:00Z,53.00,49.00
2026-03-27T08:24:00Z,51.63,49.00
2026-03-27T08:38:00Z,52.00,49.00
2026-03-27T09:06:00Z,52.00,49.00
2026-03-27T09:23:00Z,52.00,49.00
2026-03-27T09:24:00Z,51.00,49.00
2026-03-27T09:29:00Z,51.00,49.00
2026-03-27T09:46:00Z,51.00,49.00
2026-03-27T09:49:00Z,52.00,49.00
2026-03-27T10:00:00Z,52.00,49.00
