# event_ticker=KXATPCHALLENGERMATCH-26APR14SKAVAN
# final_score=6-1 6-4
# score_resolution=1-6 4-6
# match_winner=Luca Van Assche
# fav_player=Timofey Skatov
# dog_player=Luca Van Assche
# kalshi_date=2026-04-14
timestamp,Timofey Skatov,Luca Van Assche
2026-04-14T00:00:00Z,,64.00
2026-04-14T00:32:00Z,,64.00
2026-04-14T01:40:00Z,,64.00
2026-04-14T03:34:00Z,,64.00
2026-04-14T04:07:00Z,,64.00
2026-04-14T04:17:00Z,,64.00
2026-04-14T04:46:00Z,39.00,64.00
2026-04-14T05:29:00Z,39.00,64.00
2026-04-14T05:48:00Z,38.53,64.00
2026-04-14T06:15:00Z,38.53,64.00
2026-04-14T06:22:00Z,38.53,64.00
2026-04-14T06:27:00Z,38.53,64.00
2026-04-14T06:38:00Z,38.53,64.00
2026-04-14T06:48:00Z,38.53,64.00
2026-04-14T07:35:00Z,38.53,64.59
2026-04-14T08:43:00Z,38.53,65.00
2026-04-14T09:51:00Z,38.53,65.00
2026-04-14T11:36:00Z,36.00,65.00
2026-04-14T11:41:00Z,32.04,70.13
2026-04-14T11:42:00Z,36.00,70.13
2026-04-14T11:45:00Z,36.00,67.00
2026-04-14T11:50:00Z,36.00,67.00
2026-04-14T11:51:00Z,35.34,64.01
2026-04-14T11:52:00Z,42.00,61.10
2026-04-14T11:53:00Z,40.00,61.00
2026-04-14T11:54:00Z,42.39,58.58
2026-04-14T11:55:00Z,48.53,54.00
2026-04-14T11:56:00Z,52.22,51.00
2026-04-14T11:57:00Z,49.18,53.00
2026-04-14T11:58:00Z,49.18,55.44
2026-04-14T11:59:00Z,39.00,63.61
2026-04-14T12:00:00Z,36.94,67.00
2026-04-14T12:01:00Z,26.90,70.62
2026-04-14T12:02:00Z,26.90,72.24
2026-04-14T12:03:00Z,26.90,73.00
2026-04-14T12:04:00Z,24.00,73.00
2026-04-14T12:05:00Z,25.00,75.20
2026-04-14T12:06:00Z,29.03,70.52
2026-04-14T12:07:00Z,31.09,73.00
2026-04-14T12:08:00Z,29.80,74.04
2026-04-14T12:09:00Z,23.92,77.54
2026-04-14T12:10:00Z,23.92,80.00
2026-04-14T12:11:00Z,23.92,82.47
2026-04-14T12:12:00Z,20.00,82.93
2026-04-14T12:13:00Z,15.00,85.00
2026-04-14T12:14:00Z,18.00,85.00
2026-04-14T12:15:00Z,13.00,87.00
2026-04-14T12:16:00Z,13.00,86.81
2026-04-14T12:17:00Z,13.00,86.00
2026-04-14T12:18:00Z,18.00,84.00
2026-04-14T12:19:00Z,17.85,84.00
2026-04-14T12:20:00Z,17.85,85.80
2026-04-14T12:21:00Z,17.85,82.13
2026-04-14T12:22:00Z,17.85,83.00
2026-04-14T12:23:00Z,17.85,85.14
2026-04-14T12:25:00Z,14.32,85.14
2026-04-14T12:26:00Z,11.95,88.10
2026-04-14T12:27:00Z,8.00,93.00
2026-04-14T12:28:00Z,10.37,88.34
2026-04-14T12:29:00Z,12.00,90.00
2026-04-14T12:30:00Z,11.09,88.00
2026-04-14T12:32:00Z,11.00,88.00
2026-04-14T12:33:00Z,11.00,88.00
2026-04-14T12:34:00Z,11.00,90.00
2026-04-14T12:35:00Z,11.00,90.00
2026-04-14T12:36:00Z,11.00,90.00
2026-04-14T12:37:00Z,11.00,89.19
2026-04-14T12:38:00Z,11.00,93.00
2026-04-14T12:39:00Z,9.00,92.02
2026-04-14T12:40:00Z,8.00,92.02
2026-04-14T12:41:00Z,10.27,91.00
2026-04-14T12:42:00Z,11.00,89.51
2026-04-14T12:43:00Z,10.12,91.91
2026-04-14T12:44:00Z,11.65,89.00
2026-04-14T12:45:00Z,10.00,89.83
2026-04-14T12:47:00Z,8.04,91.00
2026-04-14T12:48:00Z,9.00,91.99
2026-04-14T12:49:00Z,9.00,93.00
2026-04-14T12:50:00Z,9.00,91.00
2026-04-14T12:51:00Z,9.00,95.00
2026-04-14T12:52:00Z,4.33,95.81
2026-04-14T12:53:00Z,3.00,97.03
2026-04-14T12:54:00Z,5.00,95.91
2026-04-14T12:55:00Z,7.98,92.52
2026-04-14T12:56:00Z,9.96,91.00
2026-04-14T12:57:00Z,9.95,90.97
2026-04-14T12:58:00Z,11.00,88.00
2026-04-14T12:59:00Z,15.00,86.00
2026-04-14T13:00:00Z,13.78,89.00
2026-04-14T13:01:00Z,11.77,88.31
2026-04-14T13:02:00Z,12.00,88.00
2026-04-14T13:03:00Z,11.00,88.00
2026-04-14T13:04:00Z,11.00,88.00
2026-04-14T13:06:00Z,16.16,85.00
2026-04-14T13:07:00Z,19.00,85.00
2026-04-14T13:09:00Z,17.35,84.57
2026-04-14T13:11:00Z,14.00,84.57
2026-04-14T13:12:00Z,23.63,79.58
2026-04-14T13:13:00Z,24.04,75.90
2026-04-14T13:14:00Z,21.29,76.00
2026-04-14T13:15:00Z,25.76,79.66
2026-04-14T13:16:00Z,18.44,81.01
2026-04-14T13:17:00Z,12.25,86.22
2026-04-14T13:18:00Z,13.00,89.00
2026-04-14T13:19:00Z,13.38,89.18
2026-04-14T13:20:00Z,13.01,89.00
2026-04-14T13:21:00Z,11.00,92.39
2026-04-14T13:22:00Z,11.00,90.88
2026-04-14T13:23:00Z,11.79,94.98
2026-04-14T13:24:00Z,1.44,98.96
2026-04-14T13:25:00Z,1.44,99.00
