# event_ticker=KXATPCHALLENGERMATCH-26JUN02BASTRA
# final_score=7-6(3) 4-6 6-3
# score_resolution=6-7 6-4 3-6
# match_winner=Pierluigi Basile
# fav_player=Stefano Travaglia
# dog_player=Pierluigi Basile
# kalshi_date=2026-06-02
timestamp,Pierluigi Basile,Stefano Travaglia
2026-06-02T01:21:00Z,,78.00
2026-06-02T01:45:00Z,,78.67
2026-06-02T03:25:00Z,,78.00
2026-06-02T05:01:00Z,,79.00
2026-06-02T05:04:00Z,,80.00
2026-06-02T05:32:00Z,19.50,80.00
2026-06-02T06:26:00Z,19.50,80.00
2026-06-02T06:41:00Z,19.50,80.00
2026-06-02T06:48:00Z,19.50,80.40
2026-06-02T09:56:00Z,19.50,80.00
2026-06-02T10:20:00Z,21.00,80.00
2026-06-02T10:42:00Z,21.00,80.00
2026-06-02T11:54:00Z,21.00,79.00
2026-06-02T12:03:00Z,23.00,79.00
2026-06-02T12:04:00Z,23.00,79.00
2026-06-02T12:08:00Z,23.00,83.00
2026-06-02T12:09:00Z,17.00,83.00
2026-06-02T12:10:00Z,19.00,81.50
2026-06-02T12:11:00Z,20.00,81.50
2026-06-02T12:13:00Z,20.00,80.00
2026-06-02T12:14:00Z,19.42,82.00
2026-06-02T12:15:00Z,20.50,81.00
2026-06-02T12:16:00Z,20.00,81.00
2026-06-02T12:17:00Z,20.00,81.00
2026-06-02T12:18:00Z,22.00,80.00
2026-06-02T12:20:00Z,16.36,83.00
2026-06-02T12:21:00Z,20.00,83.00
2026-06-02T12:23:00Z,23.76,83.00
2026-06-02T12:24:00Z,20.46,83.00
2026-06-02T12:25:00Z,21.00,80.00
2026-06-02T12:26:00Z,15.14,86.00
2026-06-02T12:27:00Z,13.21,88.00
2026-06-02T12:28:00Z,18.82,82.79
2026-06-02T12:29:00Z,22.20,82.79
2026-06-02T12:30:00Z,24.24,74.00
2026-06-02T12:31:00Z,26.00,76.94
2026-06-02T12:32:00Z,22.13,78.00
2026-06-02T12:33:00Z,21.00,78.00
2026-06-02T12:34:00Z,22.00,78.00
