# event_ticker=KXATPMATCH-25AUG18COLBAS
# final_score=6-2 7-6(2)
# score_resolution=6-2 7-6
# match_winner=Nishesh Basavareddy
# fav_player=Nishesh Basavareddy
# dog_player=Raphael Collignon
# kalshi_date=2025-08-18
timestamp,Nishesh Basavareddy,Raphael Collignon
2025-08-18T10:45:00Z,,34.00
2025-08-18T11:21:00Z,77.00,34.00
2025-08-18T11:32:00Z,77.00,32.00
2025-08-18T11:42:00Z,77.00,32.00
2025-08-18T12:27:00Z,71.00,32.00
2025-08-18T12:29:00Z,71.00,31.00
2025-08-18T12:39:00Z,71.00,31.00
2025-08-18T13:25:00Z,71.00,31.00
2025-08-18T13:48:00Z,70.00,31.00
2025-08-18T13:50:00Z,70.00,31.00
2025-08-18T13:57:00Z,70.00,31.00
2025-08-18T13:59:00Z,70.00,31.00
2025-08-18T14:01:00Z,69.00,31.00
2025-08-18T14:04:00Z,71.00,31.00
2025-08-18T14:07:00Z,71.00,31.00
2025-08-18T14:13:00Z,71.00,31.00
2025-08-18T14:17:00Z,71.00,31.00
2025-08-18T14:20:00Z,71.00,31.00
2025-08-18T14:28:00Z,71.00,31.00
2025-08-18T14:31:00Z,71.00,31.00
2025-08-18T14:32:00Z,71.00,31.00
2025-08-18T14:39:00Z,72.00,30.00
2025-08-18T14:58:00Z,72.00,30.00
2025-08-18T15:01:00Z,72.00,30.00
2025-08-18T15:24:00Z,72.00,30.00
2025-08-18T15:52:00Z,71.75,30.00
2025-08-18T16:00:00Z,71.75,30.00
2025-08-18T16:02:00Z,71.75,29.00
2025-08-18T16:07:00Z,71.75,29.00
2025-08-18T16:09:00Z,73.00,29.00
2025-08-18T16:19:00Z,73.00,29.00
2025-08-18T16:21:00Z,73.00,29.00
2025-08-18T16:23:00Z,70.33,29.00
2025-08-18T16:46:00Z,73.00,29.00
2025-08-18T16:53:00Z,73.00,29.00
2025-08-18T16:54:00Z,73.00,29.00
2025-08-18T16:56:00Z,72.77,29.00
2025-08-18T16:58:00Z,72.77,29.00
2025-08-18T17:02:00Z,72.75,29.00
2025-08-18T17:04:00Z,73.00,29.00
2025-08-18T17:19:00Z,73.00,29.00
2025-08-18T17:25:00Z,72.00,29.00
2025-08-18T17:38:00Z,72.00,29.00
2025-08-18T17:39:00Z,73.00,29.00
2025-08-18T17:40:00Z,73.00,27.00
2025-08-18T17:41:00Z,73.00,29.00
2025-08-18T17:51:00Z,73.00,29.00
2025-08-18T17:52:00Z,73.00,29.00
2025-08-18T17:54:00Z,73.00,29.00
2025-08-18T17:55:00Z,73.00,29.00
2025-08-18T17:59:00Z,71.00,29.00
2025-08-18T18:01:00Z,73.00,29.00
2025-08-18T18:05:00Z,73.00,30.00
2025-08-18T18:06:00Z,73.00,30.00
2025-08-18T18:08:00Z,73.00,30.00
2025-08-18T18:10:00Z,73.00,29.00
2025-08-18T18:11:00Z,73.84,27.14
2025-08-18T18:12:00Z,75.00,27.14
2025-08-18T18:13:00Z,75.00,27.05
2025-08-18T18:14:00Z,72.00,30.00
2025-08-18T18:15:00Z,71.00,29.14
2025-08-18T18:16:00Z,66.00,35.38
2025-08-18T18:18:00Z,70.86,34.00
2025-08-18T18:19:00Z,71.03,30.46
2025-08-18T18:20:00Z,71.03,27.06
2025-08-18T18:21:00Z,77.33,23.75
2025-08-18T18:22:00Z,80.08,20.00
2025-08-18T18:23:00Z,81.00,20.00
2025-08-18T18:24:00Z,83.47,19.00
2025-08-18T18:25:00Z,82.00,19.00
2025-08-18T18:26:00Z,85.00,19.00
2025-08-18T18:28:00Z,86.84,19.00
2025-08-18T18:29:00Z,86.84,17.00
2025-08-18T18:30:00Z,84.00,17.00
2025-08-18T18:32:00Z,79.60,20.00
2025-08-18T18:33:00Z,82.00,21.00
2025-08-18T18:35:00Z,81.24,17.13
2025-08-18T18:36:00Z,88.00,17.13
2025-08-18T18:37:00Z,88.00,15.52
2025-08-18T18:38:00Z,87.00,15.00
2025-08-18T18:39:00Z,87.00,14.95
