# event_ticker=KXATPMATCH-26FEB09DUCSPI
# final_score=6-2 6-4
# match_winner=Eliot Spizzirri
# fav_player=Eliot Spizzirri
# dog_player=James Duckworth
# kalshi_date=2026-02-09
timestamp,Eliot Spizzirri,James Duckworth
2026-02-11T08:32:00Z,75.00,
2026-02-11T10:19:00Z,75.00,
2026-02-11T10:47:00Z,75.00,
2026-02-11T11:03:00Z,75.00,26.00
2026-02-11T12:09:00Z,76.00,26.00
2026-02-11T12:10:00Z,76.00,26.00
2026-02-11T12:27:00Z,76.00,26.00
2026-02-11T13:03:00Z,76.00,26.00
2026-02-11T13:30:00Z,76.00,25.00
2026-02-11T13:43:00Z,76.00,25.00
2026-02-11T13:55:00Z,76.00,25.00
2026-02-11T13:56:00Z,76.00,25.00
2026-02-11T14:02:00Z,76.00,25.00
2026-02-11T14:12:00Z,76.00,25.00
2026-02-11T14:32:00Z,76.00,25.00
2026-02-11T14:42:00Z,76.00,25.00
2026-02-11T15:08:00Z,76.00,25.00
2026-02-11T15:19:00Z,76.00,25.00
2026-02-11T15:35:00Z,76.00,25.00
2026-02-11T15:52:00Z,75.00,25.00
2026-02-11T16:00:00Z,75.00,26.00
2026-02-11T16:01:00Z,76.00,26.00
2026-02-11T16:07:00Z,76.00,25.00
2026-02-11T16:09:00Z,76.00,24.00
2026-02-11T16:12:00Z,76.00,25.00
2026-02-11T16:18:00Z,76.00,25.00
2026-02-11T16:20:00Z,76.00,25.00
2026-02-11T16:57:00Z,75.00,25.00
2026-02-11T17:05:00Z,75.00,25.00
2026-02-11T17:11:00Z,75.00,25.00
2026-02-11T17:17:00Z,75.00,25.00
2026-02-11T17:19:00Z,75.00,25.00
2026-02-11T17:24:00Z,75.00,25.00
2026-02-11T17:26:00Z,75.00,25.00
2026-02-11T17:28:00Z,75.00,26.00
2026-02-11T17:33:00Z,75.00,26.00
2026-02-11T17:35:00Z,75.00,25.00
2026-02-11T17:37:00Z,75.00,25.00
2026-02-11T17:41:00Z,75.00,25.00
2026-02-11T17:43:00Z,76.00,25.00
2026-02-11T17:55:00Z,76.00,25.00
2026-02-11T17:58:00Z,76.00,25.00
2026-02-11T17:59:00Z,76.00,25.00
2026-02-11T18:00:00Z,76.00,25.00
2026-02-11T18:01:00Z,76.00,25.00
2026-02-11T18:03:00Z,76.00,25.00
2026-02-11T18:10:00Z,76.00,25.00
2026-02-11T18:13:00Z,76.00,25.00
2026-02-11T18:22:00Z,76.00,25.00
2026-02-11T18:25:00Z,76.00,25.00
2026-02-11T18:29:00Z,76.00,25.00
2026-02-11T18:34:00Z,76.00,25.00
2026-02-11T18:46:00Z,76.00,25.00
2026-02-11T18:47:00Z,76.00,25.00
2026-02-11T19:00:00Z,76.00,25.00
2026-02-11T19:01:00Z,76.00,25.00
2026-02-11T19:03:00Z,75.00,25.00
2026-02-11T19:09:00Z,75.00,25.00
2026-02-11T19:11:00Z,75.00,25.00
2026-02-11T19:14:00Z,75.05,25.00
2026-02-11T19:15:00Z,75.05,26.00
2026-02-11T19:24:00Z,75.00,26.00
2026-02-11T19:36:00Z,75.00,26.00
2026-02-11T19:49:00Z,75.00,26.00
2026-02-11T19:56:00Z,75.00,26.00
2026-02-11T19:57:00Z,75.00,26.00
2026-02-11T19:59:00Z,75.00,26.00
2026-02-11T20:06:00Z,75.00,26.00
2026-02-11T20:07:00Z,75.00,26.00
2026-02-11T20:09:00Z,74.99,26.00
2026-02-11T20:10:00Z,74.00,26.00
2026-02-11T20:11:00Z,74.00,27.00
2026-02-11T20:12:00Z,74.56,25.17
2026-02-11T20:13:00Z,77.00,23.96
2026-02-11T20:14:00Z,76.42,22.99
2026-02-11T20:15:00Z,74.38,27.00
2026-02-11T20:16:00Z,72.00,28.14
2026-02-11T20:17:00Z,72.46,27.24
2026-02-11T20:18:00Z,76.03,24.26
2026-02-11T20:19:00Z,80.20,19.24
2026-02-11T20:20:00Z,79.89,21.74
2026-02-11T20:21:00Z,76.48,24.43
2026-02-11T20:22:00Z,77.00,25.82
2026-02-11T20:23:00Z,77.00,26.95
2026-02-11T20:24:00Z,77.00,27.00
2026-02-11T20:25:00Z,72.00,29.10
