# event_ticker=KXATPMATCH-25NOV06SONALT
# final_score=6-4 7-6(6)
# score_resolution=4-6 6-7
# match_winner=Lorenzo Sonego
# fav_player=Daniel Altmaier
# dog_player=Lorenzo Sonego
# kalshi_date=2025-11-06
timestamp,Daniel Altmaier,Lorenzo Sonego
2025-11-06T04:14:00Z,41.00,
2025-11-06T04:27:00Z,41.00,
2025-11-06T04:29:00Z,41.00,
2025-11-06T04:33:00Z,41.00,
2025-11-06T04:34:00Z,41.00,
2025-11-06T04:35:00Z,41.00,
2025-11-06T04:45:00Z,41.00,60.00
2025-11-06T04:46:00Z,41.00,60.00
2025-11-06T04:53:00Z,41.00,60.00
2025-11-06T04:54:00Z,41.00,60.00
2025-11-06T04:56:00Z,41.00,60.00
2025-11-06T04:58:00Z,41.00,60.00
2025-11-06T05:16:00Z,41.00,60.00
2025-11-06T05:19:00Z,41.00,60.00
2025-11-06T05:20:00Z,41.00,60.00
2025-11-06T05:29:00Z,41.00,60.00
2025-11-06T05:33:00Z,41.00,60.00
2025-11-06T05:35:00Z,41.00,60.00
2025-11-06T05:36:00Z,41.00,60.00
2025-11-06T05:40:00Z,41.00,60.89
2025-11-06T05:55:00Z,41.00,60.89
2025-11-06T06:02:00Z,41.00,61.00
2025-11-06T06:03:00Z,41.00,61.00
2025-11-06T06:08:00Z,41.00,61.00
2025-11-06T06:10:00Z,41.00,61.00
2025-11-06T06:11:00Z,41.00,60.13
2025-11-06T06:12:00Z,41.00,60.00
2025-11-06T06:13:00Z,41.00,60.29
2025-11-06T06:14:00Z,41.00,63.94
2025-11-06T06:15:00Z,41.00,62.27
2025-11-06T06:16:00Z,38.00,63.37
2025-11-06T06:17:00Z,38.00,63.00
2025-11-06T06:21:00Z,37.00,63.00
2025-11-06T06:22:00Z,37.00,64.00
2025-11-06T06:23:00Z,37.00,64.83
2025-11-06T06:29:00Z,37.00,64.00
2025-11-06T06:30:00Z,37.00,64.00
2025-11-06T06:33:00Z,37.00,64.00
2025-11-06T06:35:00Z,37.00,64.00
2025-11-06T06:38:00Z,37.00,63.86
2025-11-06T06:43:00Z,37.00,64.00
2025-11-06T06:44:00Z,37.00,64.00
2025-11-06T06:50:00Z,37.00,64.00
2025-11-06T06:52:00Z,37.00,64.00
2025-11-06T06:56:00Z,37.00,64.19
2025-11-06T07:00:00Z,37.00,64.19
2025-11-06T07:02:00Z,37.00,65.00
2025-11-06T07:04:00Z,37.00,65.00
2025-11-06T07:08:00Z,37.00,65.00
2025-11-06T07:10:00Z,37.00,66.00
2025-11-06T07:11:00Z,37.00,66.00
2025-11-06T07:20:00Z,36.00,66.00
2025-11-06T07:24:00Z,36.00,66.00
2025-11-06T07:28:00Z,36.00,66.00
2025-11-06T07:32:00Z,36.00,66.00
2025-11-06T07:34:00Z,36.00,66.00
2025-11-06T07:36:00Z,36.00,66.00
2025-11-06T07:38:00Z,36.00,66.00
2025-11-06T07:47:00Z,36.00,66.00
2025-11-06T07:48:00Z,36.00,65.00
2025-11-06T07:55:00Z,36.00,65.00
2025-11-06T08:03:00Z,36.00,64.00
2025-11-06T10:03:00Z,37.00,64.00
2025-11-06T10:04:00Z,37.00,64.00
2025-11-06T10:05:00Z,37.00,64.00
2025-11-06T10:08:00Z,37.00,64.00
2025-11-06T10:15:00Z,37.00,64.00
