# event_ticker=KXATPCHALLENGERMATCH-26MAY01BERHIJ
# final_score=5-7 6-2 6-2
# match_winner=Zizou Bergs
# fav_player=Zizou Bergs
# dog_player=Rinky Hijikata
# kalshi_date=2026-05-01
timestamp,Zizou Bergs,Rinky Hijikata
2026-04-30T21:37:00Z,,34.00
2026-04-30T21:39:00Z,,31.00
2026-04-30T22:05:00Z,69.00,31.00
2026-04-30T22:34:00Z,69.00,31.00
2026-04-30T22:43:00Z,66.70,31.00
2026-04-30T22:54:00Z,69.00,31.00
2026-04-30T23:11:00Z,69.00,31.00
2026-04-30T23:13:00Z,69.00,31.00
2026-04-30T23:15:00Z,69.00,31.00
2026-04-30T23:18:00Z,69.00,31.00
2026-04-30T23:22:00Z,69.00,31.00
2026-04-30T23:46:00Z,69.00,32.00
2026-05-01T01:15:00Z,71.00,32.00
2026-05-01T01:19:00Z,71.00,32.00
2026-05-01T01:24:00Z,70.00,32.00
2026-05-01T01:30:00Z,70.00,32.00
2026-05-01T01:32:00Z,70.00,29.00
2026-05-01T01:34:00Z,71.00,29.00
2026-05-01T01:35:00Z,71.00,29.00
2026-05-01T01:40:00Z,71.00,29.00
2026-05-01T01:43:00Z,71.00,29.00
2026-05-01T01:46:00Z,71.71,29.00
2026-05-01T01:51:00Z,71.71,29.00
2026-05-01T01:52:00Z,72.00,29.00
2026-05-01T02:03:00Z,72.00,29.00
2026-05-01T02:10:00Z,72.00,29.00
2026-05-01T02:23:00Z,72.00,29.00
2026-05-01T02:36:00Z,72.00,29.00
2026-05-01T03:06:00Z,72.00,29.00
2026-05-01T03:26:00Z,72.00,29.00
2026-05-01T03:32:00Z,72.00,29.00
2026-05-01T03:39:00Z,72.00,29.00
2026-05-01T03:40:00Z,72.00,29.00
2026-05-01T03:42:00Z,72.00,29.00
2026-05-01T03:44:00Z,73.00,29.00
2026-05-01T03:45:00Z,73.00,29.00
2026-05-01T03:48:00Z,73.00,29.00
2026-05-01T03:53:00Z,73.00,29.00
2026-05-01T03:58:00Z,73.00,29.00
2026-05-01T03:59:00Z,73.00,29.00
2026-05-01T04:13:00Z,73.00,29.00
2026-05-01T04:17:00Z,73.00,29.00
2026-05-01T04:20:00Z,71.03,29.00
2026-05-01T04:21:00Z,71.00,29.00
2026-05-01T04:25:00Z,72.00,29.00
2026-05-01T04:26:00Z,72.00,29.00
2026-05-01T04:29:00Z,72.00,29.00
2026-05-01T04:31:00Z,73.00,29.00
2026-05-01T04:34:00Z,73.00,29.00
2026-05-01T04:37:00Z,73.00,29.00
2026-05-01T04:42:00Z,73.00,29.00
2026-05-01T04:48:00Z,73.00,29.00
