# event_ticker=KXATPCHALLENGERMATCH-26MAR17PELMAR
# final_score=6-4 6-4
# match_winner=Andrea Pellegrino
# fav_player=Andrea Pellegrino
# dog_player=Pol Martin Tiffon
# kalshi_date=2026-03-17
timestamp,Andrea Pellegrino,Pol Martin Tiffon
2026-03-17T05:23:00Z,63.00,
2026-03-17T07:08:00Z,61.00,
2026-03-17T08:46:00Z,61.95,
2026-03-17T09:45:00Z,61.95,39.00
2026-03-17T10:50:00Z,62.00,39.00
2026-03-17T10:56:00Z,62.00,39.00
2026-03-17T12:49:00Z,62.00,39.00
2026-03-17T13:22:00Z,62.00,39.00
2026-03-17T13:35:00Z,62.00,39.00
2026-03-17T14:40:00Z,62.00,39.00
2026-03-17T14:50:00Z,62.00,39.00
2026-03-17T14:51:00Z,62.00,38.00
2026-03-17T14:54:00Z,62.00,39.00
2026-03-17T14:57:00Z,62.00,38.50
2026-03-17T15:01:00Z,62.00,38.50
2026-03-17T15:12:00Z,62.00,38.00
2026-03-17T16:26:00Z,62.00,38.00
2026-03-17T16:27:00Z,62.00,38.00
2026-03-17T16:28:00Z,61.00,38.00
2026-03-17T16:33:00Z,63.76,38.00
2026-03-17T16:42:00Z,64.00,38.00
2026-03-17T16:57:00Z,64.00,38.00
2026-03-17T16:58:00Z,64.00,38.00
2026-03-17T17:03:00Z,63.00,38.00
2026-03-17T17:04:00Z,63.18,38.00
2026-03-17T17:05:00Z,64.00,39.00
2026-03-17T17:06:00Z,64.00,39.00
2026-03-17T17:08:00Z,62.89,38.92
2026-03-17T17:09:00Z,59.00,41.02
2026-03-17T17:10:00Z,57.64,41.02
2026-03-17T17:11:00Z,57.00,44.00
2026-03-17T17:12:00Z,59.03,46.00
2026-03-17T17:13:00Z,52.68,49.00
2026-03-17T17:14:00Z,41.24,58.82
2026-03-17T17:15:00Z,41.00,59.00
2026-03-17T17:16:00Z,49.83,59.00
2026-03-17T17:17:00Z,54.03,46.06
2026-03-17T17:18:00Z,57.00,46.06
