# event_ticker=KXATPMATCH-25JUL30MCDLEH
# final_score=7-6(2) 6-4
# score_resolution=7-6 6-4
# match_winner=Jiri Lehecka
# fav_player=Jiri Lehecka
# dog_player=Mackenzie McDonald
# kalshi_date=2025-07-30
timestamp,Jiri Lehecka,Mackenzie McDonald
2025-07-30T13:51:00Z,,28.00
2025-07-30T14:03:00Z,73.00,28.00
2025-07-30T14:36:00Z,73.00,28.00
2025-07-30T18:28:00Z,73.00,28.00
2025-07-30T18:38:00Z,73.00,28.05
2025-07-30T18:42:00Z,73.00,28.94
2025-07-30T18:54:00Z,73.00,28.94
2025-07-30T19:19:00Z,73.00,29.00
2025-07-30T19:23:00Z,73.00,29.00
2025-07-30T19:28:00Z,73.00,29.00
2025-07-30T19:32:00Z,73.00,29.00
2025-07-30T19:34:00Z,73.00,28.00
2025-07-30T19:37:00Z,73.00,29.00
2025-07-30T19:51:00Z,73.00,29.00
2025-07-30T20:04:00Z,73.00,30.00
2025-07-30T20:08:00Z,73.00,26.00
2025-07-30T20:15:00Z,73.00,29.00
2025-07-30T20:32:00Z,73.00,30.00
2025-07-30T20:36:00Z,72.58,30.00
2025-07-30T20:39:00Z,72.58,29.69
2025-07-30T21:08:00Z,74.00,29.69
2025-07-30T21:11:00Z,74.00,30.00
2025-07-30T21:13:00Z,74.00,30.00
2025-07-30T21:17:00Z,74.00,30.00
2025-07-30T21:21:00Z,74.00,29.00
2025-07-30T21:22:00Z,74.00,29.27
2025-07-30T21:26:00Z,74.00,29.00
2025-07-30T21:29:00Z,74.00,28.00
2025-07-30T21:30:00Z,74.00,29.35
2025-07-30T21:31:00Z,74.00,32.00
2025-07-30T21:32:00Z,74.00,31.00
2025-07-30T21:34:00Z,74.00,34.00
2025-07-30T21:35:00Z,75.00,29.00
2025-07-30T21:36:00Z,75.00,29.00
2025-07-30T21:37:00Z,75.00,33.38
2025-07-30T21:38:00Z,75.99,35.90
2025-07-30T21:39:00Z,69.00,35.90
2025-07-30T21:40:00Z,69.00,31.23
2025-07-30T21:41:00Z,69.00,33.00
2025-07-30T21:42:00Z,70.00,35.00
2025-07-30T21:43:00Z,70.00,38.00
2025-07-30T21:45:00Z,70.00,36.99
2025-07-30T21:46:00Z,66.00,36.99
2025-07-30T21:47:00Z,66.00,38.35
2025-07-30T21:48:00Z,63.92,38.35
2025-07-30T21:49:00Z,65.00,41.00
2025-07-30T21:50:00Z,65.00,36.95
2025-07-30T21:51:00Z,74.93,36.95
2025-07-30T21:52:00Z,76.00,31.00
2025-07-30T21:53:00Z,70.50,32.40
2025-07-30T21:54:00Z,67.35,28.00
2025-07-30T21:55:00Z,67.35,34.33
2025-07-30T21:56:00Z,65.00,35.00
2025-07-30T21:57:00Z,66.00,35.00
2025-07-30T21:58:00Z,65.00,36.00
2025-07-30T21:59:00Z,65.00,35.00
2025-07-30T22:00:00Z,63.00,37.33
2025-07-30T22:03:00Z,66.00,39.05
2025-07-30T22:04:00Z,64.81,35.12
2025-07-30T22:05:00Z,64.81,40.00
2025-07-30T22:07:00Z,64.81,42.26
2025-07-30T22:08:00Z,64.81,42.00
2025-07-30T22:09:00Z,59.00,44.00
2025-07-30T22:10:00Z,59.00,41.00
2025-07-30T22:11:00Z,59.00,42.00
2025-07-30T22:12:00Z,56.00,47.33
2025-07-30T22:13:00Z,56.00,45.00
2025-07-30T22:14:00Z,56.00,34.00
2025-07-30T22:15:00Z,77.00,34.00
2025-07-30T22:16:00Z,74.00,34.00
2025-07-30T22:17:00Z,74.00,27.00
2025-07-30T22:18:00Z,74.00,27.00
2025-07-30T22:19:00Z,80.27,17.00
2025-07-30T22:20:00Z,83.97,16.00
2025-07-30T22:21:00Z,84.00,17.00
2025-07-30T22:22:00Z,85.00,17.00
2025-07-30T22:23:00Z,85.00,17.00
2025-07-30T22:25:00Z,85.00,18.00
2025-07-30T22:26:00Z,85.00,26.00
2025-07-30T22:27:00Z,85.00,31.00
2025-07-30T22:28:00Z,85.00,23.00
2025-07-30T22:29:00Z,85.00,22.87
2025-07-30T22:30:00Z,85.00,19.55
2025-07-30T22:31:00Z,85.00,19.93
2025-07-30T22:32:00Z,85.00,16.08
2025-07-30T22:33:00Z,85.00,17.00
2025-07-30T22:34:00Z,88.00,17.00
2025-07-30T22:35:00Z,88.00,17.00
2025-07-30T22:36:00Z,88.68,17.00
2025-07-30T22:37:00Z,88.68,14.00
2025-07-30T22:38:00Z,88.68,13.65
2025-07-30T22:39:00Z,87.00,13.65
2025-07-30T22:40:00Z,88.00,15.41
2025-07-30T22:41:00Z,89.00,14.09
2025-07-30T22:42:00Z,89.00,15.00
