# event_ticker=KXATPCHALLENGERMATCH-26MAR19SHAPAC
# final_score=6-1 RET
# match_winner=Rodrigo Pacheco Mendez
# fav_player=Aryan Shah
# dog_player=Rodrigo Pacheco Mendez
# kalshi_date=2026-03-19
timestamp,Aryan Shah,Rodrigo Pacheco Mendez
2026-03-19T09:13:00Z,,74.00
2026-03-19T09:33:00Z,,78.00
2026-03-19T12:04:00Z,,78.00
2026-03-19T12:30:00Z,,78.00
2026-03-19T12:32:00Z,,78.00
2026-03-19T13:21:00Z,,80.00
2026-03-19T13:37:00Z,,80.00
2026-03-19T14:37:00Z,,79.00
2026-03-19T18:16:00Z,20.00,79.00
2026-03-19T18:36:00Z,18.00,79.00
2026-03-19T18:39:00Z,19.00,79.00
2026-03-19T18:51:00Z,19.00,79.00
2026-03-19T18:52:00Z,19.00,82.00
2026-03-19T19:06:00Z,19.00,82.00
2026-03-19T19:11:00Z,19.00,82.00
2026-03-19T19:12:00Z,19.00,82.00
2026-03-19T19:19:00Z,19.23,82.00
2026-03-19T19:37:00Z,18.00,82.00
2026-03-19T19:58:00Z,19.00,83.00
2026-03-19T19:59:00Z,19.00,83.00
2026-03-19T20:00:00Z,19.00,83.00
2026-03-19T20:11:00Z,19.79,83.00
2026-03-19T20:36:00Z,20.00,83.00
2026-03-19T20:38:00Z,20.00,83.00
2026-03-19T20:40:00Z,18.98,82.24
2026-03-19T20:41:00Z,15.00,85.00
2026-03-19T20:42:00Z,11.00,90.00
2026-03-19T20:43:00Z,11.00,90.00
2026-03-19T20:44:00Z,8.40,90.00
2026-03-19T20:45:00Z,7.79,92.00
2026-03-19T20:46:00Z,7.14,92.00
2026-03-19T20:47:00Z,7.00,93.97
2026-03-19T20:48:00Z,6.00,94.00
2026-03-19T20:49:00Z,6.00,94.00
2026-03-19T20:52:00Z,12.93,94.00
2026-03-19T20:53:00Z,4.36,94.85
2026-03-19T20:54:00Z,4.00,94.85
2026-03-19T20:56:00Z,4.00,98.00
2026-03-19T20:57:00Z,4.00,98.00
2026-03-19T20:58:00Z,3.10,98.00
2026-03-19T20:59:00Z,3.00,96.93
2026-03-19T21:00:00Z,4.00,96.00
2026-03-19T21:01:00Z,3.12,96.67
2026-03-19T21:02:00Z,3.00,97.90
2026-03-19T21:03:00Z,1.07,98.73
2026-03-19T21:04:00Z,1.00,98.73
2026-03-19T21:05:00Z,1.00,98.73
2026-03-19T21:06:00Z,1.00,98.73
2026-03-19T21:11:00Z,1.00,98.73
