# event_ticker=KXATPCHALLENGERMATCH-26FEB11TULELL
# final_score=6-4 6-4
# match_winner=Li Tu
# fav_player=Li Tu
# dog_player=Blake Ellis
# kalshi_date=2026-02-11
timestamp,Li Tu,Blake Ellis
2026-02-11T17:01:00Z,,46.00
2026-02-11T17:21:00Z,,47.00
2026-02-11T17:38:00Z,,48.00
2026-02-11T17:44:00Z,55.00,48.00
2026-02-11T18:02:00Z,55.00,48.00
2026-02-11T18:13:00Z,55.48,48.00
2026-02-11T18:51:00Z,55.00,48.00
2026-02-11T18:52:00Z,55.00,47.00
2026-02-11T19:00:00Z,55.00,47.00
2026-02-11T19:04:00Z,55.00,47.00
2026-02-11T19:06:00Z,56.00,47.00
2026-02-11T19:08:00Z,56.00,47.00
2026-02-11T19:23:00Z,56.00,44.00
2026-02-11T19:30:00Z,56.00,45.00
2026-02-11T19:36:00Z,56.00,45.00
2026-02-11T19:49:00Z,56.00,45.00
2026-02-11T20:13:00Z,56.00,45.00
2026-02-11T20:15:00Z,56.00,45.00
2026-02-11T20:35:00Z,56.00,45.00
2026-02-11T20:40:00Z,56.75,45.00
2026-02-11T20:50:00Z,56.75,45.87
2026-02-11T21:07:00Z,56.75,46.00
2026-02-11T21:11:00Z,56.75,46.00
2026-02-11T21:20:00Z,57.00,46.00
2026-02-11T21:25:00Z,57.00,46.00
2026-02-11T21:27:00Z,55.00,46.00
2026-02-11T21:29:00Z,57.00,46.00
2026-02-11T21:36:00Z,57.00,46.00
2026-02-11T21:47:00Z,57.00,42.11
2026-02-11T21:54:00Z,57.00,42.11
2026-02-11T21:56:00Z,57.00,42.11
2026-02-11T21:58:00Z,57.00,44.54
2026-02-11T22:00:00Z,57.00,44.54
2026-02-11T22:08:00Z,57.00,45.00
2026-02-11T22:13:00Z,57.00,45.00
2026-02-11T22:19:00Z,57.00,43.00
2026-02-11T22:22:00Z,57.00,43.00
2026-02-11T22:30:00Z,58.00,43.00
2026-02-11T22:35:00Z,58.00,44.00
2026-02-11T22:42:00Z,58.00,44.00
2026-02-11T22:46:00Z,58.00,44.00
2026-02-11T22:48:00Z,58.00,44.00
2026-02-11T22:59:00Z,58.00,44.00
2026-02-11T23:05:00Z,58.00,41.42
2026-02-11T23:09:00Z,58.00,43.04
2026-02-11T23:14:00Z,58.00,43.04
2026-02-11T23:19:00Z,57.00,43.04
2026-02-11T23:20:00Z,57.00,43.43
2026-02-11T23:21:00Z,57.00,43.43
2026-02-11T23:22:00Z,57.00,44.00
2026-02-11T23:31:00Z,57.00,44.00
2026-02-11T23:32:00Z,57.00,44.00
2026-02-11T23:45:00Z,57.00,44.00
2026-02-11T23:51:00Z,55.00,44.00
2026-02-11T23:58:00Z,55.00,44.00
2026-02-12T00:06:00Z,55.00,44.00
