# event_ticker=KXATPMATCH-25OCT04SVRMED
# final_score=6-1 6-1
# match_winner=Daniil Medvedev
# fav_player=Daniil Medvedev
# dog_player=Dalibor Svrcina
# kalshi_date=2025-10-04
timestamp,Daniil Medvedev,Dalibor Svrcina
2025-10-03T23:10:00Z,,22.00
2025-10-03T23:27:00Z,79.00,22.00
2025-10-03T23:44:00Z,79.00,22.00
2025-10-03T23:54:00Z,79.00,22.00
2025-10-04T00:03:00Z,79.00,22.00
2025-10-04T00:27:00Z,79.00,22.00
2025-10-04T00:36:00Z,79.00,22.00
2025-10-04T00:38:00Z,79.00,23.00
2025-10-04T00:53:00Z,79.00,23.00
2025-10-04T00:56:00Z,79.00,23.00
2025-10-04T01:01:00Z,79.00,23.00
2025-10-04T01:17:00Z,79.00,23.00
2025-10-04T01:41:00Z,79.00,23.00
2025-10-04T01:42:00Z,79.00,23.00
2025-10-04T01:44:00Z,79.00,23.00
2025-10-04T02:00:00Z,79.00,23.00
2025-10-04T02:09:00Z,79.00,23.00
2025-10-04T02:35:00Z,79.00,23.00
2025-10-04T02:46:00Z,79.00,22.00
2025-10-04T02:49:00Z,79.00,22.00
2025-10-04T02:54:00Z,79.00,22.00
2025-10-04T03:02:00Z,79.00,22.00
2025-10-04T03:08:00Z,79.00,22.93
2025-10-04T03:10:00Z,79.00,22.93
2025-10-04T03:21:00Z,79.00,23.00
2025-10-04T03:23:00Z,79.00,23.00
2025-10-04T03:43:00Z,78.00,23.00
2025-10-04T03:50:00Z,78.00,23.00
2025-10-04T03:59:00Z,78.00,23.00
2025-10-04T04:12:00Z,78.00,23.00
2025-10-04T04:38:00Z,78.00,23.00
2025-10-04T04:42:00Z,78.00,23.00
2025-10-04T04:44:00Z,78.00,23.00
2025-10-04T04:45:00Z,78.00,21.00
2025-10-04T04:47:00Z,78.00,23.00
2025-10-04T05:02:00Z,78.00,23.00
2025-10-04T05:09:00Z,78.00,23.00
2025-10-04T05:31:00Z,78.30,23.00
2025-10-04T05:32:00Z,79.00,23.00
2025-10-04T05:46:00Z,79.00,23.00
2025-10-04T05:59:00Z,79.00,23.00
2025-10-04T06:00:00Z,79.00,23.00
2025-10-04T06:03:00Z,79.00,23.00
