# event_ticker=KXATPCHALLENGERMATCH-26FEB17ZARDAM
# final_score=6-7(4) 7-6(4) 6-3
# score_resolution=6-7 7-6 6-3
# match_winner=Carlos Maria Zarate
# fav_player=Carlos Maria Zarate
# dog_player=Miguel Damas
# kalshi_date=2026-02-17
timestamp,Carlos Maria Zarate,Miguel Damas
2026-02-17T05:05:00Z,,78.00
2026-02-17T06:11:00Z,,74.00
2026-02-17T08:03:00Z,,78.00
2026-02-17T08:30:00Z,,78.00
2026-02-17T09:06:00Z,25.00,78.00
2026-02-17T10:09:00Z,25.00,76.00
2026-02-17T10:28:00Z,25.00,76.00
2026-02-17T10:33:00Z,26.00,76.00
2026-02-17T11:29:00Z,26.00,77.00
2026-02-17T11:59:00Z,26.00,77.00
2026-02-17T12:08:00Z,26.00,77.00
2026-02-17T12:44:00Z,26.00,77.00
2026-02-17T12:45:00Z,26.00,77.00
2026-02-17T12:48:00Z,26.00,77.00
2026-02-17T12:49:00Z,26.00,77.00
2026-02-17T12:51:00Z,26.00,77.00
2026-02-17T12:53:00Z,26.00,77.00
2026-02-17T12:55:00Z,26.00,77.00
2026-02-17T13:02:00Z,26.00,76.00
2026-02-17T13:05:00Z,26.00,76.00
2026-02-17T13:06:00Z,26.00,76.00
2026-02-17T13:08:00Z,26.00,76.82
2026-02-17T13:11:00Z,25.00,76.04
2026-02-17T13:12:00Z,23.16,76.04
2026-02-17T13:13:00Z,22.31,78.00
2026-02-17T13:14:00Z,24.67,74.00
2026-02-17T13:15:00Z,23.78,77.00
2026-02-17T13:16:00Z,23.00,75.54
2026-02-17T13:21:00Z,32.58,68.58
2026-02-17T13:22:00Z,39.02,61.00
2026-02-17T13:23:00Z,33.99,61.00
2026-02-17T13:24:00Z,33.99,65.00
2026-02-17T13:25:00Z,33.00,68.80
2026-02-17T13:26:00Z,33.00,66.00
2026-02-17T13:27:00Z,37.00,65.90
2026-02-17T13:28:00Z,35.19,66.00
2026-02-17T13:29:00Z,36.82,66.00
2026-02-17T13:30:00Z,41.63,61.00
2026-02-17T13:31:00Z,42.00,61.00
2026-02-17T13:32:00Z,42.00,58.89
2026-02-17T13:33:00Z,44.50,56.00
2026-02-17T13:34:00Z,42.32,57.90
2026-02-17T13:35:00Z,42.00,59.00
2026-02-17T13:36:00Z,39.13,59.00
2026-02-17T13:37:00Z,37.43,59.00
2026-02-17T13:38:00Z,34.01,64.44
2026-02-17T13:39:00Z,36.46,60.00
2026-02-17T13:40:00Z,41.42,58.07
2026-02-17T13:41:00Z,42.00,58.00
2026-02-17T13:43:00Z,38.00,62.39
2026-02-17T13:44:00Z,38.02,62.00
2026-02-17T13:45:00Z,36.76,65.03
2026-02-17T13:46:00Z,33.00,68.00
2026-02-17T13:47:00Z,28.16,74.50
2026-02-17T13:48:00Z,33.01,65.92
2026-02-17T13:49:00Z,28.87,65.92
2026-02-17T13:50:00Z,26.00,76.00
2026-02-17T13:51:00Z,23.00,76.00
2026-02-17T13:52:00Z,22.00,79.00
2026-02-17T13:53:00Z,22.00,79.00
2026-02-17T13:54:00Z,27.35,79.00
2026-02-17T13:55:00Z,26.02,75.36
2026-02-17T13:56:00Z,34.62,62.31
