# event_ticker=KXATPCHALLENGERMATCH-26MAR11GEEDOS
# final_score=6-3 6-2
# score_resolution=3-6 2-6
# match_winner=Stefan Dostanic
# fav_player=Michael Geerts
# dog_player=Stefan Dostanic
# kalshi_date=2026-03-11
timestamp,Michael Geerts,Stefan Dostanic
2026-03-11T00:38:00Z,38.00,
2026-03-11T00:49:00Z,37.00,
2026-03-11T03:30:00Z,37.00,64.00
2026-03-11T03:49:00Z,39.00,64.00
2026-03-11T04:34:00Z,39.00,63.00
2026-03-11T04:41:00Z,39.00,63.00
2026-03-11T04:57:00Z,39.00,63.00
2026-03-11T05:03:00Z,39.00,63.00
2026-03-11T05:07:00Z,38.99,63.00
2026-03-11T05:11:00Z,38.99,61.00
2026-03-11T05:23:00Z,38.99,63.00
2026-03-11T05:38:00Z,39.00,63.00
2026-03-11T05:48:00Z,39.00,63.00
2026-03-11T06:00:00Z,39.00,63.00
2026-03-11T06:21:00Z,39.00,63.00
2026-03-11T06:24:00Z,39.00,64.00
2026-03-11T06:25:00Z,39.00,64.00
2026-03-11T06:27:00Z,39.00,60.72
2026-03-11T06:31:00Z,39.00,62.00
2026-03-11T06:34:00Z,39.00,62.00
2026-03-11T06:36:00Z,39.00,62.00
2026-03-11T06:37:00Z,39.00,63.00
2026-03-11T06:49:00Z,36.01,63.00
2026-03-11T06:53:00Z,39.00,64.00
2026-03-11T07:06:00Z,39.00,64.00
2026-03-11T07:07:00Z,39.00,64.00
2026-03-11T07:08:00Z,38.00,64.00
2026-03-11T07:09:00Z,39.00,64.00
2026-03-11T07:11:00Z,39.00,63.00
2026-03-11T07:18:00Z,39.00,63.00
2026-03-11T07:31:00Z,39.00,63.00
2026-03-11T07:43:00Z,38.86,63.00
2026-03-11T07:54:00Z,39.00,63.00
2026-03-11T07:56:00Z,39.00,63.00
2026-03-11T07:59:00Z,39.00,63.00
2026-03-11T08:00:00Z,39.00,63.00
2026-03-11T08:01:00Z,40.59,61.75
2026-03-11T08:02:00Z,41.01,61.75
2026-03-11T08:03:00Z,41.25,62.00
2026-03-11T08:04:00Z,41.00,62.00
2026-03-11T08:05:00Z,42.00,62.00
2026-03-11T08:06:00Z,42.00,62.00
2026-03-11T08:07:00Z,41.09,62.00
2026-03-11T08:08:00Z,41.00,64.00
2026-03-11T08:09:00Z,42.68,59.94
2026-03-11T08:10:00Z,45.36,56.11
2026-03-11T08:11:00Z,42.15,56.11
2026-03-11T08:12:00Z,41.96,56.11
2026-03-11T08:13:00Z,43.00,58.00
2026-03-11T08:14:00Z,43.00,59.52
2026-03-11T08:15:00Z,42.87,59.00
2026-03-11T08:16:00Z,40.59,59.00
2026-03-11T08:17:00Z,41.50,60.00
2026-03-11T08:18:00Z,38.20,64.00
2026-03-11T08:19:00Z,38.96,64.00
2026-03-11T08:20:00Z,33.83,70.28
2026-03-11T08:21:00Z,25.68,72.03
2026-03-11T08:22:00Z,26.07,71.00
2026-03-11T08:23:00Z,36.56,71.00
2026-03-11T08:24:00Z,32.77,69.08
2026-03-11T08:26:00Z,24.00,77.00
2026-03-11T08:27:00Z,23.78,78.00
2026-03-11T08:28:00Z,23.78,79.08
2026-03-11T08:29:00Z,22.00,78.00
2026-03-11T08:30:00Z,23.97,79.00
2026-03-11T08:31:00Z,25.00,77.00
2026-03-11T08:32:00Z,25.00,75.54
2026-03-11T08:33:00Z,23.00,75.54
2026-03-11T08:34:00Z,24.00,77.00
2026-03-11T08:35:00Z,23.43,77.00
2026-03-11T08:36:00Z,23.10,77.00
2026-03-11T08:38:00Z,25.00,77.00
2026-03-11T08:39:00Z,23.00,78.05
2026-03-11T08:41:00Z,23.00,80.00
2026-03-11T08:42:00Z,21.00,80.00
2026-03-11T08:43:00Z,21.00,80.00
2026-03-11T08:44:00Z,22.71,79.00
2026-03-11T08:45:00Z,20.00,83.55
2026-03-11T08:46:00Z,14.00,85.00
2026-03-11T08:47:00Z,15.00,85.00
2026-03-11T08:48:00Z,14.23,83.00
2026-03-11T08:49:00Z,14.23,83.00
2026-03-11T08:50:00Z,18.48,82.00
2026-03-11T08:51:00Z,21.00,81.67
2026-03-11T08:52:00Z,21.50,81.67
2026-03-11T08:53:00Z,21.74,79.00
2026-03-11T08:54:00Z,21.74,79.00
2026-03-11T08:55:00Z,18.00,84.27
2026-03-11T08:56:00Z,18.00,85.93
2026-03-11T08:57:00Z,15.46,86.00
2026-03-11T08:58:00Z,12.00,87.00
2026-03-11T08:59:00Z,14.33,86.53
2026-03-11T09:00:00Z,12.00,89.00
2026-03-11T09:01:00Z,12.32,89.00
2026-03-11T09:02:00Z,8.08,92.17
2026-03-11T09:03:00Z,9.08,91.95
2026-03-11T09:04:00Z,8.00,91.73
2026-03-11T09:05:00Z,5.65,94.92
2026-03-11T09:06:00Z,4.68,96.00
2026-03-11T09:07:00Z,3.82,97.00
2026-03-11T09:08:00Z,2.79,97.99
2026-03-11T09:09:00Z,3.00,97.00
2026-03-11T09:10:00Z,4.00,96.99
2026-03-11T09:11:00Z,4.00,95.00
2026-03-11T09:12:00Z,4.00,95.00
2026-03-11T09:13:00Z,4.10,97.00
2026-03-11T09:14:00Z,4.00,98.00
2026-03-11T09:15:00Z,4.95,96.58
2026-03-11T09:16:00Z,4.00,97.81
2026-03-11T09:17:00Z,4.05,96.80
2026-03-11T09:18:00Z,4.00,97.22
2026-03-11T09:19:00Z,3.00,98.00
2026-03-11T09:20:00Z,3.00,98.55
2026-03-11T09:21:00Z,3.00,97.12
2026-03-11T09:22:00Z,2.80,97.00
2026-03-11T09:23:00Z,3.64,97.00
2026-03-11T09:24:00Z,3.16,97.00
2026-03-11T09:25:00Z,3.00,98.00
2026-03-11T09:26:00Z,1.00,99.00
2026-03-11T09:27:00Z,2.00,99.00
2026-03-11T09:28:00Z,2.00,99.00
2026-03-11T09:29:00Z,1.02,99.00
2026-03-11T09:30:00Z,1.00,99.00
2026-03-11T09:31:00Z,1.00,99.00
2026-03-11T09:32:00Z,1.00,99.00
