# event_ticker=KXATPMATCH-25JUL30TSIOCO
# final_score=6-4 4-6 6-2
# score_resolution=4-6 6-4 2-6
# match_winner=Christopher O'Connell
# fav_player=Stefanos Tsitsipas
# dog_player=Christopher O'Connell
# kalshi_date=2025-07-30
timestamp,Stefanos Tsitsipas,Christopher O'Connell
2025-07-30T13:17:00Z,,30.00
2025-07-30T13:55:00Z,,30.00
2025-07-30T14:07:00Z,71.00,30.00
2025-07-30T14:37:00Z,67.00,30.00
2025-07-30T14:41:00Z,67.00,32.00
2025-07-30T14:46:00Z,70.00,32.00
2025-07-30T15:38:00Z,70.00,32.00
2025-07-30T16:01:00Z,70.00,32.00
2025-07-30T18:21:00Z,71.00,32.00
2025-07-30T18:27:00Z,71.00,32.00
2025-07-30T18:30:00Z,71.00,32.00
2025-07-30T19:10:00Z,70.00,32.00
2025-07-30T19:13:00Z,70.00,32.00
2025-07-30T20:03:00Z,67.00,32.00
2025-07-30T20:09:00Z,67.00,32.00
2025-07-30T20:10:00Z,70.00,32.00
2025-07-30T20:16:00Z,70.00,32.00
2025-07-30T20:31:00Z,70.00,32.00
2025-07-30T20:33:00Z,70.00,32.00
2025-07-30T20:35:00Z,70.00,32.00
2025-07-30T20:51:00Z,70.00,32.00
2025-07-30T20:57:00Z,70.00,32.00
2025-07-30T21:00:00Z,70.00,32.00
2025-07-30T21:02:00Z,71.00,32.00
2025-07-30T21:07:00Z,71.00,32.00
2025-07-30T21:14:00Z,71.00,33.00
2025-07-30T21:25:00Z,71.00,33.00
2025-07-30T21:27:00Z,69.00,33.00
2025-07-30T21:33:00Z,69.00,33.00
2025-07-30T21:42:00Z,70.00,33.00
2025-07-30T21:46:00Z,70.00,33.00
2025-07-30T21:54:00Z,70.00,33.00
2025-07-30T22:12:00Z,70.00,31.06
2025-07-30T22:29:00Z,71.00,31.06
2025-07-30T22:31:00Z,71.00,32.00
2025-07-30T22:45:00Z,70.32,32.00
2025-07-30T22:49:00Z,70.32,32.00
2025-07-30T22:54:00Z,70.92,32.00
2025-07-30T22:57:00Z,71.73,32.00
2025-07-30T23:00:00Z,72.00,32.00
2025-07-30T23:01:00Z,72.00,32.00
2025-07-30T23:02:00Z,72.00,30.00
2025-07-30T23:03:00Z,72.00,30.00
2025-07-30T23:07:00Z,73.00,30.00
2025-07-30T23:12:00Z,73.00,30.00
2025-07-30T23:14:00Z,73.00,30.00
2025-07-30T23:16:00Z,73.00,30.00
2025-07-30T23:17:00Z,73.00,30.00
2025-07-30T23:18:00Z,74.00,29.00
2025-07-30T23:19:00Z,74.00,29.00
2025-07-30T23:20:00Z,74.32,26.00
2025-07-30T23:23:00Z,74.32,30.00
2025-07-30T23:24:00Z,72.93,30.00
2025-07-30T23:25:00Z,69.00,31.00
2025-07-30T23:27:00Z,73.00,31.00
2025-07-30T23:29:00Z,75.92,31.00
2025-07-30T23:30:00Z,73.06,27.00
2025-07-30T23:31:00Z,72.00,29.00
2025-07-30T23:32:00Z,73.00,29.00
2025-07-30T23:33:00Z,73.00,27.09
2025-07-30T23:34:00Z,73.00,30.77
2025-07-30T23:35:00Z,74.00,32.00
2025-07-30T23:37:00Z,75.00,27.00
2025-07-30T23:38:00Z,76.43,26.78
2025-07-30T23:39:00Z,76.43,24.00
2025-07-30T23:41:00Z,79.00,24.00
2025-07-30T23:43:00Z,79.00,27.86
2025-07-30T23:44:00Z,71.00,28.98
2025-07-30T23:45:00Z,64.72,32.14
2025-07-30T23:46:00Z,53.30,49.66
2025-07-30T23:48:00Z,50.00,52.00
2025-07-30T23:49:00Z,59.98,44.14
2025-07-30T23:50:00Z,51.00,44.14
2025-07-30T23:51:00Z,43.00,44.14
2025-07-30T23:52:00Z,41.02,59.00
2025-07-30T23:53:00Z,47.59,59.00
2025-07-30T23:54:00Z,48.37,52.14
2025-07-30T23:55:00Z,48.00,52.14
2025-07-30T23:56:00Z,45.00,54.00
2025-07-30T23:57:00Z,43.00,57.00
2025-07-30T23:58:00Z,45.00,57.00
2025-07-30T23:59:00Z,42.00,57.00
2025-07-31T00:01:00Z,40.11,57.00
2025-07-31T00:02:00Z,40.11,63.00
2025-07-31T00:03:00Z,40.11,56.96
2025-07-31T00:04:00Z,45.00,56.96
2025-07-31T00:05:00Z,48.99,50.85
2025-07-31T00:06:00Z,49.67,50.85
2025-07-31T00:07:00Z,43.18,57.00
2025-07-31T00:08:00Z,43.46,57.00
2025-07-31T00:09:00Z,42.95,60.00
2025-07-31T00:10:00Z,38.52,61.99
2025-07-31T00:11:00Z,44.00,56.02
2025-07-31T00:12:00Z,44.00,57.70
