# event_ticker=KXATPCHALLENGERMATCH-26MAR17ENGSHE
# final_score=6-3 3-6 7-5
# match_winner=Justin Engel
# fav_player=Justin Engel
# dog_player=Abdullah Shelbayh
# kalshi_date=2026-03-17
timestamp,Justin Engel,Abdullah Shelbayh
2026-03-17T05:46:00Z,65.00,
2026-03-17T06:23:00Z,64.00,
2026-03-17T06:50:00Z,65.00,
2026-03-17T08:04:00Z,65.00,
2026-03-17T08:46:00Z,65.00,37.00
2026-03-17T09:27:00Z,65.00,37.00
2026-03-17T09:43:00Z,65.00,37.00
2026-03-17T10:07:00Z,65.00,37.00
2026-03-17T10:19:00Z,65.00,37.00
2026-03-17T10:53:00Z,65.75,37.00
2026-03-17T11:19:00Z,65.75,36.00
2026-03-17T11:31:00Z,65.75,36.00
2026-03-17T12:29:00Z,66.00,36.00
2026-03-17T12:54:00Z,66.55,36.00
2026-03-17T13:05:00Z,66.50,36.00
2026-03-17T13:10:00Z,66.50,35.00
2026-03-17T13:52:00Z,67.00,35.00
2026-03-17T14:03:00Z,67.00,35.00
2026-03-17T14:08:00Z,67.00,35.00
2026-03-17T14:19:00Z,67.00,35.00
2026-03-17T14:20:00Z,67.00,35.00
2026-03-17T14:30:00Z,67.00,35.00
2026-03-17T14:34:00Z,67.00,35.00
2026-03-17T14:40:00Z,67.00,35.00
2026-03-17T14:43:00Z,67.00,35.00
2026-03-17T14:44:00Z,67.00,35.00
2026-03-17T14:52:00Z,67.00,35.00
2026-03-17T14:58:00Z,67.00,35.00
2026-03-17T14:59:00Z,67.00,35.00
2026-03-17T15:06:00Z,67.00,35.00
2026-03-17T15:33:00Z,67.00,35.00
2026-03-17T16:00:00Z,67.00,35.00
2026-03-17T16:11:00Z,67.42,35.00
2026-03-17T16:12:00Z,67.00,35.00
2026-03-17T16:18:00Z,67.00,35.00
2026-03-17T16:26:00Z,67.00,35.00
2026-03-17T16:36:00Z,67.34,35.00
2026-03-17T16:53:00Z,67.88,35.00
2026-03-17T16:57:00Z,67.97,35.00
