# event_ticker=KXATPCHALLENGERMATCH-26MAR08SALBOS
# final_score=6-1 6-3
# score_resolution=1-6 3-6
# match_winner=Pedro Boscardin Dias
# fav_player=Amador Salazar
# dog_player=Pedro Boscardin Dias
# kalshi_date=2026-03-08
timestamp,Amador Salazar,Pedro Boscardin Dias
2026-03-09T13:26:00Z,10.00,
2026-03-09T13:41:00Z,10.00,93.00
2026-03-09T13:51:00Z,10.00,93.00
2026-03-09T14:26:00Z,10.00,93.00
2026-03-09T14:30:00Z,10.00,93.00
2026-03-09T14:31:00Z,8.18,93.00
2026-03-09T15:44:00Z,11.70,91.00
2026-03-09T15:48:00Z,10.00,91.00
2026-03-09T16:16:00Z,10.00,91.00
2026-03-09T16:27:00Z,10.00,92.00
2026-03-09T17:24:00Z,9.94,92.00
2026-03-09T17:33:00Z,9.00,92.00
2026-03-09T17:58:00Z,10.00,92.00
2026-03-09T18:29:00Z,10.00,92.00
2026-03-09T18:32:00Z,10.00,94.00
2026-03-09T18:35:00Z,9.00,94.00
2026-03-09T18:38:00Z,9.00,94.00
2026-03-09T18:48:00Z,9.00,94.00
2026-03-09T18:50:00Z,9.00,94.00
2026-03-09T19:06:00Z,9.00,94.00
2026-03-09T19:10:00Z,9.00,94.00
2026-03-09T19:14:00Z,9.00,94.00
2026-03-09T19:20:00Z,9.00,94.00
2026-03-09T19:38:00Z,9.00,94.00
2026-03-09T19:40:00Z,7.00,94.00
2026-03-09T19:53:00Z,8.93,94.00
2026-03-09T20:01:00Z,8.90,94.00
2026-03-09T20:02:00Z,9.00,94.00
2026-03-09T20:03:00Z,9.00,94.00
2026-03-09T20:06:00Z,9.00,94.00
2026-03-09T20:25:00Z,9.00,94.00
2026-03-09T20:48:00Z,9.00,94.00
2026-03-09T20:50:00Z,9.00,94.00
2026-03-09T21:02:00Z,9.00,94.00
2026-03-09T21:10:00Z,9.00,95.00
2026-03-09T21:13:00Z,9.82,95.00
2026-03-09T21:20:00Z,6.00,95.00
2026-03-09T21:36:00Z,8.00,95.00
2026-03-09T22:09:00Z,8.00,94.00
2026-03-09T22:10:00Z,7.00,94.00
2026-03-09T22:11:00Z,7.00,94.00
2026-03-09T22:12:00Z,7.93,94.00
2026-03-09T22:13:00Z,5.83,94.67
2026-03-09T22:14:00Z,6.95,94.67
2026-03-09T22:15:00Z,7.16,93.61
2026-03-09T22:16:00Z,7.44,93.61
2026-03-09T22:17:00Z,5.50,95.73
2026-03-09T22:18:00Z,4.73,95.73
2026-03-09T22:19:00Z,5.00,97.00
2026-03-09T22:20:00Z,5.68,97.00
2026-03-09T22:21:00Z,6.90,94.00
2026-03-09T22:22:00Z,6.00,95.00
2026-03-09T22:23:00Z,10.00,95.00
2026-03-09T22:24:00Z,6.00,96.00
2026-03-09T22:25:00Z,3.04,97.00
2026-03-09T22:26:00Z,2.00,97.88
2026-03-09T22:27:00Z,3.00,97.88
2026-03-09T22:28:00Z,3.00,97.00
2026-03-09T22:29:00Z,2.39,98.00
2026-03-09T22:30:00Z,2.14,98.07
2026-03-09T22:31:00Z,1.36,98.00
2026-03-09T22:32:00Z,2.00,98.00
2026-03-09T22:33:00Z,2.00,98.00
2026-03-09T22:34:00Z,2.00,98.00
2026-03-09T22:35:00Z,2.39,98.00
2026-03-09T22:36:00Z,2.00,98.00
2026-03-09T22:37:00Z,2.00,98.00
2026-03-09T22:38:00Z,2.00,98.00
2026-03-09T22:39:00Z,2.00,98.00
2026-03-09T22:40:00Z,2.00,98.00
2026-03-09T22:41:00Z,1.28,99.00
2026-03-09T22:42:00Z,1.06,99.00
2026-03-09T22:43:00Z,2.00,99.00
2026-03-09T22:44:00Z,2.00,99.00
2026-03-09T22:45:00Z,2.00,98.00
2026-03-09T22:46:00Z,2.00,99.00
2026-03-09T22:49:00Z,2.00,99.00
2026-03-09T22:50:00Z,1.00,99.00
2026-03-09T22:52:00Z,1.00,99.00
2026-03-09T22:53:00Z,1.31,99.00
2026-03-09T22:54:00Z,2.00,99.00
2026-03-09T22:55:00Z,2.00,99.00
2026-03-09T22:56:00Z,2.00,99.00
2026-03-09T22:57:00Z,2.76,99.00
2026-03-09T22:58:00Z,4.00,99.00
2026-03-09T22:59:00Z,3.00,99.00
2026-03-09T23:00:00Z,2.40,99.00
2026-03-09T23:01:00Z,2.00,99.00
2026-03-09T23:02:00Z,2.02,99.00
2026-03-09T23:03:00Z,2.00,99.00
2026-03-09T23:04:00Z,2.00,99.00
2026-03-09T23:05:00Z,2.76,99.00
2026-03-09T23:06:00Z,2.74,99.00
2026-03-09T23:07:00Z,2.00,99.00
2026-03-09T23:08:00Z,2.00,99.00
2026-03-09T23:09:00Z,3.00,99.00
2026-03-09T23:10:00Z,3.00,99.00
2026-03-09T23:11:00Z,2.00,97.00
2026-03-09T23:12:00Z,2.00,97.00
2026-03-09T23:13:00Z,2.00,99.00
2026-03-09T23:14:00Z,1.60,99.00
2026-03-09T23:15:00Z,1.75,99.00
2026-03-09T23:16:00Z,1.00,99.00
2026-03-09T23:17:00Z,1.00,99.00
2026-03-09T23:19:00Z,1.00,99.00
