# event_ticker=KXATPCHALLENGERMATCH-26MAR02PRADEN
# final_score=6-4 6-3
# score_resolution=4-6 3-6
# match_winner=Juan Carlos Prado Angelo
# fav_player=Guy Den Ouden
# dog_player=Juan Carlos Prado Angelo
# kalshi_date=2026-03-02
timestamp,Guy Den Ouden,Juan Carlos Prado Angelo
2026-03-02T10:45:00Z,,33.00
2026-03-02T12:05:00Z,69.00,33.00
2026-03-02T12:45:00Z,69.00,35.64
2026-03-02T13:59:00Z,66.00,35.64
2026-03-02T15:05:00Z,65.00,37.00
2026-03-02T15:09:00Z,65.00,36.00
2026-03-02T15:28:00Z,65.00,36.00
2026-03-02T15:30:00Z,65.00,36.00
2026-03-02T15:33:00Z,65.00,35.00
2026-03-02T15:50:00Z,66.00,35.00
2026-03-02T15:55:00Z,66.00,35.00
2026-03-02T16:13:00Z,66.00,35.00
2026-03-02T16:16:00Z,66.00,35.00
2026-03-02T16:21:00Z,66.50,35.00
2026-03-02T16:22:00Z,67.00,35.00
2026-03-02T16:24:00Z,64.00,35.00
2026-03-02T16:25:00Z,64.00,35.00
2026-03-02T16:29:00Z,66.00,35.00
2026-03-02T16:30:00Z,66.00,35.00
2026-03-02T16:31:00Z,66.00,35.00
2026-03-02T16:36:00Z,66.00,35.00
2026-03-02T16:39:00Z,67.00,35.00
2026-03-02T16:42:00Z,67.00,35.00
2026-03-02T16:44:00Z,67.00,35.00
2026-03-02T16:51:00Z,66.00,35.00
2026-03-02T16:54:00Z,66.00,35.00
2026-03-02T17:17:00Z,67.00,35.00
2026-03-02T17:27:00Z,66.00,35.00
2026-03-02T17:30:00Z,66.00,35.00
2026-03-02T17:31:00Z,66.41,35.00
2026-03-02T17:36:00Z,66.41,35.00
2026-03-02T17:38:00Z,66.00,34.00
2026-03-02T17:39:00Z,67.00,34.00
2026-03-02T17:40:00Z,66.00,34.00
2026-03-02T17:41:00Z,66.00,35.00
2026-03-02T17:44:00Z,66.00,35.00
2026-03-02T17:45:00Z,66.00,35.00
2026-03-02T17:47:00Z,66.00,35.00
2026-03-02T17:49:00Z,66.00,35.00
2026-03-02T17:51:00Z,67.00,35.00
2026-03-02T17:52:00Z,67.00,34.76
2026-03-02T17:53:00Z,67.00,34.76
2026-03-02T17:54:00Z,67.00,35.00
2026-03-02T17:55:00Z,69.73,34.66
2026-03-02T17:56:00Z,63.66,37.00
2026-03-02T17:57:00Z,71.00,37.00
2026-03-02T17:58:00Z,72.25,28.49
2026-03-02T17:59:00Z,75.46,28.35
2026-03-02T18:00:00Z,72.61,28.30
