# event_ticker=KXATPCHALLENGERMATCH-26FEB17JORNAG
# final_score=6-3 7-5
# score_resolution=3-6 5-7
# match_winner=Sumit Nagal
# fav_player=David Jorda Sanchis
# dog_player=Sumit Nagal
# kalshi_date=2026-02-17
timestamp,David Jorda Sanchis,Sumit Nagal
2026-02-16T22:41:00Z,,76.00
2026-02-16T22:55:00Z,26.00,76.00
2026-02-16T23:02:00Z,26.00,76.00
2026-02-17T00:02:00Z,26.00,76.00
2026-02-17T00:52:00Z,26.00,76.00
2026-02-17T02:01:00Z,26.00,76.00
2026-02-17T02:09:00Z,26.00,76.00
2026-02-17T02:43:00Z,26.00,76.00
2026-02-17T02:55:00Z,26.00,76.00
2026-02-17T02:56:00Z,26.00,76.00
2026-02-17T03:12:00Z,26.00,76.00
2026-02-17T03:17:00Z,26.00,76.00
2026-02-17T03:51:00Z,26.00,76.00
2026-02-17T04:11:00Z,26.00,76.00
2026-02-17T04:16:00Z,27.00,76.00
2026-02-17T04:18:00Z,27.00,76.00
2026-02-17T04:26:00Z,27.00,76.00
2026-02-17T04:27:00Z,27.00,76.00
2026-02-17T04:30:00Z,27.00,76.00
2026-02-17T04:33:00Z,27.00,76.00
2026-02-17T04:34:00Z,27.00,76.00
2026-02-17T04:35:00Z,27.00,76.00
2026-02-17T04:37:00Z,27.00,76.00
2026-02-17T04:38:00Z,27.00,76.00
2026-02-17T04:41:00Z,27.00,76.00
2026-02-17T04:48:00Z,27.00,76.00
2026-02-17T04:59:00Z,27.00,77.00
2026-02-17T05:00:00Z,24.00,77.00
2026-02-17T05:07:00Z,24.00,77.00
2026-02-17T05:13:00Z,24.00,77.00
2026-02-17T05:17:00Z,24.00,78.00
2026-02-17T05:18:00Z,24.00,78.00
2026-02-17T05:20:00Z,24.00,78.00
2026-02-17T05:25:00Z,24.00,78.00
2026-02-17T05:27:00Z,24.00,78.00
2026-02-17T05:28:00Z,24.00,78.00
2026-02-17T05:38:00Z,22.00,78.00
2026-02-17T05:39:00Z,24.00,79.00
2026-02-17T05:53:00Z,24.00,79.00
2026-02-17T06:03:00Z,24.00,79.00
2026-02-17T06:09:00Z,24.00,79.00
2026-02-17T06:10:00Z,24.00,79.00
2026-02-17T06:11:00Z,24.00,79.00
2026-02-17T06:13:00Z,24.00,79.00
2026-02-17T06:20:00Z,24.00,79.00
2026-02-17T06:30:00Z,24.00,78.00
2026-02-17T06:36:00Z,24.00,78.00
2026-02-17T06:42:00Z,24.00,78.00
2026-02-17T06:56:00Z,24.00,78.00
2026-02-17T06:58:00Z,24.00,78.00
2026-02-17T06:59:00Z,24.00,78.00
2026-02-17T07:03:00Z,24.00,78.00
2026-02-17T07:09:00Z,24.00,79.00
2026-02-17T07:14:00Z,24.00,79.00
2026-02-17T07:15:00Z,24.00,79.00
2026-02-17T07:22:00Z,24.00,79.00
2026-02-17T07:23:00Z,24.00,79.00
2026-02-17T07:26:00Z,24.00,79.00
2026-02-17T07:30:00Z,24.00,79.00
2026-02-17T07:31:00Z,24.00,79.00
2026-02-17T07:40:00Z,24.00,79.00
2026-02-17T07:41:00Z,23.00,79.00
2026-02-17T07:43:00Z,24.00,79.00
2026-02-17T07:51:00Z,24.00,79.00
