# event_ticker=KXATPCHALLENGERMATCH-26MAY01DAMFAR
# final_score=6-1 6-0
# score_resolution=1-6 0-6
# match_winner=Jaime Faria
# fav_player=Miguel Damas
# dog_player=Jaime Faria
# kalshi_date=2026-05-01
timestamp,Miguel Damas,Jaime Faria
2026-04-30T22:10:00Z,,74.00
2026-04-30T22:18:00Z,,71.00
2026-04-30T22:50:00Z,29.00,71.00
2026-04-30T23:00:00Z,26.00,74.00
2026-04-30T23:16:00Z,26.00,73.00
2026-04-30T23:36:00Z,29.00,73.00
2026-04-30T23:50:00Z,29.00,73.00
2026-05-01T00:28:00Z,29.00,73.00
2026-05-01T02:32:00Z,29.00,73.00
2026-05-01T02:48:00Z,29.00,74.00
2026-05-01T02:58:00Z,29.00,74.00
2026-05-01T03:24:00Z,29.00,74.00
2026-05-01T03:25:00Z,29.00,74.00
2026-05-01T03:44:00Z,29.00,73.00
2026-05-01T03:48:00Z,26.00,73.00
2026-05-01T04:13:00Z,29.00,73.00
2026-05-01T04:21:00Z,29.00,74.00
2026-05-01T04:22:00Z,29.00,74.00
2026-05-01T04:25:00Z,26.00,74.00
2026-05-01T04:27:00Z,26.00,74.00
2026-05-01T05:25:00Z,26.00,74.00
2026-05-01T05:28:00Z,26.00,74.00
2026-05-01T05:46:00Z,26.00,74.00
2026-05-01T06:05:00Z,29.00,74.00
2026-05-01T06:06:00Z,29.00,74.00
2026-05-01T06:25:00Z,28.00,74.00
2026-05-01T06:31:00Z,28.00,74.00
2026-05-01T06:56:00Z,28.00,74.00
2026-05-01T07:22:00Z,28.00,74.00
2026-05-01T07:56:00Z,28.00,74.00
2026-05-01T08:28:00Z,28.00,74.00
2026-05-01T08:32:00Z,28.00,74.00
2026-05-01T08:35:00Z,28.00,74.00
2026-05-01T08:44:00Z,28.00,74.00
2026-05-01T08:54:00Z,28.00,74.00
2026-05-01T08:55:00Z,28.00,74.00
2026-05-01T08:57:00Z,28.00,74.00
2026-05-01T08:58:00Z,29.00,74.00
2026-05-01T09:06:00Z,28.00,74.00
2026-05-01T09:18:00Z,28.00,74.00
2026-05-01T09:22:00Z,28.00,73.50
2026-05-01T09:23:00Z,28.00,74.00
2026-05-01T09:25:00Z,28.00,74.00
2026-05-01T09:26:00Z,28.70,74.00
2026-05-01T09:30:00Z,28.99,74.00
2026-05-01T09:36:00Z,28.00,74.00
2026-05-01T09:42:00Z,28.00,74.00
2026-05-01T09:45:00Z,28.00,74.00
2026-05-01T09:47:00Z,28.99,74.00
2026-05-01T09:53:00Z,28.00,74.00
2026-05-01T09:54:00Z,28.00,74.00
2026-05-01T09:55:00Z,28.00,73.00
2026-05-01T09:58:00Z,28.41,74.00
2026-05-01T09:59:00Z,29.00,72.53
2026-05-01T10:00:00Z,32.39,71.00
2026-05-01T10:01:00Z,34.76,71.00
2026-05-01T10:02:00Z,36.00,71.00
2026-05-01T10:03:00Z,36.00,72.00
2026-05-01T10:04:00Z,30.00,71.00
2026-05-01T10:06:00Z,27.49,72.05
2026-05-01T10:07:00Z,27.49,75.00
2026-05-01T10:08:00Z,20.00,75.00
2026-05-01T10:10:00Z,20.00,82.00
2026-05-01T10:11:00Z,20.00,84.00
2026-05-01T10:12:00Z,16.00,84.00
2026-05-01T10:13:00Z,15.00,86.04
2026-05-01T10:14:00Z,10.92,88.28
2026-05-01T10:15:00Z,13.34,86.00
2026-05-01T10:16:00Z,14.00,87.69
2026-05-01T10:17:00Z,14.00,88.60
2026-05-01T10:18:00Z,14.00,89.69
2026-05-01T10:19:00Z,10.04,89.69
2026-05-01T10:20:00Z,10.00,89.00
2026-05-01T10:21:00Z,10.00,90.00
2026-05-01T10:22:00Z,10.00,90.00
2026-05-01T10:23:00Z,10.00,90.00
2026-05-01T10:24:00Z,9.00,91.32
2026-05-01T10:25:00Z,8.00,93.00
2026-05-01T10:26:00Z,8.00,93.00
2026-05-01T10:27:00Z,7.91,92.00
2026-05-01T10:28:00Z,9.00,92.00
2026-05-01T10:29:00Z,9.00,92.00
2026-05-01T10:30:00Z,9.00,92.00
2026-05-01T10:31:00Z,9.00,92.00
2026-05-01T10:32:00Z,9.00,92.48
2026-05-01T10:33:00Z,9.00,92.43
2026-05-01T10:34:00Z,7.18,93.88
2026-05-01T10:35:00Z,7.00,93.55
2026-05-01T10:36:00Z,6.68,94.01
2026-05-01T10:37:00Z,5.00,95.87
2026-05-01T10:38:00Z,4.18,97.33
2026-05-01T10:39:00Z,4.00,97.76
2026-05-01T10:40:00Z,3.00,97.95
2026-05-01T10:41:00Z,3.00,97.00
2026-05-01T10:42:00Z,1.06,97.00
2026-05-01T10:43:00Z,2.00,97.00
2026-05-01T10:44:00Z,1.49,97.00
2026-05-01T10:45:00Z,1.98,98.00
2026-05-01T10:46:00Z,2.00,98.00
2026-05-01T10:47:00Z,3.00,99.00
2026-05-01T10:50:00Z,1.00,98.99
2026-05-01T10:51:00Z,1.00,99.00
2026-05-01T10:53:00Z,1.00,99.00
2026-05-01T10:55:00Z,1.00,99.00
2026-05-01T11:01:00Z,1.00,99.00
