# event_ticker=KXATPCHALLENGERMATCH-26MAY27NEUBOY
# final_score=6-2 6-3
# match_winner=Lukas Neumayer
# fav_player=Lukas Neumayer
# dog_player=Tristan Boyer
# kalshi_date=2026-05-27
timestamp,Lukas Neumayer,Tristan Boyer
2026-05-27T04:54:00Z,70.00,
2026-05-27T04:59:00Z,70.00,
2026-05-27T05:03:00Z,70.00,33.00
2026-05-27T05:05:00Z,70.00,33.45
2026-05-27T05:23:00Z,70.00,33.00
2026-05-27T05:30:00Z,70.00,33.00
2026-05-27T06:13:00Z,70.00,33.00
2026-05-27T06:44:00Z,67.00,33.00
2026-05-27T07:19:00Z,69.00,33.00
2026-05-27T09:10:00Z,69.00,33.00
2026-05-27T11:31:00Z,69.00,33.00
2026-05-27T13:36:00Z,69.00,33.00
2026-05-27T13:41:00Z,69.00,33.00
2026-05-27T14:06:00Z,69.00,33.00
2026-05-27T14:14:00Z,69.00,33.00
2026-05-27T14:19:00Z,69.00,33.00
2026-05-27T14:38:00Z,69.00,33.00
2026-05-27T14:49:00Z,69.00,33.00
2026-05-27T15:01:00Z,69.00,33.00
2026-05-27T15:21:00Z,69.00,33.00
2026-05-27T15:42:00Z,69.00,32.00
2026-05-27T15:48:00Z,69.00,32.00
2026-05-27T16:04:00Z,69.00,32.00
2026-05-27T16:11:00Z,69.00,32.00
2026-05-27T16:14:00Z,69.00,32.00
2026-05-27T16:18:00Z,69.00,32.00
2026-05-27T16:20:00Z,69.00,32.00
2026-05-27T16:23:00Z,69.00,33.00
2026-05-27T16:25:00Z,69.00,33.00
2026-05-27T16:31:00Z,69.00,33.93
2026-05-27T16:32:00Z,69.63,33.93
2026-05-27T16:37:00Z,70.00,33.93
2026-05-27T16:39:00Z,70.00,33.93
2026-05-27T16:40:00Z,69.90,30.00
2026-05-27T16:41:00Z,67.40,31.00
2026-05-27T16:42:00Z,73.41,26.15
2026-05-27T16:43:00Z,75.00,26.20
2026-05-27T16:44:00Z,73.00,28.33
2026-05-27T16:45:00Z,70.54,27.52
2026-05-27T16:46:00Z,68.11,30.84
2026-05-27T16:47:00Z,66.16,33.47
2026-05-27T16:48:00Z,64.66,34.36
2026-05-27T16:49:00Z,66.95,35.35
