# event_ticker=KXATPCHALLENGERMATCH-26MAR03CUEKOL
# final_score=7-6(2) 6-3
# score_resolution=6-7 3-6
# match_winner=Zdenek Kolar
# fav_player=Sean Cuenin
# dog_player=Zdenek Kolar
# kalshi_date=2026-03-03
timestamp,Sean Cuenin,Zdenek Kolar
2026-03-03T04:22:00Z,,62.00
2026-03-03T04:55:00Z,,62.00
2026-03-03T05:54:00Z,,62.00
2026-03-03T06:07:00Z,,59.00
2026-03-03T06:26:00Z,,62.00
2026-03-03T06:59:00Z,41.00,62.00
2026-03-03T07:17:00Z,41.00,62.00
2026-03-03T08:51:00Z,41.00,62.00
2026-03-03T09:05:00Z,41.00,62.00
2026-03-03T09:18:00Z,41.00,62.00
2026-03-03T10:26:00Z,41.00,62.33
2026-03-03T10:41:00Z,39.00,62.00
2026-03-03T11:01:00Z,37.00,63.00
2026-03-03T11:30:00Z,39.00,63.00
2026-03-03T11:32:00Z,39.00,63.00
2026-03-03T11:38:00Z,39.00,63.93
2026-03-03T11:40:00Z,39.00,62.00
2026-03-03T11:42:00Z,39.00,62.00
2026-03-03T11:43:00Z,39.00,62.00
2026-03-03T11:44:00Z,36.53,64.67
2026-03-03T11:45:00Z,36.98,66.95
2026-03-03T11:46:00Z,37.36,66.95
2026-03-03T11:47:00Z,33.18,66.95
2026-03-03T11:48:00Z,31.02,65.58
2026-03-03T11:49:00Z,35.00,65.58
2026-03-03T11:50:00Z,32.00,67.00
2026-03-03T11:51:00Z,38.00,68.19
2026-03-03T11:52:00Z,38.00,65.39
2026-03-03T11:53:00Z,32.13,69.89
2026-03-03T11:54:00Z,32.00,69.89
2026-03-03T11:55:00Z,33.00,67.00
2026-03-03T11:57:00Z,39.00,62.00
2026-03-03T11:58:00Z,39.00,64.90
2026-03-03T11:59:00Z,39.00,66.00
2026-03-03T12:00:00Z,33.04,66.00
2026-03-03T12:01:00Z,34.00,66.00
2026-03-03T12:02:00Z,34.00,73.00
2026-03-03T12:03:00Z,33.70,67.00
2026-03-03T12:04:00Z,33.70,68.28
2026-03-03T12:05:00Z,37.17,68.28
2026-03-03T12:06:00Z,38.00,68.28
2026-03-03T12:07:00Z,38.00,66.00
2026-03-03T12:08:00Z,38.00,62.18
2026-03-03T12:09:00Z,34.00,66.00
2026-03-03T12:10:00Z,34.37,67.00
2026-03-03T12:11:00Z,34.21,68.28
2026-03-03T12:12:00Z,36.00,68.28
2026-03-03T12:14:00Z,40.00,63.00
2026-03-03T12:15:00Z,39.00,63.00
2026-03-03T12:16:00Z,48.51,56.89
2026-03-03T12:17:00Z,49.86,52.16
2026-03-03T12:18:00Z,55.00,45.76
2026-03-03T12:19:00Z,56.22,45.36
2026-03-03T12:20:00Z,58.00,42.27
2026-03-03T12:21:00Z,58.00,45.00
2026-03-03T12:22:00Z,59.05,41.10
2026-03-03T12:23:00Z,62.94,37.81
2026-03-03T12:24:00Z,61.00,40.03
2026-03-03T12:25:00Z,61.86,40.63
2026-03-03T12:26:00Z,60.80,39.95
2026-03-03T12:27:00Z,64.56,38.51
2026-03-03T12:28:00Z,64.00,36.09
2026-03-03T12:29:00Z,62.61,38.68
2026-03-03T12:30:00Z,60.00,40.81
2026-03-03T12:31:00Z,55.84,46.76
2026-03-03T12:32:00Z,52.83,48.54
2026-03-03T12:33:00Z,56.82,44.95
2026-03-03T12:34:00Z,51.00,51.68
2026-03-03T12:35:00Z,43.48,57.52
2026-03-03T12:36:00Z,39.73,59.62
2026-03-03T12:37:00Z,41.00,60.20
2026-03-03T12:38:00Z,39.18,65.16
2026-03-03T12:39:00Z,35.43,63.76
2026-03-03T12:40:00Z,36.78,64.04
2026-03-03T12:41:00Z,35.80,64.04
2026-03-03T12:42:00Z,36.64,64.70
2026-03-03T12:43:00Z,34.97,67.63
2026-03-03T12:44:00Z,29.05,70.84
2026-03-03T12:45:00Z,32.88,67.22
2026-03-03T12:46:00Z,38.68,63.00
2026-03-03T12:47:00Z,41.21,60.00
2026-03-03T12:48:00Z,43.77,62.61
2026-03-03T12:49:00Z,35.63,64.77
2026-03-03T12:50:00Z,33.89,67.89
2026-03-03T12:51:00Z,36.56,64.21
