# event_ticker=KXATPMATCH-26FEB22TABBAR
# final_score=7-5 6-3
# match_winner=Alejandro Tabilo
# fav_player=Alejandro Tabilo
# dog_player=Marcelo Tomas Barrios Vera
# kalshi_date=2026-02-22
timestamp,Alejandro Tabilo,Marcelo Tomas Barrios Vera
2026-02-24T12:49:00Z,63.00,
2026-02-24T13:48:00Z,63.00,
2026-02-24T13:58:00Z,63.00,
2026-02-24T14:27:00Z,63.00,
2026-02-24T14:36:00Z,63.00,
2026-02-24T15:06:00Z,63.00,
2026-02-24T15:16:00Z,62.00,
2026-02-24T15:20:00Z,61.00,
2026-02-24T15:39:00Z,61.00,
2026-02-24T15:40:00Z,61.00,40.00
2026-02-24T15:43:00Z,61.00,40.00
2026-02-24T15:45:00Z,61.00,40.00
2026-02-24T15:48:00Z,61.00,40.00
2026-02-24T15:49:00Z,61.00,40.00
2026-02-24T15:54:00Z,61.00,40.00
2026-02-24T15:55:00Z,59.00,40.00
2026-02-24T15:56:00Z,59.00,40.00
2026-02-24T15:58:00Z,61.00,40.00
2026-02-24T16:17:00Z,61.00,40.00
2026-02-24T16:26:00Z,61.00,40.00
2026-02-24T16:34:00Z,61.00,40.00
2026-02-24T16:42:00Z,61.00,40.00
2026-02-24T17:02:00Z,61.00,40.00
2026-02-24T17:06:00Z,61.00,39.00
2026-02-24T17:50:00Z,61.00,39.00
2026-02-24T17:51:00Z,61.00,39.00
2026-02-24T17:58:00Z,61.00,39.00
2026-02-24T18:01:00Z,60.00,39.00
2026-02-24T18:07:00Z,61.00,39.00
2026-02-24T18:27:00Z,61.00,39.00
2026-02-24T18:29:00Z,61.00,39.00
2026-02-24T18:30:00Z,61.00,39.00
2026-02-24T18:39:00Z,61.00,39.00
2026-02-24T18:41:00Z,61.00,39.00
2026-02-24T18:45:00Z,61.00,39.00
2026-02-24T18:47:00Z,61.00,39.00
2026-02-24T19:02:00Z,61.00,39.00
2026-02-24T19:06:00Z,61.00,39.00
2026-02-24T19:07:00Z,61.00,39.00
2026-02-24T19:11:00Z,61.00,39.00
2026-02-24T19:22:00Z,61.00,39.00
2026-02-24T19:28:00Z,61.00,39.00
2026-02-24T19:30:00Z,61.00,39.00
2026-02-24T19:35:00Z,61.00,39.00
2026-02-24T19:45:00Z,61.00,39.00
2026-02-24T19:47:00Z,61.00,39.00
2026-02-24T19:51:00Z,62.00,39.00
2026-02-24T19:53:00Z,62.00,39.00
2026-02-24T19:55:00Z,62.00,39.00
2026-02-24T20:14:00Z,62.00,39.00
2026-02-24T20:16:00Z,62.00,39.00
2026-02-24T20:18:00Z,62.00,39.00
2026-02-24T20:19:00Z,61.00,39.00
2026-02-24T20:21:00Z,61.00,39.00
2026-02-24T20:22:00Z,61.00,40.00
2026-02-24T20:23:00Z,60.00,40.00
2026-02-24T20:27:00Z,61.00,40.00
2026-02-24T20:29:00Z,60.00,40.00
2026-02-24T20:32:00Z,60.00,40.00
2026-02-24T20:33:00Z,61.00,40.00
2026-02-24T20:41:00Z,61.00,40.00
2026-02-24T20:43:00Z,61.00,41.00
2026-02-24T20:48:00Z,61.00,41.00
2026-02-24T20:49:00Z,61.00,41.00
2026-02-24T20:53:00Z,59.74,41.00
2026-02-24T20:54:00Z,61.00,41.00
2026-02-24T20:56:00Z,61.47,41.00
2026-02-24T20:57:00Z,62.00,41.00
2026-02-24T20:59:00Z,60.00,41.00
2026-02-24T21:09:00Z,60.00,38.00
2026-02-24T21:10:00Z,61.96,38.00
2026-02-24T21:11:00Z,62.00,38.00
2026-02-24T21:14:00Z,62.00,38.00
2026-02-24T21:22:00Z,62.00,38.00
2026-02-24T21:34:00Z,62.00,38.00
2026-02-24T21:40:00Z,62.00,38.00
2026-02-24T21:42:00Z,62.00,38.00
2026-02-24T21:45:00Z,62.00,38.00
2026-02-24T21:46:00Z,62.00,38.00
2026-02-24T21:48:00Z,62.00,38.00
2026-02-24T21:49:00Z,62.00,38.00
2026-02-24T21:50:00Z,62.00,38.00
2026-02-24T21:53:00Z,62.00,38.00
2026-02-24T21:55:00Z,62.00,38.00
2026-02-24T22:00:00Z,62.00,39.00
2026-02-24T22:03:00Z,62.00,39.00
2026-02-24T22:06:00Z,62.00,39.00
