# event_ticker=KXATPCHALLENGERMATCH-26FEB23MARAGA
# final_score=7-6(2) 6-1
# score_resolution=6-7 1-6
# match_winner=Igor Marcondes
# fav_player=Franco Agamenone
# dog_player=Igor Marcondes
# kalshi_date=2026-02-23
timestamp,Franco Agamenone,Igor Marcondes
2026-02-23T04:59:00Z,33.00,
2026-02-23T10:48:00Z,37.00,
2026-02-23T11:44:00Z,37.00,65.00
2026-02-23T11:54:00Z,37.00,65.00
2026-02-23T12:23:00Z,37.00,65.02
2026-02-23T13:11:00Z,37.00,65.00
2026-02-23T13:15:00Z,37.00,65.00
2026-02-23T14:18:00Z,37.00,66.00
2026-02-23T14:31:00Z,37.00,65.70
2026-02-23T14:42:00Z,37.00,66.00
2026-02-23T14:44:00Z,37.00,62.40
2026-02-23T14:54:00Z,37.00,64.00
2026-02-23T15:00:00Z,37.00,64.00
2026-02-23T15:12:00Z,37.00,64.00
2026-02-23T15:23:00Z,37.00,64.00
2026-02-23T15:24:00Z,37.00,64.00
2026-02-23T15:28:00Z,37.00,64.00
2026-02-23T15:29:00Z,37.00,64.00
2026-02-23T15:34:00Z,37.00,64.00
2026-02-23T15:55:00Z,37.00,64.00
2026-02-23T16:04:00Z,37.00,64.00
2026-02-23T16:10:00Z,37.00,64.00
2026-02-23T16:16:00Z,37.00,64.00
2026-02-23T16:20:00Z,37.00,64.00
2026-02-23T16:23:00Z,37.00,64.00
2026-02-23T16:24:00Z,37.00,64.00
2026-02-23T16:25:00Z,37.00,64.00
2026-02-23T16:26:00Z,37.00,64.00
2026-02-23T16:27:00Z,37.00,64.00
2026-02-23T16:28:00Z,38.39,64.00
2026-02-23T16:29:00Z,39.00,64.00
2026-02-23T16:30:00Z,39.00,64.00
2026-02-23T16:31:00Z,36.88,64.00
2026-02-23T16:32:00Z,39.00,64.00
2026-02-23T16:33:00Z,42.00,65.00
2026-02-23T16:34:00Z,35.00,66.04
2026-02-23T16:35:00Z,34.05,67.58
2026-02-23T16:36:00Z,39.04,64.76
2026-02-23T16:37:00Z,45.88,58.05
2026-02-23T16:38:00Z,38.77,58.93
2026-02-23T16:39:00Z,47.97,63.14
2026-02-23T16:40:00Z,37.05,63.65
2026-02-23T16:41:00Z,36.82,64.08
2026-02-23T16:42:00Z,36.69,63.58
2026-02-23T16:43:00Z,32.00,69.36
2026-02-23T16:44:00Z,33.61,73.33
2026-02-23T16:45:00Z,31.42,70.05
2026-02-23T16:46:00Z,33.57,66.48
2026-02-23T16:47:00Z,36.46,66.65
2026-02-23T16:48:00Z,31.31,69.00
2026-02-23T16:49:00Z,29.77,68.00
2026-02-23T16:50:00Z,33.92,71.37
2026-02-23T16:51:00Z,36.33,65.43
2026-02-23T16:52:00Z,36.00,66.67
2026-02-23T16:53:00Z,33.00,65.60
2026-02-23T16:54:00Z,33.00,67.63
2026-02-23T16:55:00Z,33.19,68.00
2026-02-23T16:56:00Z,33.54,67.08
2026-02-23T16:57:00Z,34.93,66.28
2026-02-23T16:58:00Z,35.67,65.02
2026-02-23T16:59:00Z,39.68,63.55
2026-02-23T17:00:00Z,38.06,61.04
2026-02-23T17:01:00Z,35.80,67.15
2026-02-23T17:02:00Z,31.79,69.06
2026-02-23T17:03:00Z,31.70,68.90
2026-02-23T17:04:00Z,32.57,66.85
2026-02-23T17:05:00Z,39.43,66.27
2026-02-23T17:06:00Z,39.50,66.71
2026-02-23T17:07:00Z,37.10,64.75
2026-02-23T17:08:00Z,36.70,64.23
2026-02-23T17:09:00Z,37.73,66.72
2026-02-23T17:10:00Z,35.57,66.94
2026-02-23T17:11:00Z,34.00,65.00
2026-02-23T17:12:00Z,33.27,68.38
2026-02-23T17:13:00Z,24.99,77.89
2026-02-23T17:14:00Z,25.00,74.89
2026-02-23T17:15:00Z,25.59,77.20
2026-02-23T17:16:00Z,24.98,74.01
