# event_ticker=KXATPCHALLENGERMATCH-26MAY29BARFEL
# final_score=3-6 6-4 6-2
# match_winner=Kilian Feldbausch
# fav_player=Kilian Feldbausch
# dog_player=Hynek Barton
# kalshi_date=2026-05-29
timestamp,Hynek Barton,Kilian Feldbausch
2026-05-29T01:30:00Z,,50.00
2026-05-29T01:47:00Z,51.00,50.00
2026-05-29T02:54:00Z,51.00,50.00
2026-05-29T03:10:00Z,51.00,50.00
2026-05-29T03:31:00Z,51.00,50.00
2026-05-29T04:13:00Z,51.00,50.00
2026-05-29T05:21:00Z,51.00,50.00
2026-05-29T05:27:00Z,51.00,50.00
2026-05-29T05:28:00Z,51.00,50.00
2026-05-29T05:34:00Z,51.00,50.00
2026-05-29T05:41:00Z,51.00,50.00
2026-05-29T05:48:00Z,51.00,50.00
2026-05-29T06:10:00Z,51.00,50.00
2026-05-29T06:30:00Z,51.00,50.00
2026-05-29T06:42:00Z,51.00,50.00
2026-05-29T06:46:00Z,51.00,50.00
2026-05-29T06:52:00Z,51.00,50.00
2026-05-29T08:11:00Z,51.00,50.00
2026-05-29T08:21:00Z,51.56,50.00
2026-05-29T08:41:00Z,51.56,49.00
2026-05-29T09:06:00Z,51.56,49.00
2026-05-29T09:24:00Z,51.56,49.00
2026-05-29T10:17:00Z,51.00,49.00
2026-05-29T10:39:00Z,51.00,49.00
2026-05-29T10:55:00Z,51.00,49.90
2026-05-29T10:58:00Z,51.00,50.87
2026-05-29T11:03:00Z,51.00,51.24
2026-05-29T11:13:00Z,51.00,52.00
2026-05-29T11:14:00Z,51.24,52.00
2026-05-29T11:19:00Z,48.00,52.00
2026-05-29T11:20:00Z,53.42,51.78
2026-05-29T11:21:00Z,49.94,49.65
2026-05-29T11:22:00Z,50.20,49.65
2026-05-29T11:23:00Z,52.00,49.65
2026-05-29T11:24:00Z,53.00,49.65
2026-05-29T11:25:00Z,54.00,48.25
2026-05-29T11:26:00Z,55.66,50.71
