# event_ticker=KXATPCHALLENGERMATCH-26JUN03AZKDAL
# final_score=7-6(5) 6-2
# score_resolution=6-7 2-6
# match_winner=Arda Azkara
# fav_player=Guillaume Dalmasso
# dog_player=Arda Azkara
# kalshi_date=2026-06-03
timestamp,Arda Azkara,Guillaume Dalmasso
2026-06-02T20:47:00Z,68.00,
2026-06-02T21:21:00Z,68.00,
2026-06-02T21:24:00Z,68.00,34.00
2026-06-02T21:26:00Z,68.00,34.00
2026-06-02T21:28:00Z,68.00,34.00
2026-06-02T21:34:00Z,68.00,34.00
2026-06-02T21:35:00Z,68.00,34.00
2026-06-02T21:37:00Z,68.00,34.00
2026-06-02T21:38:00Z,68.00,34.00
2026-06-02T21:50:00Z,68.00,33.02
2026-06-02T21:52:00Z,68.00,33.02
2026-06-02T22:11:00Z,68.00,34.00
2026-06-02T22:21:00Z,68.00,34.00
2026-06-02T22:27:00Z,68.00,34.00
2026-06-02T22:28:00Z,68.00,34.00
2026-06-02T22:43:00Z,68.00,34.00
2026-06-02T23:03:00Z,66.00,34.00
2026-06-02T23:29:00Z,67.00,34.00
2026-06-03T00:00:00Z,67.00,34.00
2026-06-03T00:01:00Z,67.00,34.00
2026-06-03T00:03:00Z,67.00,34.00
2026-06-03T00:04:00Z,67.00,34.00
2026-06-03T00:24:00Z,67.00,33.00
2026-06-03T00:27:00Z,65.00,33.00
2026-06-03T00:33:00Z,65.22,33.00
2026-06-03T00:40:00Z,66.00,33.00
2026-06-03T00:47:00Z,66.00,33.00
2026-06-03T00:54:00Z,66.00,33.00
2026-06-03T01:24:00Z,66.00,33.00
2026-06-03T01:27:00Z,66.00,33.00
2026-06-03T01:32:00Z,66.00,33.00
2026-06-03T01:33:00Z,66.00,34.00
2026-06-03T01:37:00Z,66.00,34.00
2026-06-03T01:38:00Z,65.00,34.00
2026-06-03T01:52:00Z,65.00,35.00
2026-06-03T01:55:00Z,66.00,35.00
2026-06-03T02:02:00Z,65.00,35.00
2026-06-03T02:18:00Z,66.00,35.00
2026-06-03T02:23:00Z,65.00,35.00
