# event_ticker=KXATPCHALLENGERMATCH-26MAY12TORFAR
# final_score=6-3 6-4
# match_winner=Jaime Faria
# fav_player=Jaime Faria
# dog_player=Tiago Torres
# kalshi_date=2026-05-12
timestamp,Tiago Torres,Jaime Faria
2026-05-12T02:05:00Z,,80.00
2026-05-12T02:54:00Z,24.00,80.00
2026-05-12T03:59:00Z,22.00,80.00
2026-05-12T05:44:00Z,19.00,80.00
2026-05-12T07:50:00Z,19.00,83.00
2026-05-12T10:10:00Z,19.00,82.00
2026-05-12T11:38:00Z,19.00,82.00
2026-05-12T11:46:00Z,17.00,82.00
2026-05-12T12:06:00Z,17.00,83.00
2026-05-12T12:28:00Z,17.00,83.00
2026-05-12T12:32:00Z,18.00,83.00
2026-05-12T13:25:00Z,18.00,84.00
2026-05-12T13:26:00Z,18.00,84.00
2026-05-12T13:27:00Z,18.00,84.00
2026-05-12T13:28:00Z,18.31,84.00
2026-05-12T13:29:00Z,14.88,85.90
2026-05-12T13:30:00Z,17.48,81.82
2026-05-12T13:31:00Z,20.00,81.82
2026-05-12T13:32:00Z,20.00,80.07
2026-05-12T13:33:00Z,22.30,77.01
2026-05-12T13:34:00Z,19.46,81.00
2026-05-12T13:35:00Z,20.13,79.00
2026-05-12T13:36:00Z,20.33,79.00
2026-05-12T13:37:00Z,22.10,78.00
2026-05-12T13:38:00Z,22.00,78.69
2026-05-12T13:39:00Z,22.00,78.69
2026-05-12T13:41:00Z,20.00,81.00
2026-05-12T13:42:00Z,21.82,79.00
2026-05-12T13:43:00Z,20.34,79.00
2026-05-12T13:44:00Z,14.55,85.84
2026-05-12T13:45:00Z,12.00,88.04
2026-05-12T13:46:00Z,12.00,89.00
2026-05-12T13:47:00Z,12.44,88.00
2026-05-12T13:49:00Z,13.00,88.00
2026-05-12T13:50:00Z,12.38,88.00
2026-05-12T13:51:00Z,9.11,90.55
2026-05-12T13:52:00Z,8.41,91.67
2026-05-12T13:53:00Z,8.00,91.67
2026-05-12T13:54:00Z,9.00,93.00
2026-05-12T13:55:00Z,8.37,92.00
2026-05-12T13:56:00Z,10.00,90.00
2026-05-12T13:58:00Z,10.00,90.00
2026-05-12T13:59:00Z,10.00,90.00
2026-05-12T14:01:00Z,12.00,90.00
2026-05-12T14:04:00Z,11.21,88.67
2026-05-12T14:05:00Z,11.21,89.47
2026-05-12T14:06:00Z,9.00,91.14
2026-05-12T14:07:00Z,8.00,92.00
2026-05-12T14:08:00Z,7.00,93.25
2026-05-12T14:09:00Z,7.00,93.25
2026-05-12T14:11:00Z,5.04,94.00
2026-05-12T14:12:00Z,5.00,94.88
2026-05-12T14:14:00Z,5.00,94.71
2026-05-12T14:15:00Z,7.00,94.00
2026-05-12T14:16:00Z,7.00,93.62
2026-05-12T14:17:00Z,8.00,93.62
2026-05-12T14:18:00Z,8.01,92.73
2026-05-12T14:19:00Z,7.86,95.00
2026-05-12T14:20:00Z,7.86,95.00
2026-05-12T14:21:00Z,5.00,95.00
2026-05-12T14:22:00Z,5.00,95.52
2026-05-12T14:23:00Z,3.93,96.27
2026-05-12T14:24:00Z,2.00,98.00
2026-05-12T14:25:00Z,3.59,97.00
2026-05-12T14:26:00Z,6.47,96.00
2026-05-12T14:27:00Z,6.47,94.00
2026-05-12T14:28:00Z,5.76,96.50
2026-05-12T14:29:00Z,3.00,95.87
2026-05-12T14:30:00Z,3.00,97.01
2026-05-12T14:31:00Z,1.66,98.00
2026-05-12T14:32:00Z,2.00,99.00
2026-05-12T14:33:00Z,1.00,99.00
2026-05-12T14:34:00Z,2.00,99.00
2026-05-12T14:35:00Z,2.00,98.00
2026-05-12T14:36:00Z,2.45,97.69
2026-05-12T14:37:00Z,4.21,96.13
2026-05-12T14:38:00Z,2.71,97.37
2026-05-12T14:39:00Z,2.67,97.21
2026-05-12T14:40:00Z,3.86,98.97
2026-05-12T14:41:00Z,2.06,98.00
2026-05-12T14:42:00Z,4.83,96.41
2026-05-12T14:43:00Z,7.00,94.05
2026-05-12T14:44:00Z,8.00,93.76
2026-05-12T14:45:00Z,6.01,95.00
2026-05-12T14:46:00Z,9.67,92.58
2026-05-12T14:47:00Z,10.33,89.01
2026-05-12T14:48:00Z,11.00,90.76
2026-05-12T14:49:00Z,9.14,91.28
2026-05-12T14:50:00Z,8.00,93.00
2026-05-12T14:51:00Z,7.84,92.49
2026-05-12T14:52:00Z,5.12,95.00
2026-05-12T14:53:00Z,6.94,93.06
2026-05-12T14:54:00Z,5.44,93.76
2026-05-12T14:55:00Z,5.17,96.45
2026-05-12T14:56:00Z,1.21,98.92
2026-05-12T14:57:00Z,1.00,98.92
2026-05-12T14:58:00Z,1.00,99.00
2026-05-12T14:59:00Z,1.00,99.00
