# event_ticker=KXATPCHALLENGERMATCH-26FEB10ENGECH
# final_score=7-6(2) 6-4
# score_resolution=6-7 4-6
# match_winner=Moez Echargui
# fav_player=Justin Engel
# dog_player=Moez Echargui
# kalshi_date=2026-02-10
timestamp,Justin Engel,Moez Echargui
2026-02-10T04:31:00Z,,37.00
2026-02-10T05:21:00Z,,33.00
2026-02-10T06:31:00Z,63.00,33.00
2026-02-10T07:37:00Z,63.00,40.00
2026-02-10T08:35:00Z,63.21,40.00
2026-02-10T09:51:00Z,65.00,40.00
2026-02-10T10:58:00Z,65.00,40.00
2026-02-10T11:07:00Z,65.00,40.00
2026-02-10T12:00:00Z,65.00,40.00
2026-02-10T12:12:00Z,64.00,40.00
2026-02-10T12:16:00Z,64.00,38.00
2026-02-10T12:43:00Z,64.90,38.00
2026-02-10T12:53:00Z,65.00,38.00
2026-02-10T13:02:00Z,64.83,38.00
2026-02-10T13:34:00Z,64.83,38.00
2026-02-10T13:38:00Z,64.64,38.00
2026-02-10T13:59:00Z,64.89,38.00
2026-02-10T14:09:00Z,65.00,35.00
2026-02-10T14:15:00Z,65.00,38.00
2026-02-10T14:20:00Z,65.00,37.00
2026-02-10T14:23:00Z,65.50,37.00
2026-02-10T14:24:00Z,65.50,35.00
2026-02-10T14:34:00Z,64.00,35.00
2026-02-10T14:42:00Z,64.00,35.00
2026-02-10T14:44:00Z,64.00,35.00
2026-02-10T14:46:00Z,64.00,35.00
2026-02-10T14:49:00Z,64.00,35.00
2026-02-10T14:50:00Z,64.00,35.00
2026-02-10T14:52:00Z,64.58,35.00
2026-02-10T14:53:00Z,64.58,36.00
2026-02-10T15:01:00Z,64.58,37.00
2026-02-10T15:03:00Z,64.58,37.00
2026-02-10T15:04:00Z,66.00,37.00
2026-02-10T15:05:00Z,66.00,38.00
2026-02-10T15:06:00Z,64.00,36.00
2026-02-10T15:07:00Z,62.00,38.00
2026-02-10T15:08:00Z,61.00,42.00
2026-02-10T15:09:00Z,64.00,42.00
2026-02-10T15:10:00Z,63.82,40.00
2026-02-10T15:11:00Z,63.82,39.00
2026-02-10T15:12:00Z,67.00,34.00
2026-02-10T15:13:00Z,65.00,36.00
2026-02-10T15:14:00Z,67.00,30.16
2026-02-10T15:15:00Z,67.00,23.09
2026-02-10T15:16:00Z,78.00,26.72
2026-02-10T15:17:00Z,78.00,30.28
2026-02-10T15:18:00Z,75.40,28.00
2026-02-10T15:19:00Z,73.42,30.45
2026-02-10T15:20:00Z,78.00,23.36
2026-02-10T15:21:00Z,80.55,22.00
2026-02-10T15:22:00Z,79.00,22.77
2026-02-10T15:23:00Z,79.00,24.67
2026-02-10T15:24:00Z,77.00,25.00
2026-02-10T15:25:00Z,77.00,24.99
2026-02-10T15:26:00Z,69.00,32.96
2026-02-10T15:27:00Z,72.89,27.31
2026-02-10T15:28:00Z,75.99,28.59
2026-02-10T15:29:00Z,58.00,38.42
2026-02-10T15:30:00Z,58.00,42.00
2026-02-10T15:31:00Z,59.85,43.75
2026-02-10T15:32:00Z,56.00,45.35
2026-02-10T15:33:00Z,61.19,47.28
2026-02-10T15:34:00Z,54.00,46.33
2026-02-10T15:35:00Z,53.74,52.65
2026-02-10T15:36:00Z,39.80,58.66
2026-02-10T15:37:00Z,41.26,59.00
2026-02-10T15:38:00Z,47.94,51.03
2026-02-10T15:39:00Z,55.44,42.03
2026-02-10T15:40:00Z,55.44,47.16
2026-02-10T15:41:00Z,54.00,50.00
2026-02-10T15:42:00Z,54.00,51.00
2026-02-10T15:43:00Z,50.72,50.44
2026-02-10T15:44:00Z,50.40,53.70
2026-02-10T15:45:00Z,55.72,48.26
2026-02-10T15:46:00Z,57.84,45.51
2026-02-10T15:47:00Z,59.54,41.55
2026-02-10T15:48:00Z,55.34,46.85
2026-02-10T15:49:00Z,52.05,49.75
2026-02-10T15:50:00Z,52.00,50.00
2026-02-10T15:51:00Z,46.77,56.28
2026-02-10T15:52:00Z,43.49,56.39
2026-02-10T15:53:00Z,46.11,55.14
2026-02-10T15:54:00Z,50.58,47.18
2026-02-10T15:55:00Z,54.51,47.14
2026-02-10T15:56:00Z,59.58,37.39
2026-02-10T15:57:00Z,49.97,53.21
2026-02-10T15:58:00Z,38.56,57.17
2026-02-10T15:59:00Z,30.54,68.17
2026-02-10T16:00:00Z,30.35,72.70
2026-02-10T16:01:00Z,26.22,71.72
2026-02-10T16:02:00Z,29.51,72.52
2026-02-10T16:03:00Z,28.76,74.00
2026-02-10T16:04:00Z,31.19,71.95
2026-02-10T16:05:00Z,29.70,73.53
2026-02-10T16:06:00Z,28.82,72.40
2026-02-10T16:07:00Z,32.33,68.90
2026-02-10T16:08:00Z,32.43,69.10
2026-02-10T16:09:00Z,27.93,73.00
2026-02-10T16:10:00Z,30.01,72.21
2026-02-10T16:11:00Z,30.20,70.00
2026-02-10T16:12:00Z,31.37,69.00
2026-02-10T16:13:00Z,30.04,69.76
2026-02-10T16:14:00Z,33.82,70.00
2026-02-10T16:15:00Z,36.00,65.73
2026-02-10T16:16:00Z,35.98,65.01
2026-02-10T16:17:00Z,32.97,66.74
2026-02-10T16:18:00Z,30.54,72.00
2026-02-10T16:19:00Z,26.23,73.02
2026-02-10T16:20:00Z,25.00,75.41
2026-02-10T16:21:00Z,24.11,78.92
2026-02-10T16:22:00Z,27.70,68.08
2026-02-10T16:23:00Z,34.00,67.06
2026-02-10T16:24:00Z,29.96,70.40
2026-02-10T16:25:00Z,30.18,72.72
2026-02-10T16:26:00Z,34.76,68.06
2026-02-10T16:27:00Z,41.37,61.19
2026-02-10T16:28:00Z,37.51,63.02
2026-02-10T16:29:00Z,32.07,70.66
2026-02-10T16:30:00Z,30.92,70.63
2026-02-10T16:31:00Z,31.65,70.77
2026-02-10T16:32:00Z,34.06,67.86
2026-02-10T16:33:00Z,33.63,68.32
2026-02-10T16:34:00Z,32.70,71.31
2026-02-10T16:35:00Z,34.78,66.33
2026-02-10T16:36:00Z,35.45,67.00
2026-02-10T16:37:00Z,35.35,68.06
2026-02-10T16:38:00Z,29.68,71.03
2026-02-10T16:39:00Z,25.13,72.42
2026-02-10T16:40:00Z,18.45,82.14
2026-02-10T16:41:00Z,7.12,91.84
2026-02-10T16:42:00Z,6.25,95.50
2026-02-10T16:43:00Z,4.36,94.87
2026-02-10T16:44:00Z,2.19,98.90
2026-02-10T16:45:00Z,1.93,99.00
2026-02-10T16:46:00Z,1.02,98.93
2026-02-10T16:47:00Z,1.00,99.00
