# event_ticker=KXATPMATCH-25AUG08TIERIE
# final_score=6-3 6-4
# score_resolution=3-6 4-6
# match_winner=Learner Tien
# fav_player=Leandro Riedi
# dog_player=Learner Tien
# kalshi_date=2025-08-08
timestamp,Leandro Riedi,Learner Tien
2025-08-08T13:44:00Z,,71.00
2025-08-08T14:17:00Z,,70.00
2025-08-08T14:20:00Z,,70.00
2025-08-08T14:35:00Z,,70.00
2025-08-08T15:23:00Z,34.00,70.00
2025-08-08T15:54:00Z,34.00,70.00
2025-08-08T16:33:00Z,34.00,70.00
2025-08-08T16:34:00Z,34.00,70.00
2025-08-08T17:04:00Z,34.00,70.00
2025-08-08T17:06:00Z,34.00,69.00
2025-08-08T17:14:00Z,34.00,69.00
2025-08-08T17:18:00Z,34.00,68.00
2025-08-08T17:23:00Z,34.00,69.16
2025-08-08T18:17:00Z,32.00,69.16
2025-08-08T18:36:00Z,32.00,68.00
2025-08-08T19:16:00Z,32.00,68.00
2025-08-08T19:26:00Z,32.00,68.00
2025-08-08T19:53:00Z,32.00,68.00
2025-08-08T20:04:00Z,32.00,68.00
2025-08-08T20:24:00Z,32.00,68.00
2025-08-08T20:37:00Z,32.00,69.88
2025-08-08T21:08:00Z,32.00,70.00
2025-08-08T21:09:00Z,32.00,70.00
2025-08-08T21:18:00Z,32.00,70.00
2025-08-08T21:24:00Z,32.00,70.00
2025-08-08T21:26:00Z,32.00,70.00
2025-08-08T21:34:00Z,32.00,70.00
2025-08-08T21:35:00Z,32.00,70.00
2025-08-08T21:37:00Z,32.00,70.00
2025-08-08T21:38:00Z,32.00,70.00
2025-08-08T21:40:00Z,32.00,70.00
2025-08-08T21:56:00Z,32.00,70.00
2025-08-08T21:58:00Z,32.00,70.00
2025-08-08T22:04:00Z,32.00,70.00
2025-08-08T22:08:00Z,32.00,70.00
2025-08-08T22:16:00Z,32.00,70.00
2025-08-08T22:25:00Z,32.00,70.00
2025-08-08T22:33:00Z,32.00,70.00
2025-08-08T22:43:00Z,32.00,70.00
2025-08-08T22:47:00Z,32.00,70.00
2025-08-08T22:51:00Z,32.00,70.00
2025-08-08T22:55:00Z,32.00,70.00
2025-08-08T22:57:00Z,32.00,70.00
2025-08-08T22:58:00Z,32.00,70.00
2025-08-08T22:59:00Z,32.00,70.70
2025-08-08T23:00:00Z,32.00,71.00
2025-08-08T23:01:00Z,32.00,71.00
2025-08-08T23:02:00Z,32.00,72.83
2025-08-08T23:07:00Z,29.23,72.00
2025-08-08T23:08:00Z,29.23,71.67
2025-08-08T23:09:00Z,34.00,70.49
2025-08-08T23:10:00Z,32.06,73.78
2025-08-08T23:11:00Z,27.00,74.31
2025-08-08T23:14:00Z,25.67,76.58
2025-08-08T23:15:00Z,22.00,81.00
2025-08-08T23:16:00Z,22.00,77.44
2025-08-08T23:17:00Z,24.22,80.00
2025-08-08T23:19:00Z,30.00,70.58
