# event_ticker=KXATPCHALLENGERMATCH-26MAY14CINMON
# final_score=6-2 6-2
# match_winner=Inaki Montes-De La Torre
# fav_player=Inaki Montes-de la Torre
# dog_player=Federico Cina
# kalshi_date=2026-05-14
timestamp,Federico Cina,Inaki Montes-de la Torre
2026-05-14T00:44:00Z,51.00,
2026-05-14T00:49:00Z,51.00,
2026-05-14T01:41:00Z,51.00,
2026-05-14T02:01:00Z,51.00,51.00
2026-05-14T02:11:00Z,51.00,51.00
2026-05-14T02:16:00Z,51.00,51.00
2026-05-14T03:05:00Z,51.00,51.00
2026-05-14T03:13:00Z,51.00,51.00
2026-05-14T03:31:00Z,51.00,51.00
2026-05-14T03:55:00Z,51.00,51.00
2026-05-14T04:05:00Z,51.00,51.00
2026-05-14T04:49:00Z,51.00,49.04
2026-05-14T04:50:00Z,51.00,49.04
2026-05-14T04:52:00Z,51.00,49.04
2026-05-14T04:54:00Z,51.00,50.00
2026-05-14T05:34:00Z,50.00,50.00
2026-05-14T05:39:00Z,50.58,50.00
2026-05-14T05:44:00Z,50.58,49.00
2026-05-14T06:00:00Z,50.58,50.00
2026-05-14T06:34:00Z,50.58,51.00
2026-05-14T06:37:00Z,51.00,51.00
2026-05-14T09:02:00Z,51.00,51.00
2026-05-14T10:00:00Z,51.00,51.00
2026-05-14T10:04:00Z,51.00,50.13
2026-05-14T10:06:00Z,51.00,50.13
2026-05-14T10:13:00Z,51.00,50.13
2026-05-14T10:48:00Z,51.00,51.00
2026-05-14T10:55:00Z,51.00,51.03
2026-05-14T11:02:00Z,51.00,51.00
2026-05-14T11:04:00Z,51.00,51.00
2026-05-14T11:06:00Z,51.00,51.00
2026-05-14T11:08:00Z,51.00,51.00
2026-05-14T11:21:00Z,53.00,51.00
2026-05-14T11:23:00Z,53.00,50.00
2026-05-14T11:24:00Z,53.00,50.00
2026-05-14T11:29:00Z,52.00,50.00
2026-05-14T11:30:00Z,52.00,50.00
2026-05-14T11:31:00Z,53.00,50.00
2026-05-14T11:36:00Z,55.01,50.00
2026-05-14T11:37:00Z,48.96,53.93
2026-05-14T11:38:00Z,45.00,53.93
2026-05-14T11:39:00Z,43.59,53.93
2026-05-14T11:40:00Z,44.68,57.60
2026-05-14T11:41:00Z,43.68,57.60
2026-05-14T11:42:00Z,46.86,54.00
2026-05-14T11:43:00Z,48.00,50.12
2026-05-14T11:44:00Z,48.00,54.85
2026-05-14T11:46:00Z,43.00,54.85
2026-05-14T11:47:00Z,43.00,59.00
2026-05-14T11:48:00Z,42.00,61.00
2026-05-14T11:49:00Z,42.00,57.00
2026-05-14T11:50:00Z,42.00,60.00
2026-05-14T11:51:00Z,42.00,59.00
2026-05-14T11:52:00Z,42.00,54.00
2026-05-14T11:54:00Z,42.00,58.88
2026-05-14T11:55:00Z,42.00,61.00
2026-05-14T11:56:00Z,40.00,61.00
2026-05-14T11:57:00Z,37.00,61.00
2026-05-14T11:58:00Z,37.00,60.00
2026-05-14T11:59:00Z,36.00,65.21
2026-05-14T12:00:00Z,30.00,70.03
2026-05-14T12:01:00Z,29.92,70.98
2026-05-14T12:03:00Z,32.43,63.00
2026-05-14T12:04:00Z,34.00,63.00
2026-05-14T12:05:00Z,32.00,67.98
2026-05-14T12:06:00Z,28.86,72.88
2026-05-14T12:09:00Z,28.86,78.99
2026-05-14T12:11:00Z,18.05,81.00
2026-05-14T12:12:00Z,18.00,82.00
2026-05-14T12:14:00Z,18.00,82.00
2026-05-14T12:15:00Z,18.00,82.00
2026-05-14T12:16:00Z,18.00,80.00
2026-05-14T12:17:00Z,22.00,78.64
2026-05-14T12:18:00Z,21.24,78.01
2026-05-14T12:19:00Z,20.15,79.49
2026-05-14T12:20:00Z,20.15,83.78
2026-05-14T12:21:00Z,14.97,85.00
2026-05-14T12:22:00Z,14.97,87.18
2026-05-14T12:23:00Z,11.88,89.23
2026-05-14T12:24:00Z,10.24,90.73
2026-05-14T12:25:00Z,13.33,91.55
2026-05-14T12:26:00Z,7.83,94.99
2026-05-14T12:28:00Z,9.96,93.00
2026-05-14T12:29:00Z,5.94,94.74
2026-05-14T12:30:00Z,8.00,93.03
2026-05-14T12:31:00Z,7.49,93.22
2026-05-14T12:32:00Z,6.00,93.22
2026-05-14T12:33:00Z,5.62,93.22
2026-05-14T12:34:00Z,5.62,94.00
2026-05-14T12:35:00Z,7.00,94.00
2026-05-14T12:36:00Z,9.80,90.01
2026-05-14T12:37:00Z,7.84,92.71
2026-05-14T12:38:00Z,5.00,92.71
2026-05-14T12:39:00Z,6.00,94.25
2026-05-14T12:40:00Z,4.00,96.00
2026-05-14T12:41:00Z,4.00,95.12
2026-05-14T12:42:00Z,3.00,96.00
2026-05-14T12:43:00Z,5.98,94.00
2026-05-14T12:44:00Z,5.14,93.29
2026-05-14T12:45:00Z,10.00,91.00
2026-05-14T12:46:00Z,10.00,92.00
2026-05-14T12:47:00Z,8.34,93.73
2026-05-14T12:48:00Z,8.01,94.16
2026-05-14T12:49:00Z,6.98,94.81
2026-05-14T12:50:00Z,7.20,94.75
2026-05-14T12:51:00Z,7.60,94.91
2026-05-14T12:52:00Z,6.66,93.44
2026-05-14T12:53:00Z,8.07,94.01
2026-05-14T12:54:00Z,8.83,92.01
2026-05-14T12:55:00Z,11.73,91.34
2026-05-14T12:56:00Z,9.54,91.01
2026-05-14T12:57:00Z,6.94,92.22
2026-05-14T12:58:00Z,12.45,91.84
2026-05-14T12:59:00Z,8.99,91.55
2026-05-14T13:00:00Z,3.15,95.70
2026-05-14T13:01:00Z,3.00,97.00
2026-05-14T13:02:00Z,2.00,97.00
2026-05-14T13:03:00Z,2.18,98.17
2026-05-14T13:04:00Z,3.00,97.13
2026-05-14T13:05:00Z,2.50,99.00
2026-05-14T13:06:00Z,2.49,97.00
2026-05-14T13:07:00Z,1.43,97.36
2026-05-14T13:08:00Z,3.33,97.00
2026-05-14T13:09:00Z,3.98,97.00
2026-05-14T13:11:00Z,3.00,97.00
2026-05-14T13:12:00Z,2.00,98.00
2026-05-14T13:13:00Z,4.00,97.00
2026-05-14T13:14:00Z,3.00,97.67
2026-05-14T13:15:00Z,2.01,98.10
2026-05-14T13:16:00Z,3.86,97.88
2026-05-14T13:17:00Z,3.44,97.09
2026-05-14T13:18:00Z,2.20,98.01
2026-05-14T13:19:00Z,2.00,98.94
2026-05-14T13:20:00Z,3.03,97.73
2026-05-14T13:21:00Z,3.00,98.08
2026-05-14T13:22:00Z,3.18,97.96
2026-05-14T13:23:00Z,2.35,97.40
2026-05-14T13:24:00Z,1.42,99.00
2026-05-14T13:25:00Z,1.00,99.00
2026-05-14T13:27:00Z,1.00,99.00
2026-05-14T13:28:00Z,1.00,99.00
2026-05-14T13:29:00Z,1.00,99.00
