# event_ticker=KXATPMATCH-26MAY27KOKCAR
# final_score=7-5 4-6 1-0 RET
# match_winner=Pablo Carreno Busta
# fav_player=Pablo Carreno Busta
# dog_player=Thanasi Kokkinakis
# kalshi_date=2026-05-27
timestamp,Thanasi Kokkinakis,Pablo Carreno Busta
2026-05-27T01:59:00Z,30.00,
2026-05-27T02:10:00Z,30.00,
2026-05-27T02:14:00Z,30.00,
2026-05-27T02:16:00Z,30.00,
2026-05-27T02:28:00Z,30.00,
2026-05-27T02:32:00Z,30.00,71.00
2026-05-27T02:33:00Z,30.00,71.00
2026-05-27T02:35:00Z,30.00,71.00
2026-05-27T02:56:00Z,30.00,70.00
2026-05-27T02:57:00Z,30.00,71.00
2026-05-27T03:09:00Z,30.00,71.00
2026-05-27T03:10:00Z,30.00,71.00
2026-05-27T03:14:00Z,30.00,71.00
2026-05-27T03:15:00Z,30.00,71.00
2026-05-27T03:16:00Z,30.00,71.00
2026-05-27T03:17:00Z,30.00,71.00
2026-05-27T03:21:00Z,30.00,71.00
2026-05-27T03:22:00Z,30.00,71.00
2026-05-27T03:23:00Z,30.00,71.00
2026-05-27T03:24:00Z,30.00,71.00
2026-05-27T03:25:00Z,30.00,71.00
2026-05-27T03:28:00Z,30.00,71.00
2026-05-27T03:31:00Z,30.00,71.00
2026-05-27T03:34:00Z,30.00,71.00
2026-05-27T03:37:00Z,30.00,71.00
2026-05-27T03:41:00Z,30.00,71.00
2026-05-27T03:43:00Z,30.00,71.00
2026-05-27T03:48:00Z,30.00,70.00
2026-05-27T03:50:00Z,30.00,71.00
2026-05-27T03:54:00Z,30.00,71.00
2026-05-27T03:56:00Z,30.00,71.00
2026-05-27T03:57:00Z,30.00,71.00
2026-05-27T03:58:00Z,30.00,71.00
2026-05-27T04:02:00Z,30.00,71.00
2026-05-27T04:03:00Z,30.00,71.00
2026-05-27T04:05:00Z,30.00,71.00
2026-05-27T04:07:00Z,30.00,71.00
2026-05-27T04:09:00Z,30.00,71.00
2026-05-27T04:14:00Z,30.00,71.00
2026-05-27T04:15:00Z,30.00,71.00
2026-05-27T04:18:00Z,30.00,71.00
2026-05-27T04:19:00Z,30.00,71.00
2026-05-27T04:20:00Z,30.00,71.00
2026-05-27T04:22:00Z,30.00,71.00
2026-05-27T04:27:00Z,30.00,71.00
2026-05-27T04:30:00Z,30.00,71.00
2026-05-27T04:32:00Z,30.00,71.00
