# event_ticker=KXATPCHALLENGERMATCH-26FEB12HASMOR
# final_score=6-1 6-4
# match_winner=Alejandro Moro Canas
# fav_player=Alejandro Moro Canas
# dog_player=Benjamin Hassan
# kalshi_date=2026-02-12
timestamp,Alejandro Moro Canas,Benjamin Hassan
2026-02-12T02:22:00Z,65.00,
2026-02-12T03:17:00Z,65.00,
2026-02-12T03:56:00Z,65.00,
2026-02-12T04:26:00Z,65.00,
2026-02-12T04:43:00Z,65.00,38.00
2026-02-12T04:45:00Z,64.00,38.00
2026-02-12T04:47:00Z,64.00,38.00
2026-02-12T04:50:00Z,65.00,38.00
2026-02-12T04:56:00Z,65.00,38.00
2026-02-12T04:58:00Z,65.00,38.00
2026-02-12T05:00:00Z,65.00,38.00
2026-02-12T05:05:00Z,65.00,38.00
2026-02-12T05:23:00Z,65.00,38.00
2026-02-12T05:32:00Z,64.00,38.00
2026-02-12T05:34:00Z,65.00,38.00
2026-02-12T05:38:00Z,65.00,38.00
2026-02-12T05:42:00Z,65.00,38.00
2026-02-12T05:55:00Z,64.97,38.00
2026-02-12T05:56:00Z,65.00,38.00
2026-02-12T05:59:00Z,65.00,38.00
2026-02-12T06:13:00Z,64.44,38.00
2026-02-12T06:24:00Z,65.00,38.00
2026-02-12T06:27:00Z,64.00,38.00
2026-02-12T06:28:00Z,64.00,38.00
2026-02-12T06:30:00Z,64.71,38.00
2026-02-12T06:46:00Z,64.71,38.00
2026-02-12T06:56:00Z,64.64,38.00
2026-02-12T06:58:00Z,65.00,38.00
2026-02-12T07:00:00Z,65.00,38.00
2026-02-12T07:07:00Z,65.00,38.00
2026-02-12T07:08:00Z,65.00,38.00
2026-02-12T07:10:00Z,65.00,38.00
2026-02-12T07:11:00Z,64.89,38.00
2026-02-12T07:15:00Z,64.09,38.00
2026-02-12T07:22:00Z,64.00,38.00
2026-02-12T07:31:00Z,64.00,38.22
2026-02-12T07:32:00Z,63.00,38.22
2026-02-12T07:33:00Z,63.80,38.22
2026-02-12T07:35:00Z,63.80,39.00
2026-02-12T07:40:00Z,64.00,39.00
2026-02-12T07:45:00Z,64.00,38.00
2026-02-12T07:47:00Z,63.75,38.00
2026-02-12T07:58:00Z,64.00,38.00
2026-02-12T10:01:00Z,64.00,37.00
2026-02-12T10:06:00Z,64.00,37.00
2026-02-12T10:08:00Z,64.00,37.00
2026-02-12T10:09:00Z,64.00,37.00
2026-02-12T10:10:00Z,64.00,37.00
2026-02-12T10:13:00Z,64.00,37.00
2026-02-12T10:15:00Z,64.00,37.21
2026-02-12T10:21:00Z,64.00,37.21
2026-02-12T10:26:00Z,64.00,37.21
2026-02-12T10:32:00Z,64.05,37.21
2026-02-12T10:33:00Z,65.00,37.21
2026-02-12T10:36:00Z,65.00,37.21
2026-02-12T10:38:00Z,65.00,38.00
2026-02-12T10:46:00Z,65.00,38.00
2026-02-12T10:47:00Z,65.00,38.00
2026-02-12T10:51:00Z,65.00,38.00
2026-02-12T10:52:00Z,65.00,38.00
2026-02-12T10:54:00Z,65.00,38.00
2026-02-12T10:55:00Z,65.00,38.00
2026-02-12T10:57:00Z,65.00,39.00
2026-02-12T10:59:00Z,64.00,39.00
2026-02-12T11:00:00Z,64.70,39.00
2026-02-12T11:03:00Z,65.00,39.00
2026-02-12T11:07:00Z,65.00,35.00
2026-02-12T11:09:00Z,65.00,35.00
2026-02-12T11:10:00Z,62.00,36.00
2026-02-12T11:11:00Z,64.00,42.00
2026-02-12T11:12:00Z,59.00,45.57
2026-02-12T11:13:00Z,63.00,33.00
2026-02-12T11:14:00Z,67.18,32.03
2026-02-12T11:15:00Z,69.67,34.37
2026-02-12T11:16:00Z,67.00,32.17
2026-02-12T11:17:00Z,67.00,32.17
2026-02-12T11:18:00Z,66.96,32.17
2026-02-12T11:19:00Z,67.00,36.06
2026-02-12T11:20:00Z,69.00,34.98
2026-02-12T11:21:00Z,70.00,31.94
2026-02-12T11:22:00Z,74.00,31.94
2026-02-12T11:23:00Z,76.78,24.64
2026-02-12T11:24:00Z,80.95,22.79
2026-02-12T11:25:00Z,81.00,17.18
2026-02-12T11:26:00Z,86.00,16.01
2026-02-12T11:27:00Z,82.00,16.01
2026-02-12T11:28:00Z,86.00,16.00
2026-02-12T11:29:00Z,86.00,15.00
2026-02-12T11:30:00Z,86.00,15.97
2026-02-12T11:31:00Z,87.00,16.00
2026-02-12T11:32:00Z,87.01,13.78
2026-02-12T11:33:00Z,88.30,13.00
2026-02-12T11:34:00Z,88.30,11.00
2026-02-12T11:35:00Z,90.48,11.67
2026-02-12T11:36:00Z,91.00,11.67
2026-02-12T11:37:00Z,91.00,11.00
2026-02-12T11:38:00Z,91.00,11.00
2026-02-12T11:39:00Z,89.00,11.46
2026-02-12T11:40:00Z,89.98,8.19
2026-02-12T11:41:00Z,90.00,12.00
2026-02-12T11:42:00Z,87.02,14.40
2026-02-12T11:43:00Z,87.02,13.00
2026-02-12T11:44:00Z,88.03,11.97
2026-02-12T11:45:00Z,89.85,11.88
2026-02-12T11:46:00Z,89.71,13.00
2026-02-12T11:47:00Z,85.00,13.32
2026-02-12T11:48:00Z,85.00,14.00
2026-02-12T11:49:00Z,85.00,14.00
2026-02-12T11:50:00Z,82.25,15.75
2026-02-12T11:51:00Z,85.97,15.24
2026-02-12T11:52:00Z,87.77,13.50
2026-02-12T11:53:00Z,88.92,13.75
2026-02-12T11:54:00Z,88.38,13.19
2026-02-12T11:55:00Z,89.82,12.11
2026-02-12T11:56:00Z,89.82,14.87
2026-02-12T11:57:00Z,89.82,15.00
2026-02-12T11:58:00Z,83.36,17.00
2026-02-12T11:59:00Z,85.55,17.08
2026-02-12T12:00:00Z,82.73,18.74
2026-02-12T12:01:00Z,82.48,20.73
2026-02-12T12:02:00Z,80.10,21.56
2026-02-12T12:03:00Z,82.29,18.18
2026-02-12T12:04:00Z,87.08,15.34
2026-02-12T12:05:00Z,89.32,11.51
2026-02-12T12:06:00Z,90.12,11.97
2026-02-12T12:07:00Z,94.44,5.56
2026-02-12T12:08:00Z,97.00,4.10
2026-02-12T12:09:00Z,97.65,6.44
2026-02-12T12:10:00Z,94.91,6.71
2026-02-12T12:11:00Z,93.88,6.58
2026-02-12T12:12:00Z,95.70,3.71
2026-02-12T12:13:00Z,95.47,3.82
2026-02-12T12:14:00Z,98.09,2.69
2026-02-12T12:15:00Z,98.04,3.05
2026-02-12T12:16:00Z,97.27,5.09
2026-02-12T12:17:00Z,98.25,2.87
2026-02-12T12:18:00Z,97.53,4.30
2026-02-12T12:19:00Z,96.03,2.28
2026-02-12T12:20:00Z,98.00,2.14
2026-02-12T12:21:00Z,97.60,2.99
2026-02-12T12:22:00Z,94.25,7.91
2026-02-12T12:23:00Z,95.13,4.83
2026-02-12T12:24:00Z,98.68,4.10
2026-02-12T12:25:00Z,97.92,3.53
2026-02-12T12:26:00Z,97.99,1.01
2026-02-12T12:27:00Z,99.00,1.01
2026-02-12T12:28:00Z,99.00,1.01
2026-02-12T12:32:00Z,99.00,1.01
