# event_ticker=KXATPCHALLENGERMATCH-26APR28PAVSAC
# final_score=6-4 2-6 6-4
# score_resolution=4-6 6-2 4-6
# match_winner=Vitaliy Sachko
# fav_player=Luka Pavlovic
# dog_player=Vitaliy Sachko
# kalshi_date=2026-04-28
timestamp,Luka Pavlovic,Vitaliy Sachko
2026-04-28T00:38:00Z,42.00,
2026-04-28T01:55:00Z,39.00,
2026-04-28T02:07:00Z,39.00,
2026-04-28T05:00:00Z,39.00,
2026-04-28T06:20:00Z,39.00,60.00
2026-04-28T10:16:00Z,39.00,60.00
2026-04-28T12:01:00Z,34.86,64.77
2026-04-28T12:03:00Z,29.70,70.60
2026-04-28T12:04:00Z,28.00,73.00
2026-04-28T12:05:00Z,28.00,72.00
2026-04-28T12:06:00Z,35.00,65.00
2026-04-28T12:07:00Z,36.00,64.00
2026-04-28T12:08:00Z,35.05,64.00
2026-04-28T12:09:00Z,38.24,63.00
2026-04-28T12:11:00Z,38.24,58.00
2026-04-28T12:12:00Z,30.00,69.68
2026-04-28T12:13:00Z,30.00,73.00
2026-04-28T12:15:00Z,27.00,73.00
2026-04-28T12:16:00Z,29.00,70.00
2026-04-28T12:17:00Z,33.94,66.03
2026-04-28T12:18:00Z,31.19,67.97
2026-04-28T12:19:00Z,32.66,67.97
2026-04-28T12:20:00Z,32.66,72.98
2026-04-28T12:21:00Z,32.66,73.15
2026-04-28T12:22:00Z,23.67,77.37
2026-04-28T12:23:00Z,23.17,77.03
2026-04-28T12:24:00Z,27.00,75.00
2026-04-28T12:26:00Z,28.00,73.30
2026-04-28T12:27:00Z,29.10,73.74
2026-04-28T12:28:00Z,33.00,71.03
2026-04-28T12:29:00Z,33.00,77.00
2026-04-28T12:30:00Z,24.00,76.00
2026-04-28T12:32:00Z,27.00,74.00
2026-04-28T12:33:00Z,27.00,74.00
2026-04-28T12:34:00Z,28.00,71.03
2026-04-28T12:36:00Z,22.00,78.00
2026-04-28T12:37:00Z,26.00,75.00
2026-04-28T12:38:00Z,26.00,75.00
2026-04-28T12:39:00Z,32.68,75.00
2026-04-28T12:40:00Z,35.58,64.62
2026-04-28T12:41:00Z,32.22,67.89
2026-04-28T12:42:00Z,30.87,68.73
2026-04-28T12:43:00Z,31.33,66.96
2026-04-28T12:44:00Z,26.00,75.27
2026-04-28T12:45:00Z,22.00,77.78
2026-04-28T12:46:00Z,22.00,77.00
2026-04-28T12:47:00Z,22.00,77.00
2026-04-28T12:49:00Z,24.82,75.12
2026-04-28T12:50:00Z,24.82,75.00
2026-04-28T12:51:00Z,25.83,74.20
2026-04-28T12:52:00Z,27.00,74.00
2026-04-28T12:53:00Z,26.00,75.00
2026-04-28T12:54:00Z,25.70,76.00
2026-04-28T12:55:00Z,25.70,76.00
2026-04-28T12:56:00Z,26.00,76.00
2026-04-28T12:58:00Z,26.00,70.14
2026-04-28T12:59:00Z,28.90,72.93
2026-04-28T13:00:00Z,30.50,72.93
2026-04-28T13:01:00Z,34.19,66.18
2026-04-28T13:02:00Z,34.71,65.19
2026-04-28T13:03:00Z,26.18,65.19
2026-04-28T13:04:00Z,26.18,71.50
2026-04-28T13:05:00Z,26.00,73.09
2026-04-28T13:06:00Z,26.00,72.00
2026-04-28T13:07:00Z,29.00,69.65
2026-04-28T13:08:00Z,31.00,69.65
2026-04-28T13:09:00Z,31.00,70.00
2026-04-28T13:10:00Z,33.00,65.80
2026-04-28T13:11:00Z,38.90,65.80
2026-04-28T13:12:00Z,38.36,63.40
2026-04-28T13:13:00Z,42.74,55.35
2026-04-28T13:14:00Z,47.99,50.43
2026-04-28T13:15:00Z,49.28,50.06
2026-04-28T13:16:00Z,49.51,52.23
2026-04-28T13:17:00Z,49.03,52.94
2026-04-28T13:18:00Z,45.00,56.33
2026-04-28T13:19:00Z,48.56,54.09
2026-04-28T13:20:00Z,48.56,51.00
2026-04-28T13:21:00Z,51.00,51.00
2026-04-28T13:22:00Z,51.04,50.00
2026-04-28T13:23:00Z,51.04,46.55
2026-04-28T13:24:00Z,53.55,45.03
