# event_ticker=KXATPMATCH-26JAN13FUCSHE
# final_score=6-3 7-6(6)
# score_resolution=6-3 7-6
# match_winner=Alexander Shevchenko
# fav_player=Alexander Shevchenko
# dog_player=Marton Fucsovics
# kalshi_date=2026-01-13
timestamp,Alexander Shevchenko,Marton Fucsovics
2026-01-13T17:10:00Z,37.00,
2026-01-13T19:39:00Z,36.00,
2026-01-13T21:08:00Z,37.00,
2026-01-13T22:14:00Z,37.00,65.00
2026-01-13T22:16:00Z,37.00,65.00
2026-01-13T22:17:00Z,37.00,63.00
2026-01-13T22:23:00Z,37.00,65.00
2026-01-13T23:51:00Z,37.00,65.10
2026-01-14T00:06:00Z,37.00,66.00
2026-01-14T01:53:00Z,38.00,66.00
2026-01-14T02:12:00Z,38.00,66.00
2026-01-14T02:15:00Z,38.00,66.00
2026-01-14T03:29:00Z,38.00,64.00
2026-01-14T03:36:00Z,38.00,64.00
2026-01-14T03:40:00Z,38.00,64.00
2026-01-14T03:43:00Z,36.00,64.00
2026-01-14T03:54:00Z,39.00,64.00
2026-01-14T04:06:00Z,39.00,64.00
2026-01-14T04:09:00Z,38.19,64.00
2026-01-14T04:10:00Z,39.00,64.00
2026-01-14T04:20:00Z,39.00,64.00
2026-01-14T04:25:00Z,36.23,64.00
2026-01-14T04:26:00Z,37.00,64.00
2026-01-14T04:27:00Z,37.00,64.38
2026-01-14T04:29:00Z,37.00,64.00
2026-01-14T04:34:00Z,37.00,64.00
2026-01-14T04:35:00Z,37.00,64.00
2026-01-14T04:36:00Z,38.00,64.00
2026-01-14T04:38:00Z,39.00,64.00
2026-01-14T04:39:00Z,41.00,63.06
2026-01-14T04:40:00Z,42.65,63.06
2026-01-14T04:41:00Z,44.29,59.00
2026-01-14T04:42:00Z,44.29,60.74
2026-01-14T04:43:00Z,44.29,63.00
2026-01-14T04:45:00Z,43.00,63.00
2026-01-14T04:46:00Z,43.00,59.00
2026-01-14T04:48:00Z,43.00,61.20
2026-01-14T04:49:00Z,45.81,59.00
2026-01-14T04:50:00Z,47.00,55.63
2026-01-14T04:51:00Z,50.00,52.98
2026-01-14T04:52:00Z,47.70,56.32
2026-01-14T04:53:00Z,44.08,68.10
2026-01-14T04:55:00Z,48.65,51.00
2026-01-14T04:56:00Z,48.65,49.83
2026-01-14T04:58:00Z,56.73,43.00
2026-01-14T04:59:00Z,56.23,43.00
2026-01-14T05:01:00Z,63.03,43.00
2026-01-14T05:02:00Z,63.00,43.00
2026-01-14T05:03:00Z,63.78,43.00
2026-01-14T05:04:00Z,62.00,39.75
2026-01-14T05:05:00Z,61.74,39.65
2026-01-14T05:06:00Z,67.61,39.65
2026-01-14T05:07:00Z,67.33,35.00
2026-01-14T05:08:00Z,67.85,35.00
2026-01-14T05:09:00Z,69.00,34.00
2026-01-14T05:10:00Z,70.00,33.22
2026-01-14T05:11:00Z,71.00,31.00
2026-01-14T05:12:00Z,74.00,29.26
2026-01-14T05:13:00Z,67.69,31.69
2026-01-14T05:14:00Z,71.33,30.00
2026-01-14T05:15:00Z,69.00,34.00
2026-01-14T05:16:00Z,67.00,35.25
2026-01-14T05:17:00Z,73.94,30.93
2026-01-14T05:18:00Z,72.00,30.00
2026-01-14T05:19:00Z,72.00,29.00
2026-01-14T05:20:00Z,72.00,28.01
2026-01-14T05:21:00Z,76.59,26.00
2026-01-14T05:22:00Z,74.00,26.00
2026-01-14T05:23:00Z,73.78,29.36
2026-01-14T05:24:00Z,70.00,32.00
2026-01-14T05:25:00Z,69.00,32.00
2026-01-14T05:26:00Z,70.96,33.92
2026-01-14T05:27:00Z,73.02,30.37
2026-01-14T05:28:00Z,72.00,32.07
2026-01-14T05:29:00Z,69.26,31.61
2026-01-14T05:30:00Z,68.03,33.94
2026-01-14T05:31:00Z,66.67,34.00
2026-01-14T05:32:00Z,67.30,33.22
2026-01-14T05:33:00Z,68.77,30.57
2026-01-14T05:34:00Z,74.00,29.00
2026-01-14T05:35:00Z,71.63,30.06
2026-01-14T05:36:00Z,68.04,34.00
2026-01-14T05:37:00Z,68.00,34.00
2026-01-14T05:38:00Z,68.00,34.00
2026-01-14T05:39:00Z,60.03,34.00
2026-01-14T05:40:00Z,54.00,43.38
2026-01-14T05:41:00Z,71.63,32.66
2026-01-14T05:42:00Z,71.58,29.91
2026-01-14T05:43:00Z,78.00,24.36
2026-01-14T05:44:00Z,80.61,22.80
2026-01-14T05:45:00Z,72.08,29.96
2026-01-14T05:46:00Z,68.09,32.03
2026-01-14T05:47:00Z,66.00,35.00
2026-01-14T05:48:00Z,66.58,34.36
2026-01-14T05:49:00Z,67.01,33.83
2026-01-14T05:50:00Z,70.49,36.09
2026-01-14T05:51:00Z,72.90,28.21
2026-01-14T05:52:00Z,70.77,30.04
2026-01-14T05:53:00Z,72.72,28.73
2026-01-14T05:54:00Z,73.96,32.91
2026-01-14T05:55:00Z,70.58,29.54
2026-01-14T05:56:00Z,67.20,29.54
2026-01-14T05:57:00Z,67.00,35.09
2026-01-14T05:58:00Z,65.02,38.68
2026-01-14T05:59:00Z,70.67,29.00
2026-01-14T06:00:00Z,75.28,24.63
2026-01-14T06:01:00Z,78.24,30.01
2026-01-14T06:02:00Z,71.00,33.27
2026-01-14T06:03:00Z,64.36,36.19
2026-01-14T06:04:00Z,68.00,34.31
2026-01-14T06:05:00Z,67.96,32.34
2026-01-14T06:06:00Z,68.26,36.91
2026-01-14T06:07:00Z,71.14,30.92
2026-01-14T06:08:00Z,75.91,25.06
2026-01-14T06:09:00Z,84.12,16.76
2026-01-14T06:10:00Z,81.42,22.86
2026-01-14T06:11:00Z,70.36,31.01
2026-01-14T06:12:00Z,72.85,31.95
2026-01-14T06:13:00Z,80.30,17.51
2026-01-14T06:14:00Z,91.05,12.22
2026-01-14T06:15:00Z,91.94,8.22
2026-01-14T06:16:00Z,86.05,13.25
2026-01-14T06:17:00Z,76.56,24.86
2026-01-14T06:18:00Z,73.00,29.13
2026-01-14T06:19:00Z,89.76,17.37
2026-01-14T06:20:00Z,98.70,1.48
2026-01-14T06:21:00Z,99.00,1.48
2026-01-14T06:22:00Z,99.00,1.48
2026-01-14T06:23:00Z,99.00,1.48
2026-01-14T06:24:00Z,99.00,1.00
2026-01-14T06:26:00Z,99.00,1.00
2026-01-14T06:27:00Z,99.00,1.00
2026-01-14T06:30:00Z,99.00,1.00
