# event_ticker=KXATPMATCH-25NOV05MULETC
# final_score=6-7(2) 7-6(4) 7-6(3)
# score_resolution=6-7 7-6 7-6
# match_winner=Alexandre Muller
# fav_player=Alexandre Muller
# dog_player=Tomas Martin Etcheverry
# kalshi_date=2025-11-05
timestamp,Alexandre Muller,Tomas Martin Etcheverry
2025-11-05T02:57:00Z,,58.00
2025-11-05T03:04:00Z,,58.00
2025-11-05T03:07:00Z,,58.00
2025-11-05T03:22:00Z,44.00,58.00
2025-11-05T03:27:00Z,44.00,58.00
2025-11-05T03:36:00Z,44.00,58.00
2025-11-05T03:42:00Z,44.00,58.00
2025-11-05T03:50:00Z,44.00,58.00
2025-11-05T03:57:00Z,44.00,58.00
2025-11-05T04:02:00Z,45.77,58.00
2025-11-05T04:12:00Z,45.00,58.00
2025-11-05T04:34:00Z,45.00,57.00
2025-11-05T04:35:00Z,45.00,57.00
2025-11-05T04:43:00Z,45.00,57.00
2025-11-05T04:48:00Z,45.00,57.00
2025-11-05T04:51:00Z,45.00,57.00
2025-11-05T04:53:00Z,45.00,57.00
2025-11-05T05:02:00Z,45.00,57.00
2025-11-05T05:09:00Z,45.00,57.00
2025-11-05T05:12:00Z,45.00,57.00
2025-11-05T05:32:00Z,45.00,57.00
2025-11-05T05:35:00Z,45.00,56.00
2025-11-05T05:36:00Z,45.00,57.00
2025-11-05T05:39:00Z,45.00,57.00
2025-11-05T05:42:00Z,45.00,55.00
2025-11-05T05:43:00Z,46.00,55.00
2025-11-05T05:49:00Z,46.00,55.00
2025-11-05T05:50:00Z,46.00,55.00
2025-11-05T05:51:00Z,46.00,55.00
2025-11-05T05:53:00Z,46.00,55.00
2025-11-05T05:55:00Z,46.00,55.00
2025-11-05T06:02:00Z,46.00,55.00
2025-11-05T06:03:00Z,46.00,55.00
2025-11-05T06:07:00Z,46.00,55.00
2025-11-05T06:08:00Z,46.00,55.00
2025-11-05T06:09:00Z,46.00,55.00
2025-11-05T06:15:00Z,46.00,55.00
2025-11-05T06:18:00Z,46.00,55.00
2025-11-05T06:19:00Z,46.00,55.00
2025-11-05T06:22:00Z,46.00,55.00
2025-11-05T06:23:00Z,46.00,55.00
2025-11-05T06:24:00Z,46.00,55.00
2025-11-05T06:25:00Z,46.00,55.00
2025-11-05T06:26:00Z,46.00,55.00
2025-11-05T06:28:00Z,46.00,55.00
2025-11-05T06:31:00Z,46.00,55.00
2025-11-05T06:33:00Z,46.00,55.00
2025-11-05T06:34:00Z,46.00,55.00
2025-11-05T06:35:00Z,46.00,55.00
2025-11-05T06:36:00Z,46.00,55.00
2025-11-05T06:39:00Z,46.00,55.00
2025-11-05T06:42:00Z,46.00,55.00
2025-11-05T06:46:00Z,46.00,55.00
2025-11-05T06:48:00Z,46.00,55.00
2025-11-05T06:49:00Z,46.00,55.00
2025-11-05T06:51:00Z,46.00,55.00
2025-11-05T06:52:00Z,46.00,55.00
2025-11-05T06:55:00Z,45.00,55.00
2025-11-05T06:57:00Z,45.00,55.00
2025-11-05T06:59:00Z,46.00,55.00
2025-11-05T07:01:00Z,46.00,55.00
2025-11-05T07:02:00Z,46.00,55.00
2025-11-05T07:04:00Z,46.00,55.00
2025-11-05T07:05:00Z,46.00,55.00
