# event_ticker=KXATPMATCH-26FEB10COBPIN
# final_score=6-2 6-2
# score_resolution=2-6 2-6
# match_winner=Jack Pinnington Jones
# fav_player=Flavio Cobolli
# dog_player=Jack Pinnington Jones
# kalshi_date=2026-02-10
timestamp,Flavio Cobolli,Jack Pinnington Jones
2026-02-10T10:41:00Z,62.29,
2026-02-10T10:44:00Z,62.29,39.00
2026-02-10T12:15:00Z,62.00,39.00
2026-02-10T12:21:00Z,62.00,39.00
2026-02-10T12:52:00Z,62.92,39.00
2026-02-10T13:23:00Z,63.00,39.00
2026-02-10T13:37:00Z,63.00,39.00
2026-02-10T13:55:00Z,63.00,37.00
2026-02-10T14:02:00Z,62.00,38.00
2026-02-10T14:10:00Z,62.00,39.00
2026-02-10T14:13:00Z,62.00,39.00
2026-02-10T14:26:00Z,62.00,39.00
2026-02-10T14:35:00Z,62.00,39.00
2026-02-10T14:39:00Z,62.96,39.00
2026-02-10T14:46:00Z,63.00,39.00
2026-02-10T14:48:00Z,63.00,39.00
2026-02-10T14:51:00Z,63.00,39.00
2026-02-10T14:52:00Z,63.00,39.00
2026-02-10T14:53:00Z,63.00,36.00
2026-02-10T14:58:00Z,64.00,36.00
2026-02-10T14:59:00Z,64.00,37.00
2026-02-10T15:01:00Z,64.00,37.00
2026-02-10T15:35:00Z,64.00,37.00
2026-02-10T15:44:00Z,64.00,37.00
2026-02-10T15:49:00Z,64.00,37.00
2026-02-10T15:52:00Z,64.00,37.00
2026-02-10T16:07:00Z,63.97,37.00
2026-02-10T16:11:00Z,63.97,37.00
2026-02-10T16:23:00Z,63.97,36.00
2026-02-10T16:30:00Z,64.00,36.00
2026-02-10T16:39:00Z,64.00,36.00
2026-02-10T16:40:00Z,64.00,36.00
2026-02-10T16:42:00Z,64.00,36.00
2026-02-10T16:44:00Z,64.00,36.00
2026-02-10T16:47:00Z,64.00,36.00
2026-02-10T16:52:00Z,64.00,37.00
2026-02-10T16:54:00Z,64.00,37.00
2026-02-10T17:00:00Z,64.00,37.00
2026-02-10T17:14:00Z,64.00,37.00
2026-02-10T17:16:00Z,64.00,36.00
2026-02-10T17:26:00Z,64.00,37.00
2026-02-10T17:28:00Z,63.00,37.00
2026-02-10T17:29:00Z,63.00,37.00
2026-02-10T17:31:00Z,63.00,37.00
