# event_ticker=KXATPCHALLENGERMATCH-26MAR02CECOUA
# final_score=7-5 6-1
# score_resolution=5-7 1-6
# match_winner=Marco Cecchinato
# fav_player=Aziz Ouakaa
# dog_player=Marco Cecchinato
# kalshi_date=2026-03-02
timestamp,Aziz Ouakaa,Marco Cecchinato
2026-03-02T02:55:00Z,11.00,
2026-03-02T04:33:00Z,11.00,
2026-03-02T06:03:00Z,11.50,
2026-03-02T06:16:00Z,11.50,91.00
2026-03-02T06:20:00Z,11.50,91.81
2026-03-02T06:32:00Z,11.00,91.81
2026-03-02T06:43:00Z,11.00,91.81
2026-03-02T07:26:00Z,11.00,91.81
2026-03-02T07:42:00Z,11.00,91.81
2026-03-02T09:31:00Z,9.00,91.81
2026-03-02T09:34:00Z,9.00,91.81
2026-03-02T09:52:00Z,9.00,91.00
2026-03-02T10:11:00Z,9.00,93.00
2026-03-02T10:15:00Z,8.00,93.00
2026-03-02T10:16:00Z,8.87,93.00
2026-03-02T10:17:00Z,9.21,93.00
2026-03-02T10:18:00Z,11.62,89.00
2026-03-02T10:19:00Z,14.46,87.33
2026-03-02T10:20:00Z,18.96,85.00
2026-03-02T10:21:00Z,19.01,84.03
2026-03-02T10:22:00Z,10.37,84.03
2026-03-02T10:24:00Z,11.60,84.03
2026-03-02T10:25:00Z,14.02,87.00
2026-03-02T10:26:00Z,16.09,85.72
2026-03-02T10:27:00Z,18.62,85.00
2026-03-02T10:28:00Z,19.00,83.00
2026-03-02T10:29:00Z,20.70,77.00
2026-03-02T10:30:00Z,21.26,77.00
2026-03-02T10:31:00Z,23.96,77.00
2026-03-02T10:32:00Z,22.69,76.68
2026-03-02T10:33:00Z,26.23,76.68
2026-03-02T10:34:00Z,30.19,71.98
2026-03-02T10:35:00Z,23.23,71.98
2026-03-02T10:36:00Z,23.00,77.09
2026-03-02T10:37:00Z,27.29,77.00
2026-03-02T10:38:00Z,31.08,72.00
2026-03-02T10:39:00Z,31.46,72.00
2026-03-02T10:40:00Z,27.43,72.00
2026-03-02T10:41:00Z,28.12,72.00
2026-03-02T10:42:00Z,28.47,72.00
2026-03-02T10:43:00Z,32.49,71.00
2026-03-02T10:44:00Z,29.07,71.00
2026-03-02T10:45:00Z,21.34,75.04
2026-03-02T10:46:00Z,23.65,74.14
2026-03-02T10:47:00Z,22.00,77.00
2026-03-02T10:48:00Z,23.88,83.00
2026-03-02T10:49:00Z,20.43,83.00
2026-03-02T10:50:00Z,22.66,83.00
2026-03-02T10:51:00Z,17.38,82.44
2026-03-02T10:52:00Z,19.65,82.44
2026-03-02T10:53:00Z,14.24,86.00
2026-03-02T10:54:00Z,16.27,85.52
2026-03-02T10:55:00Z,13.97,85.52
2026-03-02T10:56:00Z,13.00,85.52
2026-03-02T10:57:00Z,13.02,88.03
2026-03-02T10:58:00Z,11.00,87.39
2026-03-02T10:59:00Z,8.51,90.34
2026-03-02T11:00:00Z,12.40,90.00
2026-03-02T11:01:00Z,15.35,85.55
2026-03-02T11:02:00Z,16.18,84.00
2026-03-02T11:03:00Z,13.70,86.00
2026-03-02T11:04:00Z,12.68,86.00
2026-03-02T11:05:00Z,12.96,89.00
2026-03-02T11:06:00Z,9.36,91.67
2026-03-02T11:07:00Z,7.99,91.67
2026-03-02T11:08:00Z,11.57,88.75
2026-03-02T11:09:00Z,13.47,89.48
2026-03-02T11:10:00Z,11.38,90.44
2026-03-02T11:11:00Z,13.16,88.52
2026-03-02T11:12:00Z,5.86,94.14
2026-03-02T11:13:00Z,4.88,96.00
2026-03-02T11:14:00Z,5.54,95.00
2026-03-02T11:15:00Z,5.00,96.00
2026-03-02T11:16:00Z,4.95,96.00
2026-03-02T11:17:00Z,5.43,95.08
2026-03-02T11:18:00Z,4.95,96.68
2026-03-02T11:19:00Z,6.88,95.00
2026-03-02T11:20:00Z,4.51,95.33
2026-03-02T11:21:00Z,5.00,96.91
2026-03-02T11:22:00Z,6.56,95.97
2026-03-02T11:23:00Z,6.19,95.97
2026-03-02T11:24:00Z,4.02,95.87
2026-03-02T11:25:00Z,5.19,97.14
2026-03-02T11:26:00Z,4.50,97.14
2026-03-02T11:27:00Z,4.00,96.02
2026-03-02T11:28:00Z,4.07,96.00
2026-03-02T11:29:00Z,3.02,97.29
2026-03-02T11:30:00Z,1.49,98.61
2026-03-02T11:31:00Z,1.98,99.00
2026-03-02T11:32:00Z,1.17,99.00
2026-03-02T11:33:00Z,1.87,99.00
2026-03-02T11:34:00Z,1.99,99.00
2026-03-02T11:36:00Z,1.00,99.00
2026-03-02T11:39:00Z,1.00,99.00
