# event_ticker=KXATPMATCH-26APR02KOPMUL
# final_score=6-3 7-6(3)
# score_resolution=3-6 6-7
# match_winner=Alexandre Muller
# fav_player=Vit Kopriva
# dog_player=Alexandre Muller
# kalshi_date=2026-04-02
timestamp,Vit Kopriva,Alexandre Muller
2026-04-01T22:18:00Z,50.00,
2026-04-01T23:03:00Z,50.00,
2026-04-01T23:34:00Z,50.00,
2026-04-02T00:58:00Z,50.00,52.00
2026-04-02T00:59:00Z,50.00,52.00
2026-04-02T01:08:00Z,50.00,52.00
2026-04-02T01:24:00Z,50.00,52.00
2026-04-02T01:32:00Z,50.00,52.00
2026-04-02T01:46:00Z,50.00,52.00
2026-04-02T01:57:00Z,50.00,51.00
2026-04-02T02:07:00Z,50.91,51.00
2026-04-02T02:18:00Z,50.91,50.00
2026-04-02T02:23:00Z,50.91,50.00
2026-04-02T02:43:00Z,50.00,50.00
2026-04-02T03:10:00Z,50.00,50.00
2026-04-02T03:18:00Z,50.00,50.00
2026-04-02T03:23:00Z,50.06,50.00
2026-04-02T03:31:00Z,51.00,50.00
2026-04-02T03:32:00Z,51.00,51.00
2026-04-02T03:44:00Z,51.00,51.00
2026-04-02T03:48:00Z,51.00,51.00
2026-04-02T03:54:00Z,51.00,50.00
2026-04-02T03:55:00Z,51.00,50.00
2026-04-02T04:05:00Z,51.00,50.00
2026-04-02T04:10:00Z,51.00,50.00
2026-04-02T04:11:00Z,51.00,50.00
2026-04-02T04:13:00Z,51.00,50.00
2026-04-02T04:15:00Z,51.00,50.00
2026-04-02T04:17:00Z,51.00,50.00
2026-04-02T04:19:00Z,51.00,50.00
2026-04-02T04:20:00Z,51.00,49.00
2026-04-02T04:21:00Z,51.00,49.00
2026-04-02T04:23:00Z,51.00,50.00
2026-04-02T04:24:00Z,51.00,50.00
2026-04-02T04:29:00Z,51.00,50.00
2026-04-02T04:30:00Z,51.00,50.00
2026-04-02T04:32:00Z,51.00,50.00
2026-04-02T04:36:00Z,51.00,50.00
2026-04-02T04:40:00Z,51.00,50.00
2026-04-02T04:42:00Z,51.00,50.04
2026-04-02T04:43:00Z,51.00,50.04
2026-04-02T04:44:00Z,50.00,50.04
2026-04-02T04:48:00Z,50.00,51.51
2026-04-02T04:49:00Z,50.00,51.51
2026-04-02T04:55:00Z,50.00,51.51
2026-04-02T04:57:00Z,50.00,51.51
2026-04-02T04:58:00Z,50.00,52.00
2026-04-02T05:03:00Z,50.00,52.00
2026-04-02T05:08:00Z,50.00,52.00
2026-04-02T05:11:00Z,50.00,52.00
2026-04-02T05:12:00Z,50.00,52.00
2026-04-02T05:13:00Z,50.00,50.00
2026-04-02T05:14:00Z,50.00,50.00
2026-04-02T05:17:00Z,50.00,50.00
2026-04-02T05:21:00Z,50.00,50.00
2026-04-02T05:22:00Z,50.00,51.00
2026-04-02T05:27:00Z,50.00,51.00
2026-04-02T05:28:00Z,50.00,50.00
2026-04-02T05:34:00Z,50.00,51.57
2026-04-02T05:35:00Z,50.00,53.00
