# event_ticker=KXATPCHALLENGERMATCH-26MAY13LAVIL
# final_score=6-3 6-4
# match_winner=Juan Manuel La Serna
# fav_player=Juan Manuel La Serna
# dog_player=Gonzalo Villanueva
# kalshi_date=2026-05-13
timestamp,Juan Manuel La Serna,Gonzalo Villanueva
2026-05-13T05:04:00Z,48.00,
2026-05-13T05:18:00Z,48.00,55.99
2026-05-13T05:22:00Z,48.00,58.00
2026-05-13T05:28:00Z,48.00,58.00
2026-05-13T05:33:00Z,48.00,58.00
2026-05-13T05:49:00Z,48.00,58.00
2026-05-13T05:50:00Z,48.00,58.00
2026-05-13T05:51:00Z,48.00,58.00
2026-05-13T05:52:00Z,48.00,58.00
2026-05-13T06:10:00Z,48.00,58.00
2026-05-13T06:24:00Z,48.00,58.00
2026-05-13T07:14:00Z,48.00,58.00
2026-05-13T07:33:00Z,48.00,58.00
2026-05-13T07:34:00Z,48.00,58.00
2026-05-13T08:01:00Z,48.00,57.00
2026-05-13T09:34:00Z,48.00,57.00
2026-05-13T09:37:00Z,48.00,57.00
2026-05-13T09:43:00Z,48.00,57.00
2026-05-13T09:56:00Z,48.00,57.00
2026-05-13T10:18:00Z,48.00,56.00
2026-05-13T10:38:00Z,48.00,56.00
2026-05-13T10:48:00Z,48.00,56.00
2026-05-13T11:50:00Z,46.00,56.00
2026-05-13T12:15:00Z,46.00,56.00
2026-05-13T12:36:00Z,44.00,54.00
2026-05-13T12:43:00Z,44.00,56.00
2026-05-13T12:50:00Z,44.00,56.00
2026-05-13T13:03:00Z,44.00,56.00
2026-05-13T13:13:00Z,44.00,56.00
2026-05-13T13:21:00Z,46.00,56.00
2026-05-13T13:35:00Z,46.00,56.00
2026-05-13T13:40:00Z,46.00,56.00
2026-05-13T13:47:00Z,46.00,56.00
2026-05-13T13:50:00Z,46.00,56.00
2026-05-13T13:51:00Z,46.00,56.00
2026-05-13T13:53:00Z,46.00,56.00
2026-05-13T13:56:00Z,46.00,56.00
2026-05-13T13:57:00Z,46.00,56.00
2026-05-13T14:09:00Z,45.00,56.00
2026-05-13T14:11:00Z,45.00,56.00
2026-05-13T14:13:00Z,45.00,56.00
2026-05-13T14:54:00Z,45.00,55.71
2026-05-13T15:01:00Z,45.00,55.00
2026-05-13T15:07:00Z,45.00,55.00
