# event_ticker=KXATPMATCH-25OCT14RUUMPE
# final_score=7-6(4) 6-7(5) 6-4
# score_resolution=6-7 7-6 4-6
# match_winner=Giovanni Mpetshi Perricard
# fav_player=Emil Ruusuvuori
# dog_player=Giovanni Mpetshi Perricard
# kalshi_date=2025-10-14
timestamp,Emil Ruusuvuori,Giovanni Mpetshi Perricard
2025-10-14T03:36:00Z,38.00,64.00
2025-10-14T04:01:00Z,38.00,64.00
2025-10-14T04:15:00Z,38.00,64.00
2025-10-14T04:47:00Z,37.00,64.00
2025-10-14T04:57:00Z,37.00,64.00
2025-10-14T04:58:00Z,37.00,64.00
2025-10-14T05:02:00Z,37.00,64.00
2025-10-14T05:11:00Z,37.00,64.00
2025-10-14T05:14:00Z,37.00,63.00
2025-10-14T05:19:00Z,37.00,65.00
2025-10-14T05:40:00Z,37.00,65.00
2025-10-14T05:41:00Z,37.00,65.00
2025-10-14T05:52:00Z,37.00,65.00
2025-10-14T06:12:00Z,37.00,65.00
2025-10-14T06:22:00Z,37.00,65.00
2025-10-14T06:31:00Z,36.00,65.00
2025-10-14T06:33:00Z,36.00,65.00
2025-10-14T07:21:00Z,36.00,65.00
2025-10-14T07:30:00Z,36.00,65.00
2025-10-14T07:32:00Z,36.00,65.00
2025-10-14T08:33:00Z,36.00,65.00
2025-10-14T08:39:00Z,36.00,65.00
2025-10-14T08:40:00Z,36.00,65.00
2025-10-14T08:44:00Z,36.00,65.00
2025-10-14T09:08:00Z,36.00,65.00
2025-10-14T09:11:00Z,36.00,65.00
2025-10-14T09:34:00Z,36.00,65.00
2025-10-14T09:48:00Z,36.00,65.00
2025-10-14T10:00:00Z,36.00,65.00
2025-10-14T10:15:00Z,36.00,65.00
2025-10-14T10:27:00Z,36.00,65.00
2025-10-14T10:31:00Z,36.00,65.00
2025-10-14T10:37:00Z,36.00,65.00
2025-10-14T10:43:00Z,36.00,65.00
2025-10-14T10:52:00Z,36.00,65.00
2025-10-14T10:55:00Z,36.00,65.00
2025-10-14T10:59:00Z,36.00,65.00
2025-10-14T11:04:00Z,36.00,65.00
2025-10-14T11:05:00Z,36.00,65.00
2025-10-14T11:12:00Z,36.00,65.00
2025-10-14T11:19:00Z,35.00,66.00
2025-10-14T11:21:00Z,35.00,66.00
2025-10-14T11:25:00Z,35.00,66.00
2025-10-14T11:30:00Z,35.00,66.00
2025-10-14T11:35:00Z,35.00,66.00
2025-10-14T11:49:00Z,35.00,66.50
2025-10-14T11:50:00Z,35.00,67.90
2025-10-14T11:52:00Z,35.00,68.00
2025-10-14T11:54:00Z,32.00,68.89
2025-10-14T11:57:00Z,32.00,69.00
2025-10-14T11:58:00Z,32.00,69.00
2025-10-14T11:59:00Z,32.00,69.00
2025-10-14T12:00:00Z,32.00,69.00
2025-10-14T12:01:00Z,31.00,69.00
2025-10-14T12:04:00Z,31.00,71.00
2025-10-14T12:05:00Z,31.00,71.00
2025-10-14T12:07:00Z,31.00,71.00
2025-10-14T12:10:00Z,31.00,71.00
2025-10-14T12:12:00Z,25.10,75.20
2025-10-14T12:13:00Z,25.10,72.64
2025-10-14T12:14:00Z,35.29,68.00
2025-10-14T12:15:00Z,31.80,69.00
2025-10-14T12:16:00Z,32.00,69.76
2025-10-14T12:17:00Z,31.88,68.15
2025-10-14T12:18:00Z,33.55,64.18
2025-10-14T12:19:00Z,35.74,67.00
2025-10-14T12:20:00Z,38.63,64.42
2025-10-14T12:21:00Z,42.15,61.93
2025-10-14T12:22:00Z,42.15,61.15
2025-10-14T12:23:00Z,45.00,61.10
2025-10-14T12:24:00Z,41.71,63.16
2025-10-14T12:25:00Z,40.77,62.00
2025-10-14T12:26:00Z,39.56,61.96
2025-10-14T12:27:00Z,42.48,62.00
2025-10-14T12:28:00Z,42.05,59.49
2025-10-14T12:29:00Z,43.22,61.87
2025-10-14T12:30:00Z,40.18,61.97
2025-10-14T12:31:00Z,44.46,63.95
2025-10-14T12:32:00Z,38.00,62.29
2025-10-14T12:33:00Z,36.85,63.94
2025-10-14T12:34:00Z,40.04,61.10
2025-10-14T12:35:00Z,41.94,68.44
2025-10-14T12:36:00Z,42.00,61.00
2025-10-14T12:37:00Z,37.62,64.94
2025-10-14T12:38:00Z,38.97,73.00
2025-10-14T12:39:00Z,38.90,73.00
2025-10-14T12:40:00Z,41.93,61.13
2025-10-14T12:41:00Z,41.35,61.00
2025-10-14T12:42:00Z,42.00,61.00
2025-10-14T12:43:00Z,40.70,61.00
2025-10-14T12:44:00Z,39.91,62.59
2025-10-14T12:45:00Z,40.06,60.00
2025-10-14T12:46:00Z,43.52,59.98
2025-10-14T12:47:00Z,42.86,63.00
2025-10-14T12:48:00Z,43.63,64.27
2025-10-14T12:49:00Z,42.25,58.69
2025-10-14T12:50:00Z,39.14,60.98
2025-10-14T12:51:00Z,40.55,65.02
2025-10-14T12:52:00Z,36.25,61.00
2025-10-14T12:53:00Z,28.59,75.12
2025-10-14T12:54:00Z,25.00,75.20
2025-10-14T12:55:00Z,23.24,77.82
2025-10-14T12:56:00Z,33.70,81.16
2025-10-14T12:57:00Z,15.74,82.89
2025-10-14T12:59:00Z,20.16,79.00
2025-10-14T13:00:00Z,23.19,77.92
2025-10-14T13:01:00Z,21.94,77.62
2025-10-14T13:02:00Z,19.89,79.00
2025-10-14T13:03:00Z,22.48,79.47
2025-10-14T13:04:00Z,17.62,79.47
2025-10-14T13:05:00Z,20.00,81.00
2025-10-14T13:06:00Z,21.04,81.00
2025-10-14T13:07:00Z,20.01,79.38
2025-10-14T13:08:00Z,20.01,81.70
2025-10-14T13:09:00Z,20.68,80.72
2025-10-14T13:10:00Z,19.36,81.27
2025-10-14T13:11:00Z,17.00,82.12
2025-10-14T13:12:00Z,17.00,80.00
2025-10-14T13:13:00Z,20.00,80.00
2025-10-14T13:14:00Z,20.47,80.91
2025-10-14T13:15:00Z,19.00,81.00
2025-10-14T13:16:00Z,20.00,81.24
2025-10-14T13:17:00Z,20.00,81.00
2025-10-14T13:18:00Z,23.42,80.97
2025-10-14T13:19:00Z,25.92,75.40
2025-10-14T13:20:00Z,25.00,76.00
2025-10-14T13:21:00Z,20.19,79.39
2025-10-14T13:22:00Z,21.11,80.07
2025-10-14T13:23:00Z,24.16,81.00
2025-10-14T13:25:00Z,22.04,79.14
2025-10-14T13:26:00Z,21.14,82.14
2025-10-14T13:27:00Z,22.00,81.00
2025-10-14T13:28:00Z,22.00,80.78
2025-10-14T13:29:00Z,23.00,79.69
2025-10-14T13:30:00Z,23.44,76.00
2025-10-14T13:31:00Z,26.41,78.47
2025-10-14T13:32:00Z,34.97,74.99
2025-10-14T13:33:00Z,25.87,76.74
2025-10-14T13:34:00Z,18.74,78.24
2025-10-14T13:35:00Z,17.01,87.35
2025-10-14T13:36:00Z,22.70,86.81
2025-10-14T13:37:00Z,23.00,84.00
2025-10-14T13:38:00Z,23.12,83.09
2025-10-14T13:39:00Z,31.50,70.39
2025-10-14T13:40:00Z,40.43,71.69
2025-10-14T13:41:00Z,40.22,72.19
2025-10-14T13:42:00Z,31.52,75.20
2025-10-14T13:43:00Z,16.93,86.61
