# event_ticker=KXATPCHALLENGERMATCH-26MAY05CASMIL
# final_score=6-3 3-6 6-1
# score_resolution=3-6 6-3 1-6
# match_winner=Ognjen Milic
# fav_player=Luca Castelnuovo
# dog_player=Ognjen Milic
# kalshi_date=2026-05-05
timestamp,Luca Castelnuovo,Ognjen Milic
2026-05-04T21:45:00Z,39.00,
2026-05-05T03:03:00Z,39.00,63.60
2026-05-05T03:06:00Z,39.00,64.00
2026-05-05T04:51:00Z,37.00,64.00
2026-05-05T04:57:00Z,37.00,62.00
2026-05-05T05:08:00Z,37.00,66.00
2026-05-05T05:29:00Z,37.00,66.00
2026-05-05T05:35:00Z,37.00,66.00
2026-05-05T05:37:00Z,37.00,66.00
2026-05-05T05:46:00Z,37.00,66.00
2026-05-05T05:58:00Z,37.00,62.00
2026-05-05T05:59:00Z,37.00,63.14
2026-05-05T06:00:00Z,37.00,62.00
2026-05-05T06:01:00Z,37.00,62.00
2026-05-05T06:02:00Z,37.00,62.00
2026-05-05T06:03:00Z,37.00,62.00
2026-05-05T06:04:00Z,37.00,62.00
2026-05-05T06:18:00Z,37.00,66.00
2026-05-05T06:31:00Z,37.00,66.00
2026-05-05T08:12:00Z,37.00,66.00
2026-05-05T08:25:00Z,38.00,66.00
2026-05-05T08:52:00Z,37.58,66.00
2026-05-05T09:14:00Z,37.58,66.00
2026-05-05T09:21:00Z,37.58,65.99
2026-05-05T09:23:00Z,37.58,65.00
2026-05-05T09:25:00Z,37.58,65.00
2026-05-05T09:30:00Z,37.58,65.87
2026-05-05T09:32:00Z,36.00,66.67
2026-05-05T09:33:00Z,34.00,68.00
2026-05-05T09:36:00Z,30.54,68.81
2026-05-05T09:38:00Z,30.54,66.00
2026-05-05T09:39:00Z,36.00,64.00
2026-05-05T09:40:00Z,35.00,64.00
2026-05-05T09:41:00Z,24.00,64.00
2026-05-05T09:42:00Z,22.29,78.00
2026-05-05T09:44:00Z,18.58,82.00
2026-05-05T09:45:00Z,22.89,77.00
2026-05-05T09:49:00Z,22.89,85.00
2026-05-05T09:50:00Z,14.00,85.00
2026-05-05T09:51:00Z,15.75,85.00
2026-05-05T09:52:00Z,19.05,81.00
2026-05-05T09:53:00Z,17.00,81.00
2026-05-05T09:54:00Z,17.00,83.00
2026-05-05T09:56:00Z,17.00,86.00
2026-05-05T09:57:00Z,14.00,86.00
2026-05-05T10:00:00Z,16.00,86.00
2026-05-05T10:01:00Z,14.48,86.00
2026-05-05T10:02:00Z,17.90,84.60
2026-05-05T10:03:00Z,19.17,78.98
2026-05-05T10:04:00Z,21.00,79.32
2026-05-05T10:07:00Z,20.35,77.68
2026-05-05T10:09:00Z,20.35,82.31
2026-05-05T10:10:00Z,20.72,74.92
2026-05-05T10:12:00Z,15.93,84.65
2026-05-05T10:13:00Z,17.09,83.00
2026-05-05T10:14:00Z,18.01,80.88
2026-05-05T10:15:00Z,20.66,79.52
2026-05-05T10:16:00Z,25.80,74.07
2026-05-05T10:17:00Z,30.49,68.17
2026-05-05T10:18:00Z,35.00,68.17
2026-05-05T10:19:00Z,38.61,62.14
2026-05-05T10:20:00Z,38.61,60.00
2026-05-05T10:21:00Z,40.00,60.00
2026-05-05T10:22:00Z,42.07,58.00
2026-05-05T10:23:00Z,40.00,60.00
2026-05-05T10:24:00Z,34.01,69.92
2026-05-05T10:25:00Z,34.01,78.00
2026-05-05T10:26:00Z,34.01,79.96
2026-05-05T10:27:00Z,22.26,79.83
2026-05-05T10:28:00Z,27.62,75.00
2026-05-05T10:29:00Z,23.19,77.47
2026-05-05T10:30:00Z,26.22,78.48
2026-05-05T10:31:00Z,25.06,74.13
2026-05-05T10:32:00Z,26.00,73.42
2026-05-05T10:33:00Z,26.00,73.43
2026-05-05T10:34:00Z,28.00,70.18
2026-05-05T10:35:00Z,32.29,71.00
2026-05-05T10:36:00Z,22.00,76.67
2026-05-05T10:37:00Z,17.50,81.76
2026-05-05T10:38:00Z,17.50,83.24
2026-05-05T10:39:00Z,15.13,84.99
2026-05-05T10:40:00Z,15.13,83.78
2026-05-05T10:43:00Z,21.81,80.77
2026-05-05T10:44:00Z,27.84,80.77
2026-05-05T10:45:00Z,29.06,71.66
2026-05-05T10:46:00Z,32.41,71.00
2026-05-05T10:47:00Z,42.54,59.15
2026-05-05T10:48:00Z,46.23,53.17
2026-05-05T10:49:00Z,50.00,51.04
2026-05-05T10:50:00Z,49.17,51.00
2026-05-05T10:51:00Z,50.00,51.00
2026-05-05T10:52:00Z,52.40,48.59
2026-05-05T10:53:00Z,45.66,52.26
2026-05-05T10:54:00Z,43.00,58.00
2026-05-05T10:55:00Z,40.80,58.00
2026-05-05T10:56:00Z,34.17,58.00
2026-05-05T10:57:00Z,43.97,51.25
2026-05-05T10:58:00Z,47.47,52.54
2026-05-05T10:59:00Z,44.00,56.89
2026-05-05T11:00:00Z,44.06,58.00
2026-05-05T11:01:00Z,42.00,59.00
2026-05-05T11:02:00Z,38.47,67.60
2026-05-05T11:03:00Z,29.20,73.42
2026-05-05T11:04:00Z,13.07,85.51
2026-05-05T11:05:00Z,20.73,79.57
2026-05-05T11:06:00Z,26.83,69.85
2026-05-05T11:07:00Z,31.18,71.97
2026-05-05T11:08:00Z,16.24,85.61
2026-05-05T11:09:00Z,14.39,83.27
2026-05-05T11:10:00Z,15.92,87.69
2026-05-05T11:11:00Z,14.17,83.69
2026-05-05T11:12:00Z,11.04,87.35
2026-05-05T11:13:00Z,11.00,90.85
2026-05-05T11:14:00Z,9.00,92.26
2026-05-05T11:15:00Z,5.64,94.06
2026-05-05T11:16:00Z,9.00,90.56
2026-05-05T11:17:00Z,11.00,91.06
2026-05-05T11:18:00Z,3.40,95.80
2026-05-05T11:19:00Z,1.06,98.98
2026-05-05T11:20:00Z,1.06,99.00
2026-05-05T11:21:00Z,2.00,99.00
2026-05-05T11:22:00Z,2.00,99.00
2026-05-05T11:23:00Z,1.00,99.00
