# event_ticker=KXATPCHALLENGERMATCH-26APR21GAKNUR
# final_score=6-3 7-5
# score_resolution=3-6 5-7
# match_winner=Ivan Gakhov
# fav_player=Zangar Nurlanuly
# dog_player=Ivan Gakhov
# kalshi_date=2026-04-21
timestamp,Ivan Gakhov,Zangar Nurlanuly
2026-04-20T20:36:00Z,78.00,
2026-04-20T21:21:00Z,78.00,
2026-04-21T01:02:00Z,81.00,
2026-04-21T01:18:00Z,81.00,14.72
2026-04-21T01:43:00Z,81.00,15.00
2026-04-21T01:48:00Z,85.00,15.00
2026-04-21T01:49:00Z,88.00,14.00
2026-04-21T02:12:00Z,81.00,14.00
2026-04-21T02:25:00Z,90.00,15.00
2026-04-21T03:39:00Z,85.00,17.00
2026-04-21T03:43:00Z,85.00,17.00
2026-04-21T03:50:00Z,85.00,19.00
2026-04-21T04:34:00Z,85.00,19.00
2026-04-21T04:38:00Z,83.00,19.00
2026-04-21T04:48:00Z,85.80,19.00
2026-04-21T06:15:00Z,85.00,16.85
2026-04-21T06:39:00Z,86.00,16.00
2026-04-21T06:40:00Z,85.00,16.00
2026-04-21T07:11:00Z,85.00,15.00
2026-04-21T07:23:00Z,85.00,15.94
2026-04-21T07:37:00Z,85.00,13.00
2026-04-21T07:43:00Z,85.00,15.92
2026-04-21T07:44:00Z,85.00,15.97
2026-04-21T07:47:00Z,85.00,15.98
2026-04-21T07:51:00Z,85.00,16.00
2026-04-21T08:01:00Z,85.00,16.00
2026-04-21T08:03:00Z,85.00,19.28
2026-04-21T08:09:00Z,85.00,18.00
2026-04-21T08:10:00Z,85.00,18.00
2026-04-21T08:16:00Z,85.00,12.00
2026-04-21T08:19:00Z,86.00,15.92
2026-04-21T08:21:00Z,85.00,16.98
2026-04-21T08:22:00Z,82.52,19.47
2026-04-21T08:23:00Z,82.49,20.09
2026-04-21T08:24:00Z,78.94,24.21
2026-04-21T08:25:00Z,76.97,23.23
2026-04-21T08:26:00Z,79.13,22.41
2026-04-21T08:27:00Z,79.46,24.97
2026-04-21T08:28:00Z,80.80,23.35
2026-04-21T08:29:00Z,77.51,24.92
2026-04-21T08:30:00Z,75.71,27.95
2026-04-21T08:31:00Z,75.52,26.00
2026-04-21T08:32:00Z,76.00,27.21
2026-04-21T08:33:00Z,78.00,18.44
2026-04-21T08:34:00Z,84.62,14.69
2026-04-21T08:35:00Z,86.57,12.01
2026-04-21T08:36:00Z,83.00,17.30
2026-04-21T08:37:00Z,84.65,17.29
2026-04-21T08:38:00Z,86.00,15.00
2026-04-21T08:40:00Z,89.00,14.00
2026-04-21T08:41:00Z,89.00,8.75
2026-04-21T08:42:00Z,90.91,10.60
2026-04-21T08:43:00Z,93.17,6.82
2026-04-21T08:44:00Z,93.17,8.55
2026-04-21T08:45:00Z,92.00,9.00
2026-04-21T08:47:00Z,92.00,10.00
2026-04-21T08:48:00Z,92.00,10.00
2026-04-21T08:49:00Z,92.00,8.00
2026-04-21T08:50:00Z,92.00,9.52
2026-04-21T08:51:00Z,92.00,10.00
2026-04-21T08:52:00Z,92.00,10.00
2026-04-21T08:53:00Z,92.00,10.00
2026-04-21T08:54:00Z,87.90,10.67
2026-04-21T08:55:00Z,90.00,10.61
2026-04-21T08:56:00Z,88.00,12.89
2026-04-21T08:57:00Z,88.00,13.46
2026-04-21T08:58:00Z,89.45,13.89
2026-04-21T08:59:00Z,89.45,11.68
2026-04-21T09:00:00Z,91.04,11.08
2026-04-21T09:03:00Z,91.04,10.00
2026-04-21T09:04:00Z,92.00,10.00
2026-04-21T09:05:00Z,92.00,5.95
2026-04-21T09:06:00Z,92.00,9.00
2026-04-21T09:07:00Z,93.00,9.39
2026-04-21T09:08:00Z,93.00,9.98
2026-04-21T09:09:00Z,93.00,9.90
2026-04-21T09:10:00Z,89.00,10.81
2026-04-21T09:11:00Z,90.91,11.00
2026-04-21T09:12:00Z,92.00,10.90
2026-04-21T09:13:00Z,93.44,11.00
2026-04-21T09:14:00Z,90.75,12.16
2026-04-21T09:15:00Z,90.75,11.00
2026-04-21T09:16:00Z,88.00,11.00
2026-04-21T09:17:00Z,88.31,13.80
2026-04-21T09:18:00Z,86.51,15.07
2026-04-21T09:19:00Z,93.23,11.29
2026-04-21T09:20:00Z,93.23,11.21
2026-04-21T09:21:00Z,89.00,12.96
2026-04-21T09:22:00Z,89.00,12.00
2026-04-21T09:23:00Z,89.96,12.00
2026-04-21T09:24:00Z,90.00,11.53
2026-04-21T09:25:00Z,85.00,15.95
2026-04-21T09:26:00Z,83.27,15.95
2026-04-21T09:27:00Z,89.27,11.47
2026-04-21T09:28:00Z,91.75,9.15
2026-04-21T09:29:00Z,91.75,8.00
2026-04-21T09:30:00Z,92.94,8.62
2026-04-21T09:31:00Z,91.46,11.83
2026-04-21T09:32:00Z,84.00,16.88
2026-04-21T09:33:00Z,85.05,17.78
2026-04-21T09:34:00Z,83.01,17.72
2026-04-21T09:35:00Z,86.00,18.00
2026-04-21T09:36:00Z,88.31,16.53
2026-04-21T09:37:00Z,89.34,10.85
2026-04-21T09:38:00Z,90.00,9.58
2026-04-21T09:39:00Z,90.00,10.69
2026-04-21T09:40:00Z,90.74,11.00
2026-04-21T09:41:00Z,93.04,6.18
2026-04-21T09:42:00Z,93.00,7.00
2026-04-21T09:43:00Z,92.00,10.82
2026-04-21T09:44:00Z,89.26,12.77
2026-04-21T09:45:00Z,80.00,17.79
2026-04-21T09:46:00Z,84.54,15.45
2026-04-21T09:47:00Z,87.00,12.69
2026-04-21T09:48:00Z,90.05,15.02
2026-04-21T09:49:00Z,90.05,15.00
2026-04-21T09:50:00Z,90.05,15.42
2026-04-21T09:51:00Z,90.94,13.01
2026-04-21T09:52:00Z,90.94,14.00
2026-04-21T09:53:00Z,86.45,14.67
2026-04-21T09:54:00Z,86.00,15.75
2026-04-21T09:55:00Z,86.00,13.63
2026-04-21T09:56:00Z,86.00,14.89
2026-04-21T09:57:00Z,86.00,15.00
2026-04-21T09:58:00Z,86.92,15.71
2026-04-21T09:59:00Z,85.08,16.47
2026-04-21T10:00:00Z,85.02,15.25
2026-04-21T10:01:00Z,87.27,12.01
2026-04-21T10:02:00Z,90.36,11.16
2026-04-21T10:03:00Z,86.00,14.50
2026-04-21T10:04:00Z,85.14,13.61
2026-04-21T10:05:00Z,90.37,10.63
2026-04-21T10:06:00Z,87.55,12.80
2026-04-21T10:07:00Z,88.88,14.21
2026-04-21T10:08:00Z,91.97,7.54
2026-04-21T10:09:00Z,94.35,7.36
2026-04-21T10:10:00Z,97.31,4.67
2026-04-21T10:11:00Z,97.00,4.00
2026-04-21T10:12:00Z,95.22,1.46
2026-04-21T10:13:00Z,98.92,1.71
2026-04-21T10:14:00Z,99.00,1.71
2026-04-21T10:15:00Z,99.00,1.71
2026-04-21T10:19:00Z,99.00,1.71
