# event_ticker=KXATPCHALLENGERMATCH-26APR06SAKCAR
# final_score=6-4 6-3
# match_winner=Rei Sakamoto
# fav_player=Rei Sakamoto
# dog_player=Roberto Carballes Baena
# kalshi_date=2026-04-06
timestamp,Rei Sakamoto,Roberto Carballes Baena
2026-04-06T01:12:00Z,,62.00
2026-04-06T01:36:00Z,41.00,62.00
2026-04-06T02:02:00Z,41.00,62.00
2026-04-06T02:08:00Z,41.00,62.00
2026-04-06T03:43:00Z,41.00,62.00
2026-04-06T03:51:00Z,41.00,62.00
2026-04-06T04:25:00Z,39.20,62.00
2026-04-06T04:57:00Z,40.00,62.00
2026-04-06T05:03:00Z,38.00,62.00
2026-04-06T05:10:00Z,38.00,63.00
2026-04-06T05:15:00Z,38.00,63.00
2026-04-06T05:34:00Z,38.00,63.00
2026-04-06T05:50:00Z,38.00,63.00
2026-04-06T05:58:00Z,38.00,62.00
2026-04-06T07:09:00Z,38.00,62.00
2026-04-06T07:45:00Z,38.00,62.00
2026-04-06T09:07:00Z,38.00,62.00
2026-04-06T09:39:00Z,38.00,62.00
2026-04-06T09:47:00Z,38.00,63.00
2026-04-06T10:03:00Z,38.00,63.00
2026-04-06T10:06:00Z,38.00,61.73
2026-04-06T10:43:00Z,38.00,62.00
2026-04-06T10:46:00Z,38.00,63.00
2026-04-06T10:49:00Z,38.00,63.00
2026-04-06T11:21:00Z,38.00,62.88
2026-04-06T11:32:00Z,38.00,64.00
2026-04-06T11:37:00Z,38.00,64.00
2026-04-06T11:43:00Z,39.66,64.00
2026-04-06T11:53:00Z,39.00,64.00
2026-04-06T11:54:00Z,39.00,62.17
2026-04-06T11:59:00Z,39.69,62.00
2026-04-06T12:01:00Z,39.69,63.00
2026-04-06T12:07:00Z,39.69,63.00
2026-04-06T12:11:00Z,39.69,63.00
2026-04-06T12:13:00Z,39.00,63.00
2026-04-06T12:16:00Z,39.98,63.00
2026-04-06T12:18:00Z,39.00,63.00
2026-04-06T12:20:00Z,40.00,63.00
2026-04-06T12:24:00Z,40.00,63.00
2026-04-06T12:33:00Z,40.00,62.00
2026-04-06T12:37:00Z,41.00,62.00
2026-04-06T12:38:00Z,41.00,62.00
2026-04-06T12:42:00Z,47.59,60.00
2026-04-06T12:43:00Z,41.00,59.28
2026-04-06T12:45:00Z,39.00,63.00
2026-04-06T12:46:00Z,38.07,61.08
2026-04-06T12:48:00Z,38.00,61.08
2026-04-06T12:49:00Z,37.00,64.00
2026-04-06T12:50:00Z,29.16,69.80
2026-04-06T12:51:00Z,38.03,66.00
2026-04-06T12:52:00Z,33.00,66.00
2026-04-06T12:53:00Z,39.69,62.00
2026-04-06T12:54:00Z,39.69,60.00
2026-04-06T12:55:00Z,41.00,60.00
2026-04-06T12:56:00Z,40.38,58.85
2026-04-06T12:59:00Z,33.12,58.85
2026-04-06T13:01:00Z,41.33,57.00
2026-04-06T13:02:00Z,41.33,61.84
2026-04-06T13:03:00Z,41.33,59.35
2026-04-06T13:04:00Z,52.80,54.11
2026-04-06T13:06:00Z,61.31,41.00
2026-04-06T13:07:00Z,62.16,41.00
2026-04-06T13:08:00Z,62.16,41.00
2026-04-06T13:09:00Z,52.50,45.85
2026-04-06T13:10:00Z,57.00,53.91
2026-04-06T13:11:00Z,57.00,37.49
2026-04-06T13:12:00Z,57.00,36.00
2026-04-06T13:13:00Z,61.00,41.00
2026-04-06T13:14:00Z,61.00,40.98
2026-04-06T13:16:00Z,55.00,42.00
2026-04-06T13:17:00Z,58.00,42.00
2026-04-06T13:18:00Z,65.00,36.00
2026-04-06T13:19:00Z,65.00,38.60
2026-04-06T13:20:00Z,63.00,38.00
2026-04-06T13:21:00Z,62.00,38.29
2026-04-06T13:22:00Z,62.00,39.92
2026-04-06T13:23:00Z,62.04,37.00
2026-04-06T13:24:00Z,62.04,41.00
2026-04-06T13:25:00Z,66.79,37.54
2026-04-06T13:26:00Z,70.00,31.97
2026-04-06T13:27:00Z,70.00,31.93
2026-04-06T13:28:00Z,70.00,32.00
2026-04-06T13:29:00Z,70.00,32.95
2026-04-06T13:30:00Z,70.00,30.18
2026-04-06T13:31:00Z,71.48,28.17
2026-04-06T13:32:00Z,76.00,18.03
2026-04-06T13:33:00Z,83.21,20.91
2026-04-06T13:34:00Z,84.46,17.16
2026-04-06T13:35:00Z,84.31,16.90
2026-04-06T13:36:00Z,84.31,15.00
2026-04-06T13:37:00Z,89.85,15.00
2026-04-06T13:38:00Z,87.00,12.68
2026-04-06T13:39:00Z,87.12,14.85
2026-04-06T13:40:00Z,87.00,14.68
2026-04-06T13:41:00Z,87.39,12.00
2026-04-06T13:42:00Z,90.97,11.00
2026-04-06T13:43:00Z,90.97,13.00
2026-04-06T13:44:00Z,90.97,15.00
2026-04-06T13:45:00Z,85.00,13.00
2026-04-06T13:46:00Z,91.78,11.99
2026-04-06T13:47:00Z,91.63,10.99
2026-04-06T13:48:00Z,92.00,10.00
2026-04-06T13:49:00Z,92.00,9.09
2026-04-06T13:50:00Z,93.03,8.00
2026-04-06T13:51:00Z,93.03,9.65
2026-04-06T13:52:00Z,89.85,12.00
2026-04-06T13:53:00Z,89.85,12.00
2026-04-06T13:54:00Z,89.85,11.00
2026-04-06T13:56:00Z,89.85,7.08
2026-04-06T13:57:00Z,90.11,9.00
2026-04-06T13:58:00Z,91.97,9.89
2026-04-06T13:59:00Z,92.24,7.29
2026-04-06T14:00:00Z,95.34,4.53
2026-04-06T14:01:00Z,96.01,4.53
2026-04-06T14:02:00Z,98.88,1.47
2026-04-06T14:03:00Z,98.75,1.04
2026-04-06T14:04:00Z,98.75,1.00
