# event_ticker=KXATPCHALLENGERMATCH-26FEB12BICAND
# final_score=6-1 6-3
# match_winner=Andres Andrade
# fav_player=Andres Andrade
# dog_player=Blaise Bicknell
# kalshi_date=2026-02-12
timestamp,Andres Andrade,Blaise Bicknell
2026-02-12T05:03:00Z,54.00,
2026-02-12T05:57:00Z,65.50,
2026-02-12T06:24:00Z,59.00,
2026-02-12T10:57:00Z,59.00,
2026-02-12T11:39:00Z,68.00,
2026-02-12T11:48:00Z,68.00,
2026-02-12T12:05:00Z,69.00,34.00
2026-02-12T12:06:00Z,69.00,34.00
2026-02-12T12:07:00Z,69.00,34.00
2026-02-12T12:15:00Z,68.00,34.00
2026-02-12T12:26:00Z,68.98,34.00
2026-02-12T12:30:00Z,69.00,34.00
2026-02-12T12:31:00Z,69.00,34.00
2026-02-12T12:34:00Z,69.00,34.36
2026-02-12T12:37:00Z,69.00,35.00
2026-02-12T13:07:00Z,65.00,35.00
2026-02-12T13:30:00Z,65.71,35.00
2026-02-12T13:34:00Z,66.00,34.00
2026-02-12T13:35:00Z,66.00,34.00
2026-02-12T13:48:00Z,65.00,34.00
2026-02-12T14:00:00Z,65.98,34.00
2026-02-12T14:09:00Z,66.00,34.00
2026-02-12T14:21:00Z,65.00,34.00
2026-02-12T14:24:00Z,65.75,34.00
2026-02-12T14:28:00Z,66.00,34.00
2026-02-12T14:29:00Z,66.00,34.00
2026-02-12T14:32:00Z,66.00,34.00
2026-02-12T14:35:00Z,66.00,39.31
2026-02-12T14:36:00Z,65.00,39.31
2026-02-12T14:45:00Z,65.00,39.31
2026-02-12T14:49:00Z,65.00,38.00
2026-02-12T14:52:00Z,65.00,38.00
2026-02-12T14:56:00Z,65.00,38.00
2026-02-12T14:59:00Z,65.00,38.00
2026-02-12T15:06:00Z,65.00,38.00
2026-02-12T15:07:00Z,64.67,38.00
2026-02-12T15:14:00Z,64.67,38.00
2026-02-12T15:17:00Z,65.00,38.00
2026-02-12T15:18:00Z,65.00,38.00
2026-02-12T15:19:00Z,66.00,38.00
2026-02-12T15:21:00Z,66.00,38.00
2026-02-12T15:24:00Z,65.84,38.00
2026-02-12T15:28:00Z,65.84,39.00
2026-02-12T15:30:00Z,64.00,39.00
2026-02-12T15:32:00Z,64.00,39.00
2026-02-12T15:36:00Z,62.00,39.00
2026-02-12T15:41:00Z,62.00,39.00
2026-02-12T15:42:00Z,62.00,39.00
2026-02-12T15:49:00Z,62.00,39.00
2026-02-12T15:57:00Z,62.93,39.00
2026-02-12T16:04:00Z,63.99,39.00
2026-02-12T16:05:00Z,63.99,37.50
2026-02-12T16:06:00Z,65.89,38.28
2026-02-12T16:07:00Z,65.29,38.00
2026-02-12T16:08:00Z,65.00,33.66
2026-02-12T16:09:00Z,66.00,34.00
2026-02-12T16:10:00Z,70.45,33.52
2026-02-12T16:11:00Z,77.11,33.52
2026-02-12T16:12:00Z,76.14,25.00
2026-02-12T16:13:00Z,75.00,26.75
2026-02-12T16:14:00Z,75.00,33.00
2026-02-12T16:15:00Z,71.33,31.00
2026-02-12T16:16:00Z,81.48,25.97
2026-02-12T16:17:00Z,80.79,21.21
2026-02-12T16:18:00Z,79.79,23.38
2026-02-12T16:19:00Z,79.79,24.00
2026-02-12T16:20:00Z,78.00,24.00
2026-02-12T16:21:00Z,75.15,23.77
2026-02-12T16:22:00Z,79.32,20.77
2026-02-12T16:23:00Z,84.00,17.55
2026-02-12T16:24:00Z,86.25,16.08
2026-02-12T16:25:00Z,88.60,13.50
2026-02-12T16:26:00Z,89.00,12.02
2026-02-12T16:27:00Z,86.89,13.24
2026-02-12T16:28:00Z,86.89,11.78
2026-02-12T16:29:00Z,90.88,11.78
2026-02-12T16:30:00Z,91.00,11.00
2026-02-12T16:31:00Z,92.00,7.99
2026-02-12T16:32:00Z,93.99,8.00
2026-02-12T16:33:00Z,94.00,8.40
2026-02-12T16:34:00Z,93.12,8.62
2026-02-12T16:35:00Z,93.21,8.00
2026-02-12T16:36:00Z,93.74,8.00
2026-02-12T16:37:00Z,94.00,7.87
2026-02-12T16:38:00Z,94.00,6.14
2026-02-12T16:39:00Z,94.58,6.62
2026-02-12T16:40:00Z,96.16,4.70
2026-02-12T16:41:00Z,95.91,7.53
2026-02-12T16:42:00Z,95.97,6.22
2026-02-12T16:43:00Z,97.53,3.37
2026-02-12T16:44:00Z,98.00,3.99
2026-02-12T16:45:00Z,97.08,2.48
2026-02-12T16:46:00Z,97.21,3.01
2026-02-12T16:47:00Z,98.22,2.52
2026-02-12T16:48:00Z,98.00,2.46
2026-02-12T16:49:00Z,98.00,2.96
2026-02-12T16:50:00Z,97.79,3.53
2026-02-12T16:51:00Z,97.09,4.18
2026-02-12T16:52:00Z,95.43,5.26
2026-02-12T16:53:00Z,93.82,7.93
2026-02-12T16:54:00Z,93.00,9.00
2026-02-12T16:55:00Z,94.34,6.30
2026-02-12T16:56:00Z,94.77,3.20
2026-02-12T16:57:00Z,97.62,2.50
2026-02-12T16:58:00Z,97.18,4.99
2026-02-12T16:59:00Z,98.00,2.25
2026-02-12T17:00:00Z,98.93,1.51
2026-02-12T17:01:00Z,99.00,1.01
2026-02-12T17:02:00Z,99.00,1.99
2026-02-12T17:03:00Z,99.00,1.95
2026-02-12T17:04:00Z,99.00,2.00
2026-02-12T17:05:00Z,99.00,1.00
2026-02-12T17:06:00Z,99.00,1.00
2026-02-12T17:07:00Z,99.00,1.00
