# event_ticker=KXATPCHALLENGERMATCH-26FEB25MARTOR
# final_score=6-2 6-0
# score_resolution=2-6 0-6
# match_winner=Juan Bautista Torres
# fav_player=Igor Marcondes
# dog_player=Juan Bautista Torres
# kalshi_date=2026-02-25
timestamp,Igor Marcondes,Juan Bautista Torres
2026-02-25T03:34:00Z,81.00,
2026-02-25T05:37:00Z,59.00,
2026-02-25T06:12:00Z,62.00,43.00
2026-02-25T06:24:00Z,62.00,64.00
2026-02-25T06:57:00Z,47.00,64.00
2026-02-25T07:32:00Z,47.00,55.00
2026-02-25T09:17:00Z,47.00,54.00
2026-02-25T09:19:00Z,59.00,54.00
2026-02-25T10:39:00Z,47.00,54.00
2026-02-25T10:58:00Z,47.00,56.48
2026-02-25T11:16:00Z,47.00,58.00
2026-02-25T11:34:00Z,47.00,58.00
2026-02-25T11:50:00Z,47.00,56.00
2026-02-25T12:01:00Z,47.00,56.00
2026-02-25T12:28:00Z,47.00,56.00
2026-02-25T12:30:00Z,47.00,53.00
2026-02-25T13:03:00Z,47.00,53.00
2026-02-25T13:06:00Z,47.00,56.00
2026-02-25T13:10:00Z,47.00,56.00
2026-02-25T13:11:00Z,47.00,56.00
2026-02-25T13:21:00Z,47.00,56.00
2026-02-25T13:29:00Z,47.07,56.00
2026-02-25T13:33:00Z,47.00,56.00
2026-02-25T13:37:00Z,48.00,56.00
2026-02-25T13:41:00Z,47.00,56.00
2026-02-25T13:47:00Z,47.00,56.00
2026-02-25T13:54:00Z,47.00,55.00
2026-02-25T13:57:00Z,48.00,55.00
2026-02-25T14:01:00Z,48.00,55.00
2026-02-25T14:04:00Z,48.00,55.00
2026-02-25T14:05:00Z,48.00,55.00
2026-02-25T14:06:00Z,48.00,55.00
2026-02-25T14:10:00Z,48.00,55.00
2026-02-25T14:15:00Z,48.00,55.00
2026-02-25T14:20:00Z,48.00,55.00
2026-02-25T14:23:00Z,48.00,55.00
2026-02-25T14:25:00Z,47.95,55.00
2026-02-25T14:26:00Z,47.95,52.00
2026-02-25T14:30:00Z,47.95,55.00
2026-02-25T14:32:00Z,47.95,55.00
2026-02-25T14:33:00Z,47.95,55.00
2026-02-25T14:34:00Z,48.00,55.00
2026-02-25T14:36:00Z,48.00,55.00
2026-02-25T14:39:00Z,48.00,55.00
2026-02-25T14:41:00Z,48.00,55.00
2026-02-25T14:48:00Z,48.00,55.00
2026-02-25T14:50:00Z,48.00,55.00
2026-02-25T14:51:00Z,48.00,55.00
2026-02-25T14:52:00Z,48.72,55.00
2026-02-25T14:53:00Z,48.72,55.00
2026-02-25T14:54:00Z,48.72,55.00
2026-02-25T14:58:00Z,48.00,55.00
2026-02-25T14:59:00Z,48.00,55.00
2026-02-25T15:01:00Z,48.00,54.97
2026-02-25T15:04:00Z,49.00,54.97
2026-02-25T15:05:00Z,49.00,54.97
2026-02-25T15:08:00Z,49.00,54.97
2026-02-25T15:10:00Z,47.04,54.88
2026-02-25T15:16:00Z,47.04,55.00
2026-02-25T15:19:00Z,49.00,51.00
2026-02-25T15:20:00Z,49.00,51.00
2026-02-25T15:21:00Z,49.00,51.00
2026-02-25T15:24:00Z,50.24,51.00
2026-02-25T15:28:00Z,50.24,54.00
2026-02-25T15:30:00Z,50.01,56.00
2026-02-25T15:31:00Z,46.81,58.61
