# event_ticker=KXATPCHALLENGERMATCH-26JUN02MOEONC
# final_score=5-7 6-1 6-4
# match_winner=Marvin Moeller
# fav_player=Marvin Moeller
# dog_player=Gauthier Onclin
# kalshi_date=2026-06-02
timestamp,Marvin Moeller,Gauthier Onclin
2026-06-02T04:21:00Z,,64.00
2026-06-02T04:26:00Z,37.00,64.00
2026-06-02T05:03:00Z,37.00,63.00
2026-06-02T05:59:00Z,35.00,63.00
2026-06-02T06:24:00Z,35.00,65.00
2026-06-02T06:51:00Z,35.00,65.00
2026-06-02T07:01:00Z,35.00,65.00
2026-06-02T12:11:00Z,37.00,65.00
2026-06-02T12:29:00Z,37.00,64.00
2026-06-02T12:49:00Z,37.00,64.00
2026-06-02T12:58:00Z,37.00,63.00
2026-06-02T13:11:00Z,37.00,64.00
2026-06-02T13:26:00Z,37.00,65.00
2026-06-02T13:36:00Z,37.00,64.00
2026-06-02T13:37:00Z,37.00,64.89
2026-06-02T13:46:00Z,37.00,64.00
2026-06-02T13:51:00Z,38.00,64.00
2026-06-02T13:55:00Z,38.00,65.00
2026-06-02T14:01:00Z,38.00,65.00
2026-06-02T14:09:00Z,38.00,65.00
2026-06-02T14:12:00Z,38.00,65.00
2026-06-02T14:16:00Z,37.00,65.00
2026-06-02T14:19:00Z,37.00,64.00
2026-06-02T14:20:00Z,38.00,64.00
2026-06-02T14:21:00Z,39.00,63.00
2026-06-02T14:26:00Z,39.00,62.00
2026-06-02T14:27:00Z,39.00,60.00
2026-06-02T14:28:00Z,40.00,60.00
2026-06-02T14:29:00Z,39.98,60.00
2026-06-02T14:30:00Z,38.00,63.11
2026-06-02T14:31:00Z,37.00,63.00
2026-06-02T14:32:00Z,37.00,64.00
2026-06-02T14:33:00Z,34.00,66.37
2026-06-02T14:34:00Z,31.00,69.19
2026-06-02T14:35:00Z,29.86,70.04
2026-06-02T14:36:00Z,31.45,68.00
2026-06-02T14:37:00Z,35.48,65.17
2026-06-02T14:38:00Z,32.82,71.47
2026-06-02T14:39:00Z,27.00,74.16
2026-06-02T14:40:00Z,27.01,72.57
2026-06-02T14:41:00Z,27.01,74.54
2026-06-02T14:42:00Z,25.00,76.00
2026-06-02T14:43:00Z,23.68,76.70
2026-06-02T14:44:00Z,24.97,77.38
2026-06-02T14:46:00Z,26.10,73.13
2026-06-02T14:47:00Z,29.00,72.99
2026-06-02T14:48:00Z,29.00,73.00
2026-06-02T14:49:00Z,24.94,74.62
2026-06-02T14:50:00Z,24.94,76.00
2026-06-02T14:51:00Z,20.01,77.01
2026-06-02T14:52:00Z,21.57,78.92
2026-06-02T14:53:00Z,23.00,77.52
2026-06-02T14:54:00Z,24.00,75.63
2026-06-02T14:55:00Z,24.00,75.31
2026-06-02T14:56:00Z,23.00,78.00
2026-06-02T14:57:00Z,23.00,79.00
2026-06-02T14:58:00Z,24.76,75.79
2026-06-02T14:59:00Z,31.25,70.16
2026-06-02T15:00:00Z,36.51,62.27
2026-06-02T15:01:00Z,40.62,62.01
2026-06-02T15:02:00Z,42.86,55.69
2026-06-02T15:03:00Z,40.00,61.44
2026-06-02T15:04:00Z,34.23,65.75
2026-06-02T15:05:00Z,39.00,61.00
2026-06-02T15:06:00Z,38.83,61.02
2026-06-02T15:07:00Z,38.83,64.21
2026-06-02T15:08:00Z,34.30,66.92
2026-06-02T15:09:00Z,34.68,66.21
2026-06-02T15:10:00Z,25.45,74.00
2026-06-02T15:11:00Z,25.00,75.00
2026-06-02T15:12:00Z,26.67,72.84
2026-06-02T15:13:00Z,32.84,68.04
2026-06-02T15:14:00Z,35.85,64.97
2026-06-02T15:15:00Z,39.68,60.88
2026-06-02T15:16:00Z,37.64,63.63
2026-06-02T15:17:00Z,41.02,61.51
2026-06-02T15:18:00Z,43.63,55.39
2026-06-02T15:19:00Z,47.90,53.64
2026-06-02T15:20:00Z,47.91,52.57
2026-06-02T15:21:00Z,42.07,56.48
2026-06-02T15:22:00Z,41.18,59.07
