# event_ticker=KXATPCHALLENGERMATCH-26MAR11HARKOZ
# final_score=6-2 4-6 6-3
# match_winner=Jay Friend
# fav_player=Jay Dylan Hara Friend
# dog_player=Stefan Kozlov
# kalshi_date=2026-03-11
timestamp,Jay Dylan Hara Friend,Stefan Kozlov
2026-03-11T07:26:00Z,64.00,45.00
2026-03-11T09:38:00Z,64.00,49.47
2026-03-11T10:17:00Z,55.85,49.47
2026-03-11T10:19:00Z,47.00,49.47
2026-03-11T10:27:00Z,52.00,49.47
2026-03-11T10:57:00Z,52.00,49.47
2026-03-11T11:00:00Z,60.00,49.47
2026-03-11T11:10:00Z,59.00,45.00
2026-03-11T11:26:00Z,55.00,46.00
2026-03-11T11:27:00Z,55.00,47.00
2026-03-11T11:44:00Z,57.00,44.83
2026-03-11T12:07:00Z,57.27,44.83
2026-03-11T12:40:00Z,57.00,44.83
2026-03-11T13:01:00Z,58.00,42.00
2026-03-11T13:40:00Z,59.00,42.00
2026-03-11T14:12:00Z,59.00,44.00
2026-03-11T14:17:00Z,59.00,44.00
2026-03-11T14:28:00Z,59.00,44.00
2026-03-11T15:03:00Z,59.04,44.00
2026-03-11T15:15:00Z,59.00,44.00
2026-03-11T15:28:00Z,59.00,43.00
2026-03-11T15:37:00Z,59.00,43.00
2026-03-11T15:39:00Z,59.00,43.00
2026-03-11T15:46:00Z,59.00,43.00
2026-03-11T16:14:00Z,59.00,42.00
2026-03-11T16:19:00Z,59.00,42.00
2026-03-11T16:33:00Z,59.00,42.00
2026-03-11T16:41:00Z,59.00,42.00
2026-03-11T16:53:00Z,59.00,42.00
2026-03-11T17:23:00Z,59.00,42.00
2026-03-11T17:27:00Z,59.00,42.00
2026-03-11T17:35:00Z,59.00,42.00
2026-03-11T17:42:00Z,59.00,42.00
2026-03-11T17:44:00Z,59.00,42.00
2026-03-11T17:46:00Z,59.00,42.00
2026-03-11T17:55:00Z,59.24,42.00
2026-03-11T18:00:00Z,59.24,42.00
2026-03-11T18:08:00Z,59.24,42.00
2026-03-11T18:09:00Z,60.00,42.00
2026-03-11T18:10:00Z,64.32,42.00
2026-03-11T18:12:00Z,66.00,35.00
2026-03-11T18:14:00Z,66.00,31.00
2026-03-11T18:15:00Z,66.00,40.98
2026-03-11T18:16:00Z,61.00,40.98
2026-03-11T18:18:00Z,54.16,47.11
2026-03-11T18:19:00Z,48.03,47.37
2026-03-11T18:20:00Z,47.00,47.37
2026-03-11T18:21:00Z,46.20,55.90
2026-03-11T18:23:00Z,59.20,40.14
2026-03-11T18:24:00Z,62.00,35.00
2026-03-11T18:25:00Z,68.02,35.00
2026-03-11T18:26:00Z,70.00,35.00
2026-03-11T18:27:00Z,71.00,35.00
2026-03-11T18:28:00Z,76.80,27.00
2026-03-11T18:29:00Z,74.00,28.43
2026-03-11T18:30:00Z,70.11,28.28
2026-03-11T18:31:00Z,77.28,21.27
2026-03-11T18:32:00Z,80.00,17.86
2026-03-11T18:33:00Z,83.23,15.21
2026-03-11T18:34:00Z,81.68,16.00
2026-03-11T18:36:00Z,85.00,16.00
2026-03-11T18:37:00Z,85.00,16.00
2026-03-11T18:39:00Z,85.00,15.00
2026-03-11T18:40:00Z,86.17,16.00
2026-03-11T18:42:00Z,86.17,13.00
2026-03-11T18:43:00Z,87.99,14.03
2026-03-11T18:44:00Z,82.76,16.05
2026-03-11T18:45:00Z,89.00,11.37
2026-03-11T18:46:00Z,92.62,9.58
2026-03-11T18:47:00Z,89.31,10.25
2026-03-11T18:48:00Z,87.92,12.92
2026-03-11T18:49:00Z,90.27,10.00
2026-03-11T18:50:00Z,93.79,10.00
2026-03-11T18:51:00Z,92.00,8.10
2026-03-11T18:52:00Z,90.00,8.10
2026-03-11T18:53:00Z,94.64,5.62
2026-03-11T18:54:00Z,95.13,5.00
2026-03-11T18:55:00Z,91.53,7.35
2026-03-11T18:56:00Z,90.47,10.38
2026-03-11T18:57:00Z,89.93,10.38
2026-03-11T18:58:00Z,87.02,10.38
2026-03-11T18:59:00Z,92.00,10.58
2026-03-11T19:00:00Z,93.00,7.29
2026-03-11T19:01:00Z,93.00,9.22
2026-03-11T19:02:00Z,93.00,14.50
2026-03-11T19:03:00Z,86.69,13.67
2026-03-11T19:04:00Z,89.00,13.00
2026-03-11T19:05:00Z,87.00,13.00
2026-03-11T19:06:00Z,87.00,12.00
2026-03-11T19:08:00Z,87.00,12.00
2026-03-11T19:09:00Z,87.00,15.00
2026-03-11T19:11:00Z,87.00,23.98
2026-03-11T19:12:00Z,73.12,28.00
2026-03-11T19:13:00Z,72.00,30.11
2026-03-11T19:14:00Z,73.27,27.00
2026-03-11T19:15:00Z,71.39,30.30
2026-03-11T19:16:00Z,71.39,34.00
2026-03-11T19:17:00Z,65.64,34.79
2026-03-11T19:18:00Z,64.83,34.32
2026-03-11T19:19:00Z,66.00,34.32
2026-03-11T19:20:00Z,66.00,36.22
2026-03-11T19:21:00Z,63.00,38.00
2026-03-11T19:22:00Z,66.26,37.24
2026-03-11T19:23:00Z,64.53,37.00
2026-03-11T19:24:00Z,70.00,32.00
2026-03-11T19:25:00Z,70.00,31.89
2026-03-11T19:26:00Z,68.69,33.00
2026-03-11T19:27:00Z,67.67,35.00
2026-03-11T19:28:00Z,67.67,30.20
2026-03-11T19:29:00Z,67.67,31.63
2026-03-11T19:30:00Z,63.00,38.00
2026-03-11T19:31:00Z,65.00,37.93
2026-03-11T19:32:00Z,60.00,40.00
2026-03-11T19:33:00Z,63.00,38.28
