# event_ticker=KXATPCHALLENGERMATCH-26MAY26ALKTAK
# final_score=6-3 7-6(5)
# score_resolution=3-6 6-7
# match_winner=Yusuke Takahashi
# fav_player=Mert Alkaya
# dog_player=Yusuke Takahashi
# kalshi_date=2026-05-26
timestamp,Mert Alkaya,Yusuke Takahashi
2026-05-25T20:24:00Z,78.44,
2026-05-26T02:28:00Z,78.44,29.00
2026-05-26T03:53:00Z,72.00,29.00
2026-05-26T03:58:00Z,72.00,29.00
2026-05-26T04:03:00Z,72.21,29.00
2026-05-26T04:18:00Z,73.00,29.00
2026-05-26T05:50:00Z,73.00,29.00
2026-05-26T06:08:00Z,72.00,29.00
2026-05-26T06:09:00Z,72.00,29.00
2026-05-26T06:46:00Z,72.00,29.00
2026-05-26T07:08:00Z,72.00,29.00
2026-05-26T07:31:00Z,72.00,29.00
2026-05-26T07:42:00Z,72.00,29.00
2026-05-26T07:54:00Z,72.00,29.00
2026-05-26T08:14:00Z,73.00,29.00
2026-05-26T08:15:00Z,75.00,29.00
2026-05-26T08:17:00Z,72.00,29.00
2026-05-26T08:18:00Z,74.00,27.87
2026-05-26T08:19:00Z,74.00,28.00
2026-05-26T08:20:00Z,73.01,28.00
2026-05-26T08:21:00Z,74.00,26.00
2026-05-26T08:22:00Z,75.00,25.06
2026-05-26T08:23:00Z,72.00,25.06
2026-05-26T08:24:00Z,70.00,32.38
2026-05-26T08:25:00Z,59.70,38.80
2026-05-26T08:26:00Z,62.00,38.20
2026-05-26T08:27:00Z,59.00,40.58
2026-05-26T08:29:00Z,57.00,43.71
2026-05-26T08:30:00Z,57.00,43.71
2026-05-26T08:31:00Z,57.00,44.00
2026-05-26T08:32:00Z,57.00,44.00
2026-05-26T08:33:00Z,57.00,48.58
2026-05-26T08:35:00Z,57.00,45.58
2026-05-26T08:36:00Z,53.00,48.00
2026-05-26T08:37:00Z,54.00,48.00
2026-05-26T08:38:00Z,53.00,46.00
2026-05-26T08:39:00Z,54.12,46.00
2026-05-26T08:40:00Z,54.12,48.00
2026-05-26T08:41:00Z,49.30,50.45
2026-05-26T08:42:00Z,49.00,50.45
2026-05-26T08:44:00Z,47.70,52.13
2026-05-26T08:45:00Z,50.04,52.13
2026-05-26T08:46:00Z,55.98,52.13
2026-05-26T08:47:00Z,51.22,52.13
2026-05-26T08:48:00Z,48.00,51.96
2026-05-26T08:49:00Z,46.29,55.00
2026-05-26T08:50:00Z,42.77,55.00
2026-05-26T08:51:00Z,37.56,62.93
2026-05-26T08:52:00Z,38.00,62.93
2026-05-26T08:53:00Z,38.00,65.00
2026-05-26T08:54:00Z,38.66,63.00
2026-05-26T08:55:00Z,42.30,61.00
2026-05-26T08:56:00Z,45.11,58.00
2026-05-26T08:57:00Z,39.96,60.18
2026-05-26T08:58:00Z,36.00,63.18
2026-05-26T08:59:00Z,36.75,64.06
2026-05-26T09:00:00Z,36.30,63.08
2026-05-26T09:01:00Z,37.32,63.00
2026-05-26T09:02:00Z,45.51,56.04
2026-05-26T09:03:00Z,41.00,58.33
2026-05-26T09:04:00Z,36.89,62.23
2026-05-26T09:05:00Z,34.05,66.00
2026-05-26T09:06:00Z,38.02,59.00
2026-05-26T09:07:00Z,42.23,60.00
2026-05-26T09:08:00Z,37.00,64.00
2026-05-26T09:09:00Z,37.00,65.31
2026-05-26T09:10:00Z,34.01,67.00
2026-05-26T09:11:00Z,35.00,67.50
2026-05-26T09:12:00Z,32.00,66.00
2026-05-26T09:13:00Z,36.45,63.57
2026-05-26T09:14:00Z,31.11,67.89
2026-05-26T09:15:00Z,35.66,63.91
2026-05-26T09:16:00Z,44.18,57.00
2026-05-26T09:17:00Z,40.13,61.66
2026-05-26T09:18:00Z,34.19,66.46
2026-05-26T09:19:00Z,34.00,70.00
2026-05-26T09:20:00Z,34.00,70.84
2026-05-26T09:21:00Z,34.00,70.93
2026-05-26T09:22:00Z,34.58,73.83
2026-05-26T09:23:00Z,30.00,73.68
2026-05-26T09:24:00Z,29.69,76.26
2026-05-26T09:25:00Z,16.98,83.79
2026-05-26T09:26:00Z,20.24,82.49
2026-05-26T09:27:00Z,30.74,69.03
2026-05-26T09:28:00Z,38.23,61.24
2026-05-26T09:29:00Z,32.86,67.62
2026-05-26T09:30:00Z,32.86,72.95
2026-05-26T09:31:00Z,25.99,73.00
2026-05-26T09:32:00Z,30.30,71.80
2026-05-26T09:33:00Z,30.00,68.75
2026-05-26T09:34:00Z,32.55,66.29
2026-05-26T09:35:00Z,32.54,70.00
2026-05-26T09:36:00Z,32.80,66.71
2026-05-26T09:37:00Z,30.27,68.59
2026-05-26T09:38:00Z,34.10,68.73
2026-05-26T09:39:00Z,33.81,66.13
2026-05-26T09:40:00Z,31.89,71.31
2026-05-26T09:41:00Z,28.00,72.00
2026-05-26T09:42:00Z,28.00,72.00
2026-05-26T09:43:00Z,30.00,75.82
2026-05-26T09:44:00Z,35.00,64.13
2026-05-26T09:45:00Z,25.19,74.66
2026-05-26T09:46:00Z,23.90,77.91
2026-05-26T09:47:00Z,22.91,79.35
2026-05-26T09:48:00Z,32.80,70.56
2026-05-26T09:49:00Z,21.40,76.54
2026-05-26T09:50:00Z,10.29,92.37
2026-05-26T09:51:00Z,5.84,96.51
2026-05-26T09:52:00Z,3.02,97.73
